 	cessez	de	vous	entre-tuer	de	la	sorte	</S>
a23	0.212419	0.118766	0.11024	0.123554	0.176563	0.139622	0.0678579	0.050978
a83	0.245492	0.164827	0.167557	0.284706	0.0829348	0.0242763	0.015923	0.0142844
a61	0.230017	0.215856	0.208967	0.189154	0.0627142	0.0352713	0.0278955	0.0301255
a12	0.451611	0.196462	0.156293	0.129353	0.0383321	0.0137611	0.00825913	0.00592801
a47	0.464338	0.169067	0.1462	0.128177	0.0514462	0.0196309	0.0129004	0.00824016
a31	0.227871	0.185325	0.204939	0.222872	0.0805544	0.0331023	0.0269873	0.0183488
a0	0.227351	0.191907	0.182806	0.167465	0.100752	0.0559457	0.0433979	0.0303754
a31	0.122845	0.168827	0.194557	0.194867	0.122899	0.0702838	0.0639146	0.0618065
a75	0.0961551	0.144601	0.176137	0.182797	0.147978	0.101684	0.0827233	0.0679259
a90	0.0639059	0.111005	0.164016	0.197487	0.181795	0.114569	0.0863574	0.0808647
a13	0.0345482	0.0647721	0.117559	0.170912	0.206113	0.15401	0.12019	0.131895
a90	0.0193625	0.0285079	0.0505974	0.0961255	0.203161	0.204976	0.200216	0.197053
a94	0.0137699	0.025958	0.0491834	0.0718006	0.154613	0.186899	0.22156	0.276216
a31	0.00694565	0.0137451	0.0258826	0.0415399	0.0996376	0.151622	0.249086	0.411541
a75	0.00368031	0.00891437	0.0165735	0.0251623	0.0685626	0.128748	0.272199	0.47616
a5	0.00323042	0.00901197	0.0178246	0.0197704	0.0377438	0.11031	0.321745	0.480364
a18	0.00149991	0.00390363	0.00742885	0.0110948	0.028701	0.0790314	0.261365	0.606975
a47	0.0019988	0.00414417	0.00860474	0.0126186	0.0327013	0.0674976	0.243778	0.628657
a96	0.00210911	0.00559276	0.012404	0.0202912	0.05397	0.10196	0.256541	0.547131
a61	0.000490702	0.00122435	0.00275057	0.0054339	0.0253227	0.0737065	0.252744	0.638327
a21	0.000652209	0.00143734	0.00266589	0.00458138	0.0191727	0.063041	0.25294	0.655509
a31	0.000647929	0.00163687	0.00292851	0.0055241	0.0207568	0.0739552	0.240706	0.653845
a88	0.000871495	0.00168242	0.0030291	0.00437959	0.01481	0.042569	0.227029	0.705629
a9	0.000571033	0.0011681	0.00233407	0.0039904	0.0160079	0.0470125	0.220499	0.708417
a87	0.00727249	0.0144296	0.0258836	0.0309929	0.0464692	0.0885784	0.236474	0.5499
a23	0.0983674	0.0786865	0.0890276	0.136631	0.0957948	0.109688	0.159865	0.23194
a87	0.0110557	0.0121183	0.0189675	0.0396355	0.062206	0.147641	0.315947	0.392429
</S>	0.00689393	0.0112508	0.0182568	0.0404342	0.0794022	0.118666	0.243149	0.481947
