 	la	pluie	d'	hier	a	fait	déborder	la	rivière	</S>
a66	0.182443	0.169719	0.18678	0.13742	0.12788	0.0960523	0.0531162	0.0242613	0.012572	0.00975628
a87	0.223645	0.162473	0.130843	0.0798536	0.0863338	0.0966522	0.0852595	0.066174	0.0384633	0.030302
a23	0.368973	0.274457	0.156271	0.071335	0.0569335	0.0364275	0.015715	0.00704846	0.00611782	0.00672302
a99	0.353394	0.202632	0.114895	0.0736142	0.0730834	0.0609991	0.048622	0.0297448	0.0206043	0.02241
a53	0.324803	0.165267	0.0911322	0.0539587	0.0652488	0.0829779	0.0865806	0.0603387	0.0338858	0.0358071
a20	0.327995	0.161725	0.105119	0.0800521	0.0761827	0.0730349	0.0679825	0.0623022	0.0238075	0.0217995
a54	0.236153	0.138311	0.105803	0.0992763	0.0958918	0.103419	0.0893213	0.0870905	0.0257778	0.0189572
a56	0.107239	0.0886897	0.099572	0.128635	0.135428	0.154843	0.134494	0.0939558	0.0331577	0.0239855
a96	0.0682411	0.064005	0.0699887	0.094965	0.096791	0.132897	0.130425	0.143981	0.107503	0.0912036
a56	0.0581668	0.0595365	0.0657011	0.0886785	0.0898099	0.120197	0.110849	0.133499	0.140623	0.132939
a96	0.0499429	0.0536542	0.0620298	0.0850683	0.0847711	0.108128	0.0968365	0.124792	0.166044	0.168734
a34	0.041551	0.0480124	0.0599912	0.0835401	0.0848095	0.106301	0.0971892	0.119276	0.174796	0.184533
a54	0.0358184	0.0446653	0.0625302	0.0861479	0.0856466	0.098084	0.085231	0.113071	0.183325	0.205482
a73	0.0218883	0.0338186	0.057557	0.0951859	0.0967703	0.118125	0.107513	0.120647	0.168137	0.180359
a7	0.0316043	0.0468112	0.085279	0.127308	0.11266	0.112768	0.0879395	0.115238	0.135373	0.145018
a54	0.0162772	0.0236789	0.0497261	0.0893589	0.0957956	0.101279	0.0794006	0.130089	0.181436	0.232958
a92	0.0145671	0.020688	0.0411608	0.0737241	0.0782381	0.0869592	0.0757903	0.135631	0.218705	0.254536
a37	0.0141873	0.0196817	0.0374547	0.0688185	0.0781383	0.0982762	0.0896379	0.159853	0.217022	0.21693
a94	0.0145962	0.0169967	0.0310799	0.0562462	0.0728234	0.0861418	0.0767405	0.140778	0.228258	0.276339
a70	0.00976525	0.0104743	0.0170662	0.0323816	0.0511529	0.0697522	0.075316	0.161119	0.258986	0.313986
a0	0.0058853	0.00625968	0.00956139	0.0184688	0.0308483	0.0439092	0.0570551	0.154207	0.294863	0.378942
a90	0.00219691	0.00233635	0.00329437	0.00547587	0.00907796	0.0143382	0.0245115	0.12847	0.321585	0.488714
a44	0.00254359	0.00295228	0.00449745	0.00856967	0.0171859	0.0292402	0.0462634	0.177638	0.290535	0.420575
a11	0.00108538	0.00115196	0.0016812	0.00287392	0.00530633	0.00926819	0.0174318	0.13103	0.304552	0.525619
a62	0.000595621	0.000634353	0.00085349	0.00124682	0.00173481	0.00271788	0.00647714	0.088779	0.30464	0.59232
a88	0.000419205	0.000446176	0.000568022	0.00082873	0.00115408	0.00189835	0.00527049	0.0741851	0.304962	0.610268
a0	0.000221666	0.000264516	0.000374618	0.000567816	0.000817785	0.00130161	0.00352284	0.0510997	0.26758	0.674249
a24	0.000356523	0.00044178	0.000645093	0.000864134	0.00116606	0.00166168	0.00413328	0.0510236	0.271433	0.668275
a9	0.000510031	0.000623451	0.0007674	0.000997539	0.00131761	0.00194971	0.00470079	0.0441244	0.257688	0.687321
a83	0.0130768	0.0124312	0.0114007	0.01298	0.013834	0.0138115	0.0157339	0.0680294	0.25954	0.579162
a9	0.00754724	0.00744056	0.00677339	0.00705781	0.00872748	0.0106412	0.0130309	0.0494345	0.240504	0.648843
a87	0.0333787	0.0308139	0.0256159	0.0240554	0.0224446	0.0198821	0.0171611	0.0648161	0.224426	0.537406
a23	0.139116	0.130181	0.107354	0.0897116	0.0870446	0.0612067	0.0346752	0.057337	0.115265	0.178109
a87	0.146744	0.106617	0.0963427	0.0952645	0.101792	0.0719702	0.03707	0.061864	0.105303	0.177032
a23	0.0619699	0.0488687	0.0488524	0.0618506	0.0770661	0.067491	0.0413355	0.0927436	0.176795	0.323027
a87	0.0819938	0.0634182	0.0623131	0.0773307	0.0896167	0.0704715	0.0411585	0.0849404	0.155715	0.273043
</S>	0.0763743	0.0641885	0.0638134	0.0843182	0.0985603	0.0691295	0.0354531	0.0854375	0.143756	0.278969
