 	il	y	a	des	étangs	stagnants	dans	la	vallée	de	la	vouma	</S>
a85	0.168316	0.171133	0.152108	0.143907	0.106936	0.0635845	0.0568275	0.0427072	0.0429543	0.0212643	0.0119219	0.00986139	0.00847836
a87	0.0823517	0.0938109	0.0775089	0.110691	0.100476	0.119974	0.143397	0.10663	0.0731671	0.0441226	0.0236563	0.0150649	0.00915047
a10	0.0948891	0.10045	0.0958257	0.0958503	0.0781393	0.109955	0.110525	0.0755411	0.0620941	0.0471438	0.0378051	0.0435992	0.0481815
a87	0.0997671	0.106663	0.103253	0.0986189	0.0805577	0.0912138	0.0989377	0.0660096	0.0576208	0.0394146	0.0386535	0.0538231	0.0654676
a23	0.164084	0.147643	0.111232	0.0966242	0.0797005	0.0692004	0.0875549	0.0451372	0.0334127	0.0315998	0.0364104	0.0495147	0.0478861
a9	0.12981	0.113716	0.105416	0.0925078	0.0836828	0.0743541	0.0779803	0.0371452	0.028696	0.0365682	0.0501439	0.0861229	0.0838567
a11	0.116652	0.105383	0.0949859	0.0920481	0.0905056	0.07871	0.0957885	0.0506074	0.04104	0.0389267	0.0490142	0.0792162	0.0671224
a90	0.12257	0.104045	0.103138	0.0789173	0.0731276	0.0586361	0.0524609	0.0398818	0.0359028	0.0390189	0.0713008	0.112117	0.108884
a25	0.218538	0.154003	0.119303	0.0759747	0.0571453	0.0578622	0.0381038	0.0300424	0.033132	0.0337093	0.0469932	0.053987	0.0812061
a92	0.14445	0.119678	0.115976	0.0970391	0.0845738	0.0924534	0.0692707	0.0548223	0.0504598	0.0407579	0.0403612	0.0393148	0.0508427
a98	0.108735	0.0994648	0.111176	0.105186	0.099504	0.115908	0.0984347	0.0760474	0.0609904	0.0332364	0.0308188	0.0295429	0.0309557
a15	0.112828	0.0950143	0.101451	0.0986055	0.0951647	0.125291	0.0866987	0.0684764	0.0606613	0.0376891	0.0338988	0.0388131	0.0454074
a90	0.0982396	0.0933242	0.102338	0.106997	0.105802	0.144138	0.100515	0.0761798	0.063303	0.0313175	0.0246292	0.026225	0.026992
a56	0.0732667	0.0759469	0.0941908	0.104321	0.112509	0.131516	0.105925	0.100562	0.0838611	0.0329948	0.0261179	0.0277245	0.0310642
a24	0.0380198	0.0482904	0.0703351	0.0967422	0.107057	0.1493	0.128771	0.114088	0.0960913	0.0338381	0.0283714	0.0401274	0.0489682
a88	0.0321184	0.0414177	0.0587731	0.0770769	0.0845233	0.0987505	0.0960826	0.125596	0.139684	0.0519101	0.0376928	0.0693841	0.0869901
a24	0.0203809	0.0283391	0.0461793	0.0668511	0.0784877	0.0931624	0.0801218	0.116478	0.136647	0.0659104	0.0533769	0.0921351	0.12193
a31	0.0229253	0.0295761	0.0465842	0.0594548	0.0666278	0.0717865	0.0705633	0.111859	0.139304	0.0567311	0.0534317	0.114141	0.157015
a96	0.0291012	0.0313657	0.0436401	0.0517884	0.0518541	0.0628655	0.0719472	0.126634	0.194977	0.108955	0.0580694	0.0754779	0.0933233
a43	0.0189966	0.0221645	0.0331606	0.0414426	0.0469811	0.0452067	0.0466015	0.0872737	0.154976	0.102609	0.0914888	0.149593	0.159506
a31	0.00896073	0.0100945	0.0160206	0.0219852	0.0264042	0.0330255	0.0363333	0.0691216	0.118507	0.0906742	0.102374	0.231969	0.234531
a61	0.00525265	0.00577266	0.00865524	0.012655	0.0149017	0.0245273	0.0328225	0.0662076	0.127651	0.143405	0.124367	0.227372	0.206411
a96	0.00291189	0.00338009	0.00498819	0.00749919	0.00884517	0.0133075	0.0173183	0.0409834	0.0962688	0.146066	0.143442	0.262507	0.252482
a24	0.00220962	0.00221027	0.00303738	0.00408648	0.00496893	0.00639019	0.0080589	0.0164975	0.0424706	0.0871554	0.135582	0.340842	0.346491
a9	0.000819014	0.000791273	0.00106867	0.00157788	0.00233236	0.00373056	0.00464556	0.0114832	0.0272182	0.0521328	0.0863006	0.34645	0.46145
a10	0.0116346	0.00793744	0.00993137	0.0151801	0.0190711	0.0316942	0.0323674	0.0551679	0.087526	0.0592656	0.0875461	0.235818	0.34686
a9	0.0177747	0.0133878	0.0158536	0.0322679	0.0479232	0.0841617	0.0728951	0.0943616	0.125548	0.0988112	0.0939561	0.167405	0.135654
a10	0.0282589	0.0249543	0.0238228	0.0470469	0.0669809	0.0895451	0.101673	0.0944539	0.0953481	0.0972834	0.0948351	0.144349	0.0914482
a38	0.0309977	0.0273049	0.0251002	0.0403063	0.0537664	0.0687323	0.0660666	0.0668688	0.0725163	0.0954968	0.112729	0.183184	0.15693
a97	0.00963586	0.00681002	0.00585433	0.00828656	0.00989885	0.0146808	0.0149188	0.0222289	0.0350029	0.0983973	0.127476	0.330899	0.315911
</S>	0.0137225	0.00951876	0.00905786	0.0111143	0.014283	0.0166934	0.0161396	0.0226654	0.0478137	0.0862459	0.107162	0.324963	0.320621
