 	la	moquerie	fait	pleurer	certaines	personnes	</S>
a66	0.288343	0.316	0.211113	0.109085	0.032685	0.0248307	0.0179426
a87	0.150505	0.255508	0.22668	0.180791	0.0804702	0.0609011	0.0451452
a3	0.224028	0.295629	0.148952	0.202422	0.06607	0.0353001	0.027599
a82	0.332933	0.319406	0.161658	0.12577	0.0317914	0.01538	0.0130613
a3	0.337627	0.321283	0.168205	0.117745	0.0303727	0.0136857	0.011082
a99	0.329841	0.338201	0.165484	0.114959	0.0268376	0.0137424	0.0109353
a97	0.342347	0.338804	0.159222	0.10812	0.0261265	0.0149656	0.0104149
a87	0.336344	0.331803	0.168578	0.112976	0.0280117	0.0136023	0.00868536
a23	0.326097	0.327738	0.175798	0.115321	0.0320224	0.0144659	0.00855647
a87	0.29662	0.320803	0.178395	0.121281	0.0408904	0.0257457	0.0162647
a23	0.347123	0.328181	0.154998	0.10376	0.0337994	0.0194047	0.0127334
a83	0.300474	0.342891	0.165626	0.119145	0.0340024	0.0218127	0.0160498
a0	0.36457	0.28122	0.142293	0.113502	0.0380094	0.0333103	0.0270949
a75	0.361205	0.229114	0.154727	0.130156	0.0513779	0.0401018	0.0333179
a92	0.320543	0.192116	0.165468	0.117242	0.0612004	0.0682388	0.075192
a56	0.29758	0.177079	0.200351	0.119089	0.0629385	0.0675175	0.0754448
a25	0.286355	0.210694	0.195806	0.0949192	0.0554493	0.0691089	0.087668
a75	0.237017	0.156299	0.177588	0.10392	0.0855391	0.103867	0.135771
a21	0.137541	0.135407	0.206694	0.154892	0.110661	0.118943	0.135863
a47	0.05092	0.0751518	0.173104	0.176261	0.150549	0.173685	0.200329
a31	0.0397739	0.0473942	0.126144	0.148631	0.178363	0.191551	0.268143
a75	0.0188052	0.025897	0.0754274	0.124065	0.233873	0.23639	0.285542
a85	0.00775002	0.0105285	0.0324353	0.071867	0.218962	0.273228	0.385229
a6	0.00380288	0.00666467	0.016034	0.0409542	0.197134	0.308006	0.427404
a92	0.00242681	0.00415325	0.0079324	0.0187047	0.132746	0.281574	0.552463
a21	0.00168481	0.00296608	0.00580757	0.0183369	0.141992	0.285262	0.543951
a12	0.00392417	0.00567167	0.00890854	0.0207991	0.125299	0.297151	0.538246
a75	0.00147506	0.00211586	0.00355222	0.0108781	0.0984233	0.298105	0.585451
a85	0.00330526	0.00533154	0.00793229	0.0187537	0.114209	0.281667	0.568801
a37	0.00153926	0.00250197	0.0041405	0.0111817	0.0939172	0.255575	0.631144
a6	0.00163458	0.00270692	0.00500097	0.0178	0.111057	0.257469	0.604331
a36	0.00283228	0.0045963	0.00961222	0.0407166	0.15495	0.277474	0.509819
a26	0.0116435	0.0194451	0.0330026	0.064477	0.166612	0.267825	0.436995
a57	0.0731735	0.0847646	0.0878525	0.120152	0.164884	0.192196	0.276977
a87	0.153575	0.175694	0.133976	0.199497	0.151142	0.0951658	0.0909496
a23	0.113442	0.160725	0.11657	0.207029	0.190403	0.123136	0.0886944
a87	0.0236608	0.0274817	0.0289104	0.0753111	0.211111	0.286694	0.34683
a23	0.00271173	0.00494618	0.0101607	0.0461337	0.209741	0.307872	0.418435
a99	0.00514005	0.00819551	0.0153228	0.0563299	0.206322	0.300081	0.408609
a87	0.0206404	0.0333029	0.0423463	0.104348	0.196457	0.256537	0.346369
a99	0.00716961	0.0120288	0.0190557	0.0638566	0.187361	0.275831	0.434697
</S>	0.0236069	0.0302118	0.0319237	0.0782899	0.177191	0.257891	0.400886
