 	les	lettres	qui	étaient	écrites	sur	ce	mur	sont	déjà	effacées	</S>
a87	0.116012	0.0789793	0.0504718	0.0838147	0.17117	0.151275	0.134814	0.0914745	0.0607101	0.0344924	0.0186456	0.00814022
a10	0.074687	0.0328222	0.0263634	0.0571753	0.177492	0.159672	0.123483	0.0814973	0.0851905	0.0771784	0.0627174	0.0417215
a87	0.140699	0.0922644	0.0681849	0.0750215	0.121236	0.147777	0.101208	0.0594522	0.048912	0.0493431	0.0482802	0.0476216
a40	0.207175	0.113267	0.0971955	0.0736647	0.0928102	0.104914	0.0772991	0.0560166	0.0469257	0.044643	0.0410544	0.0450336
a47	0.225509	0.156071	0.149451	0.101275	0.0661982	0.0776548	0.0592238	0.0385473	0.0332466	0.0332973	0.0290421	0.0304843
a26	0.31938	0.224165	0.195014	0.0792494	0.0387674	0.0390477	0.0230626	0.0159767	0.0125001	0.0156068	0.0185506	0.0186794
a57	0.263882	0.205404	0.167333	0.0727944	0.0564599	0.0473813	0.0366545	0.0281206	0.0233237	0.0334127	0.0327792	0.0324547
a62	0.150386	0.159054	0.158152	0.0892034	0.0747239	0.061106	0.0589751	0.040162	0.0385822	0.0555397	0.0514364	0.0626796
a47	0.278981	0.221521	0.217869	0.0784339	0.0647963	0.0530298	0.0305814	0.0185372	0.0118538	0.00892166	0.0077948	0.00768103
a62	0.179629	0.175691	0.218241	0.129505	0.0770265	0.0799086	0.0469867	0.0306727	0.0208036	0.0144771	0.0131356	0.0139229
a96	0.0998593	0.138406	0.207993	0.14859	0.0947924	0.101021	0.0663095	0.0498916	0.0320051	0.0196102	0.0191047	0.0224182
a98	0.0758256	0.104477	0.144412	0.125505	0.0886449	0.102595	0.0869323	0.0819346	0.0653788	0.0419645	0.0355852	0.0467457
a85	0.0832166	0.117432	0.165564	0.158223	0.12757	0.122021	0.0853816	0.0649785	0.0340487	0.0163417	0.0125486	0.0126728
a27	0.0676371	0.0836311	0.136282	0.16235	0.167217	0.134102	0.0859894	0.0678626	0.0390955	0.0212159	0.0172626	0.0173537
a57	0.0176019	0.0224009	0.0424324	0.0965294	0.117937	0.139379	0.146608	0.139801	0.104362	0.0667095	0.045475	0.0607629
a38	0.0218745	0.0236381	0.0445485	0.0871706	0.116767	0.127915	0.13276	0.135398	0.112916	0.0596514	0.049965	0.0873962
a75	0.0127103	0.015537	0.0297691	0.060024	0.112529	0.105287	0.124173	0.130992	0.130946	0.0811043	0.0657165	0.131211
a66	0.0137578	0.0217331	0.0376724	0.0577851	0.121972	0.087055	0.103749	0.111299	0.10583	0.0837059	0.0888223	0.166619
a62	0.00680135	0.00644122	0.0100789	0.0168579	0.0496198	0.035165	0.0565001	0.0887027	0.124928	0.139906	0.160331	0.304668
a66	0.0119948	0.0147498	0.0229258	0.0338304	0.0837753	0.0585665	0.078381	0.108032	0.13264	0.124925	0.138196	0.191984
a75	0.00313368	0.00249324	0.00359341	0.00646416	0.022534	0.0136901	0.0258283	0.0526742	0.0894331	0.121612	0.224872	0.433672
a85	0.00639356	0.00719365	0.0117909	0.0157261	0.036618	0.0219075	0.0291827	0.0474486	0.0776818	0.107515	0.178695	0.459848
a66	0.0107598	0.0131508	0.0232205	0.0287395	0.0664868	0.0328243	0.035796	0.0526514	0.0740946	0.103996	0.174971	0.38331
a98	0.00171301	0.00150868	0.00232332	0.00341274	0.0128416	0.00570108	0.00779557	0.016389	0.0342289	0.0703541	0.183886	0.659846
