 	qui	va	traverser	le	fleuve	cette	nuit	</S>
a92	0.24175	0.140941	0.12023	0.116105	0.106548	0.115813	0.094263	0.0643492
a85	0.28873	0.151953	0.159781	0.124767	0.100839	0.0749315	0.0556612	0.0433379
a92	0.274739	0.193378	0.15552	0.144837	0.0982145	0.0522725	0.0414759	0.0395629
a75	0.318667	0.265338	0.141864	0.116935	0.0635707	0.0360599	0.0282148	0.0293502
a61	0.235387	0.240758	0.156882	0.16282	0.102701	0.0504796	0.0281258	0.0228474
a21	0.0906858	0.114797	0.128337	0.207677	0.197023	0.126891	0.0763265	0.0582624
a85	0.0911688	0.111062	0.137199	0.205896	0.20067	0.134668	0.0732257	0.0461111
a6	0.0376888	0.0523941	0.0871878	0.153051	0.224808	0.1948	0.136201	0.113869
a36	0.0163045	0.021901	0.0449771	0.0994716	0.197992	0.24711	0.18941	0.182834
a56	0.0105738	0.012647	0.0211429	0.0446072	0.0911383	0.173561	0.265593	0.380736
a12	0.00929519	0.0121194	0.0248746	0.049713	0.105585	0.180031	0.27019	0.348191
a96	0.00587474	0.00784885	0.0137294	0.0268404	0.0580628	0.123095	0.277861	0.486688
a61	0.00244526	0.00313256	0.00548647	0.0117049	0.0283827	0.0704318	0.22861	0.649807
a66	0.00185035	0.00221107	0.00358162	0.00746726	0.0164313	0.0490859	0.203536	0.715836
a9	0.0151536	0.0150963	0.01687	0.0240179	0.0383603	0.0805126	0.212631	0.597358
a99	0.174143	0.117904	0.131605	0.128108	0.105536	0.0830892	0.0937136	0.165903
a87	0.192832	0.151309	0.146104	0.154413	0.12262	0.0788996	0.069614	0.084209
a23	0.124894	0.110074	0.13125	0.168608	0.148868	0.108943	0.0975647	0.109798
a87	0.0650099	0.0731701	0.115674	0.154084	0.179905	0.133711	0.126786	0.15166
</S>	0.0500627	0.0694638	0.115299	0.152889	0.161044	0.125168	0.132483	0.19359
