 	la	silhou	ette	du	chien	est	longue	</S>
a66	0.238157	0.280604	0.125767	0.101671	0.110232	0.0845677	0.0398112	0.0191894
a10	0.201533	0.195015	0.157018	0.184375	0.175053	0.0644441	0.0146637	0.00789776
a87	0.342088	0.372892	0.153794	0.0693452	0.0326289	0.0153814	0.00805667	0.00581271
a23	0.368381	0.355528	0.14123	0.0784232	0.0365892	0.0112088	0.00474938	0.00388993
a62	0.380531	0.39404	0.137371	0.0595042	0.0179297	0.00542745	0.0027182	0.00247891
a31	0.400376	0.433686	0.108027	0.0393526	0.011356	0.00428434	0.00197935	0.000938663
a47	0.324252	0.429887	0.161738	0.0553662	0.0167392	0.00658177	0.00330793	0.00212773
a21	0.247656	0.314353	0.277433	0.0986638	0.0317479	0.014173	0.00888036	0.00709332
a85	0.180235	0.304566	0.338014	0.108804	0.0346454	0.0154195	0.0107291	0.00758694
a92	0.14322	0.219433	0.267952	0.168064	0.0888798	0.0486961	0.0372642	0.0264914
a98	0.1375	0.204462	0.204049	0.181141	0.125302	0.0672419	0.0462188	0.0340853
a85	0.0404891	0.105608	0.130123	0.2183	0.193248	0.123467	0.103082	0.085683
a21	0.0323519	0.0748874	0.0823658	0.144281	0.197976	0.158663	0.156367	0.153108
a5	0.0272634	0.0877849	0.0880744	0.116556	0.173774	0.17647	0.161472	0.168606
a21	0.0193485	0.0648157	0.0598828	0.0738588	0.136486	0.176422	0.203733	0.265453
a85	0.0119395	0.0323971	0.0300796	0.0399875	0.0971928	0.162743	0.249471	0.376189
a47	0.00670668	0.00997774	0.010501	0.0181865	0.0505523	0.0981674	0.242019	0.563889
a36	0.00197607	0.0033876	0.00337027	0.00574866	0.0202364	0.0528988	0.209648	0.702734
a2	0.00231921	0.00263433	0.00140071	0.00199323	0.00871154	0.0356634	0.198469	0.748809
a26	0.0185333	0.0114523	0.0104854	0.0178886	0.0594909	0.117228	0.255228	0.509694
a57	0.202605	0.117633	0.0804854	0.0526654	0.0599149	0.0708039	0.123255	0.292637
a82	0.294087	0.190854	0.113996	0.078775	0.0689197	0.0688132	0.0655146	0.11904
a97	0.196338	0.146995	0.105141	0.078573	0.0937055	0.11867	0.115562	0.145016
a87	0.16186	0.14817	0.131785	0.090601	0.11404	0.118108	0.108655	0.126782
a23	0.13996	0.14906	0.153182	0.102252	0.124181	0.114879	0.0938555	0.122631
a99	0.0153342	0.0170696	0.0296789	0.0388019	0.109661	0.16301	0.20431	0.422135
a97	0.0297536	0.0481077	0.0609489	0.0642338	0.0957306	0.131624	0.184757	0.384844
</S>	0.030168	0.04919	0.0466585	0.0564117	0.0797668	0.109757	0.173808	0.45424
