 	il	agrandit	le	trou	</S>
a87	0.371481	0.258773	0.150412	0.119614	0.09972
a10	0.16975	0.196572	0.255517	0.196171	0.18199
a87	0.209096	0.229331	0.236144	0.173083	0.152347
a23	0.222912	0.257809	0.224958	0.178784	0.115537
a30	0.308675	0.276128	0.170392	0.150056	0.0947479
a53	0.31951	0.28647	0.182519	0.138576	0.0729255
a20	0.400881	0.268057	0.134031	0.112395	0.0846361
a14	0.380865	0.247559	0.148159	0.123763	0.0996535
a35	0.453587	0.232593	0.1355	0.097469	0.0808506
a24	0.426846	0.217647	0.140347	0.108567	0.106593
a41	0.451668	0.222714	0.132399	0.0986746	0.0945442
a32	0.211788	0.161899	0.19232	0.201262	0.23273
a26	0.133333	0.137229	0.202348	0.242872	0.284218
a0	0.0836762	0.122104	0.21435	0.270561	0.309308
a43	0.0479522	0.100803	0.205809	0.283531	0.361905
a10	0.0293843	0.0606579	0.175818	0.297676	0.436464
a26	0.0202124	0.0416379	0.141963	0.303312	0.492874
a41	0.0184824	0.047981	0.156476	0.299052	0.478008
a94	0.0178725	0.058426	0.179988	0.287723	0.45599
a76	0.011081	0.0387924	0.138724	0.269099	0.542304
a35	0.0171314	0.0559139	0.164834	0.282574	0.479547
a98	0.0144216	0.0464223	0.125951	0.276973	0.536232
a14	0.0127802	0.04248	0.117868	0.272682	0.554189
a30	0.0155158	0.0527819	0.131677	0.266239	0.533786
a57	0.0192234	0.0511152	0.136805	0.270735	0.522121
a87	0.0309786	0.0727177	0.156	0.256274	0.48403
a23	0.0424652	0.0665366	0.122655	0.224061	0.544281
a87	0.0729255	0.0956452	0.14229	0.228843	0.460296
</S>	0.0233019	0.0458706	0.122526	0.246646	0.561655
