 	c'	est	le	mari	de	ngala	qui	vous	a	ouvert	la	maison	</S>
a66	0.150183	0.133362	0.0914584	0.0796048	0.0834146	0.109012	0.117941	0.0877025	0.0667662	0.0386937	0.0201318	0.011673	0.0100581
a87	0.163624	0.136221	0.112933	0.102881	0.0864082	0.0848809	0.0841706	0.0734325	0.0481607	0.0276682	0.0191058	0.028541	0.0319735
a23	0.186922	0.172442	0.1983	0.164809	0.103093	0.0591917	0.0352493	0.0281977	0.0200116	0.00874513	0.00544698	0.0074684	0.0101225
a30	0.131397	0.129372	0.150309	0.137664	0.10064	0.0700638	0.055806	0.0594508	0.057619	0.0415498	0.0250486	0.0199328	0.0211469
a13	0.125212	0.142014	0.173277	0.157298	0.106328	0.0666185	0.0511392	0.0423119	0.0368092	0.0278038	0.0249459	0.0216012	0.0246419
a93	0.210429	0.221897	0.177464	0.127355	0.074587	0.0434352	0.0371969	0.0297997	0.025233	0.0158907	0.0145826	0.0112414	0.0108883
a94	0.21383	0.237038	0.200366	0.117023	0.0615242	0.0311937	0.0366789	0.0306237	0.0240467	0.0146504	0.0167875	0.00932324	0.0069142
a96	0.124882	0.156825	0.179724	0.144906	0.109522	0.0597292	0.0627676	0.0500908	0.0363179	0.0250392	0.025237	0.0141604	0.0107996
a93	0.104661	0.125474	0.152646	0.137951	0.120384	0.07174	0.0749251	0.0619783	0.0454008	0.0329268	0.0337065	0.0212652	0.0169402
a70	0.0821158	0.0927173	0.115955	0.119567	0.119089	0.0825029	0.0906948	0.0776808	0.0581334	0.045986	0.0495215	0.0365138	0.0295231
a61	0.093069	0.0932762	0.111628	0.120074	0.128607	0.0969888	0.096893	0.0865234	0.0608915	0.0385554	0.0302218	0.0234664	0.0198043
a47	0.0778982	0.0771525	0.0992031	0.114454	0.126653	0.0972747	0.0978694	0.0874559	0.0629915	0.0459498	0.0419234	0.0378037	0.0333707
a61	0.0575195	0.0560659	0.0784287	0.11021	0.136181	0.126315	0.114042	0.102559	0.075325	0.053904	0.0347428	0.0287428	0.0259638
a21	0.0502893	0.0472192	0.0670248	0.100318	0.135214	0.141891	0.132511	0.116038	0.0803813	0.0441891	0.030691	0.0286959	0.0255376
a75	0.0255127	0.0230507	0.0327112	0.0587291	0.0922121	0.129396	0.135351	0.129257	0.110105	0.0702518	0.0663347	0.0679123	0.0591768
a93	0.0117339	0.0123619	0.0196727	0.0420024	0.0822104	0.123203	0.124113	0.119595	0.114403	0.0829943	0.0833721	0.0921248	0.0922137
a34	0.0199463	0.0194	0.0287701	0.0578417	0.104309	0.158157	0.134745	0.118744	0.0997976	0.0680983	0.0585392	0.066305	0.0653473
a56	0.0171661	0.0170158	0.0248546	0.0498573	0.0952975	0.161446	0.127365	0.108904	0.0943972	0.0692055	0.0684248	0.0813532	0.0847141
a34	0.0114615	0.0109547	0.0155915	0.0321559	0.0660984	0.13297	0.107413	0.0921255	0.0914937	0.0804842	0.0994163	0.127113	0.132723
a75	0.0104954	0.0112937	0.0163929	0.0332216	0.0670533	0.119482	0.0836993	0.0696505	0.0701057	0.0728534	0.10976	0.159968	0.176024
a92	0.00308989	0.00307082	0.00416169	0.00894853	0.0208672	0.0478227	0.0352493	0.0307546	0.0378062	0.0453441	0.111212	0.253294	0.398379
a37	0.00241438	0.0023011	0.00299046	0.00623169	0.0144511	0.0363839	0.027132	0.0247458	0.0326235	0.0422179	0.115587	0.276106	0.416815
a6	0.00390706	0.00405297	0.00540318	0.0111252	0.0232336	0.0362819	0.0157026	0.0116384	0.012964	0.0215383	0.0870319	0.277816	0.489305
a36	0.001954	0.00201964	0.00268413	0.0054685	0.0113664	0.0185116	0.00844254	0.00700941	0.00876436	0.0164641	0.0764457	0.27759	0.563279
a26	0.00553519	0.00470097	0.00473679	0.00559365	0.00801489	0.0088985	0.00440012	0.00393117	0.00442433	0.00927651	0.0499606	0.250696	0.639831
a30	0.115078	0.0597664	0.0450551	0.0413889	0.0441183	0.0520056	0.0424538	0.0459921	0.0418644	0.045362	0.0508805	0.129667	0.286368
a10	0.225068	0.120014	0.0873862	0.0724877	0.0576701	0.0680323	0.0586013	0.0641168	0.0523782	0.0329278	0.0237353	0.0459028	0.0916801
a87	0.188018	0.101343	0.0832244	0.0746014	0.0615264	0.0719969	0.0631807	0.0652937	0.057783	0.0399438	0.0330545	0.064925	0.0951094
a23	0.193889	0.113593	0.0876079	0.0709168	0.0574949	0.0593042	0.0524695	0.0476135	0.0424358	0.0369125	0.0474731	0.0862926	0.103998
a87	0.0758901	0.0496526	0.0437817	0.0490358	0.0495908	0.0721849	0.0620895	0.0606634	0.0616174	0.0512547	0.0757876	0.147788	0.200664
</S>	0.0393483	0.0256871	0.0224169	0.0233461	0.0266961	0.0391481	0.0332077	0.0345123	0.0421777	0.0482213	0.118707	0.233079	0.313452
