 	l'	homme	partit	le	fusil	en	bandoulière	</S>
a85	0.341289	0.170591	0.111192	0.10144	0.0857286	0.0754952	0.0657116	0.0485525
a87	0.358452	0.183458	0.116351	0.0829384	0.0569425	0.0537596	0.0668373	0.0812615
a23	0.24256	0.205243	0.172083	0.142361	0.0956026	0.0591076	0.0481293	0.0349131
a53	0.420913	0.218354	0.113117	0.0682176	0.0350337	0.027178	0.0436999	0.0734873
a69	0.493216	0.211707	0.0943656	0.0525815	0.0372058	0.034849	0.0384096	0.0376654
a20	0.266476	0.292082	0.218711	0.105582	0.0548402	0.0240431	0.0194717	0.018795
a73	0.211232	0.265158	0.227066	0.126392	0.0724458	0.0364447	0.0311993	0.0300614
a36	0.219382	0.271044	0.234356	0.131905	0.0731729	0.0302561	0.0210516	0.0188326
a27	0.175845	0.235878	0.22777	0.155307	0.100035	0.0450485	0.0314933	0.0286228
a57	0.142086	0.186293	0.188501	0.166588	0.138769	0.0726434	0.0528065	0.0523137
a38	0.145918	0.17499	0.154813	0.132875	0.117214	0.0891025	0.0843724	0.100715
a41	0.147096	0.178046	0.169993	0.155762	0.129881	0.0819844	0.0660129	0.0712257
a37	0.123299	0.128035	0.11705	0.110793	0.128288	0.148645	0.142089	0.101801
a96	0.0935037	0.0940813	0.0910447	0.0999273	0.120135	0.167556	0.192786	0.140967
a31	0.0849288	0.0805806	0.0707574	0.081228	0.100621	0.15563	0.217283	0.208972
a98	0.0633302	0.0570004	0.0473563	0.0550523	0.0759662	0.147214	0.244854	0.309227
a71	0.0577395	0.0481263	0.0369156	0.0434185	0.06851	0.14884	0.275373	0.321077
a9	0.0590356	0.0457832	0.0332523	0.0382656	0.0522184	0.0975862	0.207665	0.466194
a97	0.0212673	0.0169627	0.0148004	0.0189211	0.036442	0.0922843	0.234876	0.564447
a87	0.0195202	0.0103057	0.0089381	0.0170874	0.0398796	0.104838	0.24514	0.554291
a23	0.0261099	0.0134735	0.0109867	0.0262808	0.0587939	0.125858	0.262415	0.476082
a87	0.032501	0.0188631	0.013139	0.0309105	0.0622754	0.133047	0.282408	0.426856
a23	0.0153497	0.00726361	0.00511833	0.0152381	0.0403455	0.114381	0.282874	0.51943
a53	0.0453123	0.0251852	0.0160341	0.0333896	0.0614608	0.128019	0.268267	0.422332
a69	0.134392	0.0741457	0.0508749	0.0627356	0.0753942	0.103068	0.178139	0.321251
a58	0.042117	0.0375045	0.0370116	0.0628228	0.121635	0.183573	0.240444	0.274893
a57	0.0169188	0.0158631	0.0157523	0.0305399	0.0779727	0.174846	0.279924	0.388183
a9	0.00885206	0.0077368	0.00709724	0.0144641	0.0370722	0.111736	0.263334	0.549707
a38	0.00613884	0.0050497	0.00466906	0.00993075	0.0272814	0.0969363	0.268808	0.581185
a73	0.012937	0.00789942	0.00645318	0.0133704	0.0343154	0.102164	0.254999	0.567862
a44	0.00519086	0.00349362	0.00337751	0.0087455	0.0250364	0.0836724	0.238283	0.6322
a12	0.00791838	0.00424646	0.0031491	0.00642042	0.0171909	0.0686724	0.223273	0.66913
a18	0.0147659	0.00812862	0.00605795	0.0119197	0.0276059	0.0888935	0.245904	0.596725
a71	0.0127364	0.00617284	0.00416056	0.00809009	0.0190758	0.0711788	0.222281	0.656304
a25	0.0126301	0.00565522	0.00363809	0.00725906	0.0183712	0.0702898	0.216494	0.665663
a38	0.0146077	0.00586521	0.00329445	0.00750495	0.0173117	0.0653271	0.216771	0.669318
a94	0.0183327	0.00883861	0.00470293	0.00909522	0.0162685	0.05238	0.189636	0.700746
a98	0.0205729	0.00915055	0.00467334	0.00888078	0.0164901	0.0556417	0.191844	0.692747
a32	0.0258862	0.0121652	0.00608074	0.0100767	0.0174679	0.0602277	0.197881	0.670215
a0	0.0409991	0.0173823	0.00833634	0.013893	0.0213675	0.0596158	0.189827	0.648579
a13	0.0238265	0.00918572	0.00434825	0.00767126	0.0144581	0.0495879	0.187365	0.703557
a9	0.0367908	0.0144587	0.0070387	0.0132003	0.0237844	0.0723142	0.219526	0.612887
a87	0.029302	0.011548	0.00588523	0.011268	0.0199238	0.0608035	0.200523	0.660747
</S>	0.0264603	0.0106109	0.0051077	0.00903403	0.0165845	0.0517192	0.184139	0.696345
