 	on	construit	la	cage	des	oiseaux	avec	la	partie	intérieure	du	bambou	</S>
a66	0.254285	0.216562	0.19356	0.1598	0.0598848	0.0206207	0.0127273	0.0177584	0.0187936	0.0137089	0.00980137	0.011685	0.0108138
a87	0.302315	0.194321	0.167016	0.138892	0.0425058	0.0202463	0.0164265	0.0248785	0.0238638	0.0234761	0.0161951	0.0160528	0.0138118
a23	0.363884	0.221828	0.160942	0.103896	0.0401804	0.0197045	0.0145277	0.0199046	0.0166477	0.0137359	0.0091179	0.00730364	0.00832819
a40	0.22116	0.128128	0.0972275	0.084127	0.0535937	0.0375215	0.0418221	0.0684809	0.0650396	0.0533906	0.0460621	0.0490761	0.0543707
a7	0.226439	0.152435	0.151601	0.129991	0.076572	0.0409005	0.0370563	0.0432277	0.0385202	0.0272758	0.0279816	0.0269774	0.021023
a4	0.0935944	0.087208	0.129718	0.194682	0.145632	0.0637186	0.0408961	0.0445508	0.0379418	0.0358264	0.0451692	0.0432158	0.0378481
a54	0.0517377	0.0591126	0.119221	0.241615	0.259556	0.116856	0.0440784	0.0368842	0.0247915	0.0156359	0.0118288	0.00980933	0.00887329
a37	0.028595	0.0359417	0.0795137	0.234743	0.251362	0.112555	0.0556525	0.0469685	0.04027	0.0364743	0.0284001	0.0248956	0.0246279
a12	0.0366077	0.0433117	0.0660134	0.102957	0.164089	0.110371	0.0749899	0.0665914	0.059163	0.0662517	0.0559653	0.0659777	0.0877115
a5	0.062425	0.077729	0.0759207	0.0682988	0.0889168	0.0899901	0.0932758	0.0817273	0.0674783	0.0700756	0.057163	0.0689498	0.0980499
a37	0.0244092	0.0308089	0.0305648	0.030326	0.0417399	0.0604542	0.0857709	0.0900771	0.0882137	0.112966	0.103471	0.124113	0.177085
a11	0.0201468	0.026487	0.0260987	0.0254862	0.0347899	0.0470272	0.0770035	0.0804109	0.0827396	0.103921	0.111919	0.145516	0.218454
a94	0.0156545	0.0188124	0.0189986	0.0199138	0.0293346	0.0435184	0.0760578	0.0751199	0.0800785	0.111915	0.125215	0.149854	0.235527
a66	0.00898055	0.0109436	0.0118024	0.0137777	0.0212597	0.0306228	0.0630637	0.0594055	0.0641595	0.108658	0.127506	0.159461	0.320359
a18	0.00453099	0.00435969	0.00475802	0.00615802	0.0103296	0.013953	0.0228611	0.0223655	0.0280058	0.0719664	0.107353	0.191992	0.511366
a71	0.00823799	0.0069789	0.00733191	0.00873985	0.0129155	0.0194394	0.0326618	0.0326232	0.0398941	0.0809242	0.127115	0.199638	0.4235
a38	0.0193782	0.0142668	0.0150727	0.0190749	0.0257602	0.03653	0.0622672	0.0558298	0.062623	0.0991388	0.14573	0.172799	0.271529
a25	0.00596806	0.00384016	0.00452455	0.00821193	0.0122492	0.0234945	0.0450425	0.0469604	0.0628655	0.113289	0.159847	0.200336	0.313371
a87	0.00513603	0.00346332	0.00417456	0.00679097	0.0100613	0.0189319	0.0374422	0.036176	0.0460331	0.110079	0.164532	0.198875	0.358305
a23	0.236814	0.145695	0.101392	0.0737924	0.0461118	0.0400388	0.0459082	0.0477581	0.0453263	0.0516596	0.0476625	0.0501932	0.0676478
a87	0.105952	0.0922206	0.104184	0.103237	0.0628434	0.0614642	0.0630473	0.0605712	0.0610002	0.0649974	0.0612232	0.0607654	0.0984942
</S>	0.0245263	0.0159699	0.0190016	0.0256693	0.0230913	0.0258363	0.032462	0.0333553	0.0444866	0.0732287	0.13954	0.191095	0.351738
