 	cet	homme-là	avait	eu	des	rapports	sexuels	avec	ta	soeur	</S>
a66	0.221316	0.215643	0.171649	0.155747	0.106277	0.0525253	0.0280974	0.0215159	0.0122374	0.00769548	0.00729613
a87	0.296549	0.203779	0.121879	0.0908435	0.109716	0.10072	0.0451665	0.0146007	0.00676365	0.00496742	0.00501665
a23	0.225088	0.190756	0.279972	0.186159	0.0684134	0.0236823	0.0102442	0.00495317	0.0037018	0.00338928	0.00363956
a18	0.208858	0.166847	0.226226	0.172265	0.0670981	0.0330578	0.0249298	0.0229492	0.0237929	0.0257536	0.0282229
a83	0.167635	0.126331	0.104514	0.0848546	0.0546696	0.0560626	0.06588	0.0579577	0.0832225	0.101876	0.0969959
a54	0.218548	0.186575	0.145395	0.116176	0.0872414	0.0699165	0.0385848	0.0271804	0.0337166	0.0399331	0.0367325
a47	0.120884	0.141205	0.110283	0.100943	0.132024	0.13074	0.0758161	0.0427545	0.0446514	0.0524068	0.0482929
a6	0.0532259	0.0958276	0.0888864	0.0902807	0.131509	0.17627	0.135993	0.0598314	0.0504226	0.0594085	0.0583444
a36	0.0821908	0.111338	0.102972	0.0995695	0.113576	0.16886	0.149912	0.0510034	0.0365824	0.0428255	0.0411706
a11	0.0927519	0.114665	0.113767	0.10806	0.101017	0.143147	0.13519	0.0460574	0.0380371	0.0528231	0.0544838
a31	0.0778255	0.0935431	0.100895	0.129859	0.129293	0.182311	0.147146	0.0340126	0.0281556	0.0379483	0.0390109
a83	0.0545928	0.0724944	0.0768464	0.138857	0.16105	0.192143	0.160545	0.0444973	0.0296342	0.0341891	0.0351508
a9	0.0307928	0.0416881	0.0519689	0.109681	0.147276	0.146554	0.178941	0.100039	0.062611	0.0643752	0.0660733
a40	0.0346125	0.054194	0.0689464	0.0980416	0.0671404	0.0518973	0.0812298	0.122641	0.123775	0.145183	0.152339
a47	0.00995991	0.0118726	0.0122616	0.0204615	0.0276212	0.0332655	0.0645639	0.101208	0.170002	0.25939	0.289395
a5	0.00750645	0.00910667	0.0112343	0.0198478	0.0206586	0.0186823	0.0459194	0.21089	0.202516	0.210974	0.242664
a12	0.00994548	0.0115444	0.0182148	0.0318061	0.0349956	0.0348556	0.0653538	0.18278	0.211966	0.20016	0.198378
a21	0.00438235	0.00524511	0.00900201	0.0149454	0.0167542	0.0177172	0.040527	0.148701	0.266355	0.259386	0.216985
a85	0.00265162	0.00319446	0.00568286	0.00965221	0.0112735	0.0124844	0.0301075	0.118611	0.253477	0.300754	0.252111
a92	0.000550326	0.000664836	0.00116894	0.00176743	0.00166625	0.00156721	0.00551239	0.0602838	0.199343	0.349661	0.377815
a94	0.000367379	0.000433972	0.000704454	0.00114948	0.00126816	0.001236	0.00424252	0.0558497	0.200503	0.33087	0.403375
a93	0.000945603	0.00124987	0.00238023	0.00328582	0.00317792	0.00247876	0.00474054	0.0374563	0.155947	0.328695	0.459642
a75	0.000580369	0.000748885	0.00124145	0.00177545	0.00189269	0.00154698	0.00355336	0.0373427	0.157924	0.345195	0.448199
a92	0.000283676	0.000351508	0.00062657	0.000923574	0.00128189	0.00136997	0.00400489	0.0310403	0.128195	0.333988	0.497934
a36	0.000173348	0.000227543	0.000435259	0.000647502	0.000915788	0.00104539	0.00364911	0.0324411	0.122487	0.328547	0.509432
a26	0.000614	0.000814406	0.00118924	0.00159639	0.00261619	0.00370561	0.00810149	0.0392355	0.106819	0.321717	0.513591
a57	0.024301	0.032631	0.0672593	0.0671486	0.0628388	0.0540862	0.0480874	0.0803461	0.114983	0.181214	0.267105
a87	0.102317	0.102491	0.214911	0.183586	0.0952342	0.0545066	0.0377383	0.0419954	0.0432319	0.0511046	0.0728844
a23	0.126091	0.145769	0.264741	0.20391	0.117421	0.0465037	0.0228632	0.015098	0.0153815	0.0191709	0.0230512
a87	0.0869418	0.0893077	0.177363	0.172336	0.0996107	0.0319989	0.0207831	0.0288702	0.0586772	0.107177	0.126935
</S>	0.0211839	0.0246577	0.0501284	0.0522222	0.043205	0.0174673	0.0181337	0.04647	0.11242	0.260441	0.35367
