 	il	a	perdu	une	aiguille	</S>
a23	0.379705	0.281435	0.139134	0.0734944	0.0668243	0.0594076
a87	0.274369	0.176312	0.183163	0.140422	0.133581	0.0921525
a30	0.28009	0.181306	0.168083	0.143034	0.130812	0.0966747
a53	0.246834	0.189374	0.158397	0.13195	0.158401	0.115043
a20	0.398312	0.263868	0.121227	0.0739226	0.0712452	0.071425
a30	0.375902	0.365286	0.142492	0.0579968	0.037324	0.0209987
a35	0.317219	0.294243	0.188481	0.101977	0.0638034	0.0342761
a24	0.332911	0.276285	0.188997	0.102534	0.0619841	0.0372887
a41	0.338984	0.263111	0.182965	0.104609	0.0652793	0.0450522
a35	0.234338	0.216065	0.199416	0.1491	0.112726	0.0883547
a26	0.164881	0.161243	0.186805	0.17738	0.165983	0.143707
a43	0.118847	0.131943	0.166845	0.17497	0.20985	0.197545
a75	0.0726169	0.0854746	0.129812	0.17051	0.247863	0.293723
a35	0.0448527	0.0539489	0.0948408	0.160657	0.264566	0.381134
a2	0.0259606	0.0329787	0.0724397	0.155758	0.280069	0.432794
a38	0.0118093	0.015342	0.0308902	0.084476	0.300009	0.557473
a90	0.0117706	0.0124038	0.0277415	0.0892895	0.295599	0.563196
a94	0.00800437	0.00928661	0.0288008	0.0999312	0.280815	0.573162
a98	0.0120116	0.0119575	0.025046	0.0818907	0.264425	0.604669
a54	0.0157128	0.0174112	0.0359295	0.112605	0.267141	0.5512
a30	0.00579173	0.00783129	0.018514	0.0674902	0.242572	0.657801
a57	0.0176781	0.021104	0.0381759	0.0993297	0.219914	0.603798
a87	0.0446594	0.0456794	0.0677316	0.133267	0.221193	0.48747
</S>	0.0300354	0.0373892	0.0608149	0.137788	0.274104	0.459868
