 	ils	nous	ont	fait	remonter	le	fleuve	</S>
a23	0.396476	0.204611	0.134414	0.120673	0.0737227	0.0234452	0.026886	0.0197717
a87	0.257859	0.13359	0.121922	0.145302	0.156368	0.0587109	0.0671734	0.0590755
a23	0.127221	0.12016	0.136397	0.15163	0.196964	0.0934114	0.0878378	0.0863776
a87	0.254267	0.155215	0.139274	0.126839	0.0926306	0.0788028	0.0832941	0.069678
a23	0.165941	0.112552	0.112828	0.120334	0.126379	0.126379	0.126413	0.109174
a99	0.275744	0.13572	0.111646	0.0997752	0.0728012	0.0986254	0.107083	0.0986055
a7	0.281341	0.162801	0.116491	0.0944944	0.0631475	0.0744717	0.0989205	0.108333
a44	0.172678	0.16418	0.158333	0.17546	0.133224	0.0661062	0.066762	0.0632581
a34	0.0997135	0.110579	0.119031	0.168361	0.153775	0.104464	0.120068	0.124007
a37	0.0688547	0.0865659	0.104495	0.154478	0.167649	0.124145	0.145264	0.148548
a70	0.0446217	0.0603097	0.0849756	0.143804	0.19738	0.140104	0.160669	0.168135
a83	0.0419168	0.0590216	0.0847782	0.142787	0.196066	0.138552	0.163915	0.172964
a70	0.0266028	0.0307905	0.0551248	0.119271	0.198199	0.150917	0.194962	0.224134
a83	0.0179984	0.0191228	0.0392435	0.0979743	0.233091	0.173389	0.205341	0.21384
a38	0.0188478	0.0185897	0.0381697	0.0921471	0.206154	0.168123	0.218904	0.239065
a0	0.0145027	0.0118857	0.025179	0.0737273	0.227753	0.170167	0.225899	0.250886
a38	0.00971466	0.00741252	0.0139732	0.037554	0.197001	0.194915	0.264116	0.275314
a83	0.00416769	0.00293463	0.00465955	0.0106501	0.108448	0.188957	0.322431	0.357751
a18	0.00296832	0.00201834	0.00336259	0.00773926	0.0920563	0.18225	0.330732	0.378873
a50	0.00260435	0.00138642	0.00195684	0.00327387	0.0607337	0.193232	0.320546	0.416267
a0	0.00212513	0.00135873	0.00170578	0.00257044	0.0485148	0.170494	0.336567	0.436664
a24	0.00186518	0.000998096	0.00116772	0.00162296	0.0283614	0.148986	0.340426	0.476573
a50	0.00193815	0.00111219	0.00127972	0.00146327	0.0238334	0.141858	0.320941	0.507575
a99	0.00476666	0.00236954	0.00261267	0.00325544	0.0375769	0.163537	0.32171	0.464171
a11	0.021203	0.00925598	0.00904856	0.00855621	0.0557367	0.154484	0.285478	0.456238
a56	0.023228	0.0101477	0.00997559	0.00848285	0.050884	0.141718	0.273694	0.481869
a70	0.00420104	0.00188315	0.00229097	0.0025489	0.03553	0.103425	0.25919	0.590931
a66	0.00223463	0.00108396	0.00142202	0.00167867	0.0266628	0.096822	0.263059	0.607037
a57	0.00713899	0.0028861	0.00356732	0.00381766	0.0390004	0.119792	0.275995	0.547802
a82	0.0665202	0.0249197	0.0206919	0.0163894	0.0683779	0.119142	0.24289	0.441069
a3	0.177933	0.0845053	0.0669735	0.0513383	0.106318	0.0979068	0.165726	0.249299
a87	0.180433	0.109655	0.0858431	0.0608864	0.127888	0.0995877	0.143258	0.192449
a23	0.13925	0.10535	0.103427	0.0809793	0.168705	0.104664	0.129959	0.167665
a87	0.177227	0.0921525	0.0787818	0.0782412	0.15397	0.11628	0.15099	0.152358
a23	0.138711	0.069166	0.063804	0.0636011	0.144597	0.119996	0.1849	0.215225
a87	0.115074	0.0662593	0.0623369	0.0778721	0.202748	0.135264	0.168663	0.171783
a23	0.0981953	0.0516651	0.0490071	0.0562785	0.155305	0.14163	0.214332	0.233587
a97	0.102206	0.0639894	0.0622884	0.0790963	0.214627	0.136101	0.170291	0.171401
a82	0.0796427	0.0382375	0.0383417	0.0411366	0.114482	0.134978	0.238703	0.314478
</S>	0.14811	0.0690038	0.0677408	0.0652012	0.11894	0.116241	0.186868	0.227895
