 	les	gens	du	village	se	moquent	du	boiteux	</S>
a23	0.373738	0.25481	0.159933	0.0888467	0.0482092	0.0231162	0.0132041	0.016471	0.0216715
a87	0.48122	0.210758	0.128844	0.0693713	0.0445341	0.0250601	0.00968038	0.0116465	0.0188848
a23	0.192996	0.145538	0.135827	0.123309	0.103093	0.0898627	0.0467669	0.0648423	0.0977657
a99	0.353385	0.167424	0.11145	0.0706612	0.0477	0.0410802	0.027767	0.0543781	0.126154
a20	0.398238	0.197705	0.113012	0.0774347	0.0441687	0.0286639	0.0178644	0.0312576	0.0916549
a73	0.327885	0.188912	0.138089	0.110994	0.0761819	0.0476658	0.0260365	0.0331136	0.0511219
a20	0.219697	0.188659	0.182527	0.161172	0.10515	0.0613546	0.0307378	0.0258831	0.0248193
a73	0.214498	0.192296	0.178246	0.142765	0.0983963	0.0654276	0.0422548	0.0360385	0.0300786
a84	0.191171	0.183387	0.173944	0.146776	0.106968	0.080393	0.0504524	0.0367998	0.030109
a53	0.127641	0.153706	0.163287	0.216374	0.155223	0.0890369	0.0409578	0.0269145	0.0268602
a69	0.102619	0.136901	0.148447	0.177511	0.131063	0.103207	0.0744004	0.0644456	0.0614057
a4	0.110026	0.140792	0.141377	0.148752	0.109346	0.0978359	0.0886023	0.0844459	0.0788233
a57	0.0998763	0.14724	0.15271	0.16206	0.125364	0.105164	0.0807716	0.0684237	0.0583895
a3	0.0904591	0.129925	0.138911	0.171307	0.138893	0.127311	0.087233	0.063906	0.0520552
a87	0.0491269	0.0813039	0.105284	0.175037	0.172406	0.167746	0.101505	0.069767	0.0778243
a23	0.0528007	0.0802634	0.0964761	0.148355	0.21542	0.200143	0.100786	0.0490916	0.0566653
a20	0.0616543	0.0790758	0.100737	0.142633	0.17264	0.167289	0.0893826	0.0639014	0.122687
a73	0.0955091	0.103272	0.100442	0.129076	0.118831	0.100137	0.0899672	0.0955367	0.167228
a44	0.0952091	0.130244	0.12419	0.134307	0.120338	0.0998383	0.0913764	0.0920193	0.112477
a26	0.0533871	0.0730409	0.0862763	0.137623	0.136266	0.129412	0.117221	0.115709	0.151065
a38	0.0363927	0.0501886	0.0560108	0.0943282	0.103526	0.126865	0.144572	0.167259	0.220857
a56	0.0438425	0.0490485	0.0512352	0.087652	0.103123	0.139972	0.153311	0.166873	0.204943
a12	0.0461888	0.0492217	0.0490139	0.0724039	0.08957	0.138619	0.16668	0.173618	0.214685
a43	0.03496	0.0305844	0.0275685	0.0411518	0.0617827	0.123588	0.1826	0.209248	0.288517
a32	0.032672	0.0252642	0.020941	0.0305986	0.0465172	0.103496	0.179481	0.226908	0.334123
a75	0.0350378	0.0248776	0.0200895	0.0288523	0.0412257	0.0918178	0.169166	0.232997	0.355936
a41	0.0335135	0.0218773	0.0175684	0.0287765	0.0469577	0.103543	0.1846	0.241265	0.321898
a37	0.0205059	0.0150388	0.0127812	0.0226002	0.0355841	0.0803139	0.132186	0.226149	0.454841
a96	0.0129868	0.00938888	0.00828124	0.0150372	0.0213983	0.0486472	0.0957288	0.225404	0.563127
a56	0.0134579	0.00941923	0.0081237	0.0129509	0.0194367	0.0470456	0.0922199	0.206705	0.590641
a94	0.0270244	0.0168036	0.0132962	0.0172735	0.0257142	0.0576074	0.102473	0.196796	0.543011
a25	0.0247022	0.0132314	0.00987778	0.0121391	0.0177645	0.0416308	0.0749368	0.179409	0.626309
a87	0.0102335	0.00717158	0.00681036	0.0109563	0.0152232	0.0364533	0.0591829	0.151847	0.702122
</S>	0.00675551	0.00440856	0.0037642	0.00448634	0.00792479	0.0247839	0.0568096	0.187853	0.703215
