 	c'	est	une	ancienne	plantation	</S>
a23	0.300825	0.217603	0.146977	0.0980001	0.102625	0.13397
a41	0.342362	0.223869	0.181886	0.124946	0.0689207	0.0580167
a32	0.499465	0.308894	0.133463	0.0366586	0.0140603	0.00745918
a71	0.484627	0.305846	0.149911	0.0429635	0.0119617	0.00469056
a38	0.430235	0.305377	0.165795	0.0646186	0.0231533	0.0108211
a26	0.387751	0.295664	0.179642	0.0871906	0.0345941	0.0151585
a35	0.335341	0.27794	0.190441	0.117197	0.0531042	0.0259777
a66	0.232216	0.232297	0.202908	0.165755	0.10811	0.0587137
a53	0.184572	0.202807	0.185983	0.178906	0.1515	0.096233
a76	0.127044	0.1636	0.183804	0.213671	0.186856	0.125026
a35	0.118105	0.141219	0.173587	0.214608	0.196385	0.156096
a66	0.0753083	0.102506	0.146395	0.215705	0.234517	0.22557
a75	0.0458431	0.068248	0.10325	0.178463	0.256394	0.347802
a41	0.0224731	0.0385868	0.0747186	0.15774	0.273158	0.433324
a35	0.0270335	0.0412014	0.0701969	0.126282	0.268667	0.466619
a27	0.0381982	0.0517586	0.0689212	0.102851	0.24057	0.4977
a30	0.0277096	0.0427211	0.0557459	0.0849461	0.252921	0.535956
a38	0.0123044	0.0195344	0.0317897	0.064959	0.261872	0.609541
a14	0.02788	0.0364116	0.0474241	0.0727924	0.217719	0.597772
a94	0.0230111	0.0301543	0.0432535	0.0758753	0.223246	0.60446
a7	0.0154478	0.0222059	0.0313155	0.0622457	0.218929	0.649856
a57	0.0180396	0.032453	0.0476315	0.0957488	0.277765	0.528362
a87	0.030037	0.0383143	0.049838	0.0936259	0.263474	0.524711
</S>	0.0860034	0.0809341	0.0760004	0.0890758	0.217773	0.450213
