 	les	petits	enfants	ont	pris	l'	ebvéndé	au	piège	</S>
a87	0.142206	0.107596	0.106513	0.149681	0.158801	0.147073	0.115038	0.0349728	0.0202041	0.0179148
a23	0.183266	0.0610457	0.0435233	0.0540508	0.108401	0.173506	0.215108	0.0679098	0.0468507	0.0463387
a54	0.1169	0.0542145	0.0555996	0.0631844	0.0940756	0.114477	0.144694	0.0967508	0.110086	0.150018
a85	0.2196	0.175261	0.130536	0.094965	0.0891266	0.0950606	0.0729821	0.0487417	0.0390257	0.0347011
a37	0.170396	0.133185	0.106189	0.0886105	0.10459	0.114323	0.124585	0.0596253	0.0493031	0.0491928
a98	0.229485	0.191066	0.152719	0.10017	0.0909644	0.0736231	0.0700579	0.032777	0.0281928	0.0309454
a85	0.104243	0.0911382	0.104675	0.103587	0.129691	0.13981	0.161987	0.0647634	0.0503813	0.0497246
a61	0.122448	0.098347	0.120105	0.128508	0.146468	0.136274	0.123168	0.050916	0.0381501	0.0356155
a47	0.117976	0.122313	0.133721	0.139343	0.161682	0.12782	0.122222	0.0345766	0.0219069	0.0184378
a0	0.13662	0.145217	0.152277	0.137788	0.142493	0.113351	0.103647	0.0314592	0.0198383	0.0173098
a75	0.112506	0.120472	0.136436	0.129084	0.161785	0.117975	0.100839	0.0412639	0.0393931	0.0402453
a85	0.0985648	0.113941	0.149433	0.143199	0.162517	0.119909	0.0850551	0.0460197	0.0402607	0.0411009
a41	0.0896281	0.0982669	0.11534	0.114945	0.127294	0.117667	0.103344	0.0764147	0.0786416	0.0784594
a44	0.108162	0.116348	0.123949	0.110639	0.119446	0.119106	0.10057	0.0669767	0.0663611	0.0684428
a93	0.094256	0.112892	0.118948	0.112624	0.11613	0.119808	0.106062	0.0810944	0.0698855	0.0683018
a70	0.0755194	0.104837	0.125962	0.126544	0.127907	0.120454	0.0869324	0.0749492	0.0756524	0.0812423
a34	0.0393571	0.0514924	0.0635478	0.0722561	0.0872308	0.0965482	0.0928995	0.166802	0.166558	0.163308
a47	0.0354059	0.0568744	0.0784784	0.0855277	0.0992314	0.101992	0.0819939	0.15611	0.156396	0.14799
a83	0.0297236	0.0382087	0.0466902	0.0531293	0.0567935	0.0580204	0.0556131	0.162367	0.248742	0.250712
a38	0.00844158	0.0104055	0.0136268	0.0177661	0.0247236	0.0314006	0.0349922	0.182139	0.343598	0.332906
a21	0.00461214	0.00584575	0.00755152	0.0106837	0.0156448	0.0210628	0.021269	0.1491	0.358429	0.405801
a96	0.0108409	0.011555	0.0152475	0.017723	0.0293683	0.0356523	0.0330229	0.143312	0.327543	0.375735
a21	0.00393777	0.00474165	0.00528486	0.00694839	0.0119381	0.0183075	0.0214568	0.109787	0.339185	0.478413
a62	0.00567695	0.00638746	0.00672785	0.00816081	0.0138849	0.0213255	0.023955	0.123099	0.329165	0.461618
a61	0.00267773	0.00340944	0.00327687	0.0042171	0.00592107	0.0105223	0.0147691	0.103025	0.32707	0.525112
a21	0.00134076	0.00185726	0.00182445	0.00261553	0.00383606	0.00732047	0.0110506	0.0984305	0.329927	0.541797
a96	0.0031622	0.00351852	0.00387037	0.00499057	0.00983444	0.0171397	0.0251397	0.126529	0.321053	0.484762
a83	0.00150992	0.00185541	0.00175355	0.002555	0.00395157	0.00730118	0.0108505	0.0877702	0.317247	0.565206
a71	0.000984987	0.00110143	0.000934329	0.00128013	0.00232395	0.00492554	0.00714274	0.0771703	0.314818	0.589319
a38	0.00224517	0.00180381	0.00147018	0.00179962	0.00424565	0.00947426	0.0103343	0.101641	0.329799	0.537187
a70	0.000519561	0.000463492	0.000413253	0.000582347	0.00146333	0.00395038	0.00601469	0.0601301	0.284856	0.641606
a41	0.00063808	0.00062416	0.000500152	0.000592988	0.000988993	0.00212548	0.00371292	0.0530249	0.299114	0.638679
a26	0.000412194	0.000426221	0.000368089	0.000479085	0.0011114	0.00297084	0.00519801	0.0593365	0.306649	0.623048
a3	0.00547881	0.00371755	0.0032374	0.0042869	0.0112879	0.0241607	0.0306065	0.133904	0.295517	0.487803
a87	0.0219626	0.0162523	0.0147375	0.0162736	0.0217642	0.0365139	0.0588793	0.182983	0.280802	0.349832
a23	0.0401126	0.0294496	0.0254292	0.0243951	0.036142	0.0560429	0.0833613	0.201353	0.247135	0.256579
a87	0.0197138	0.01281	0.0099328	0.00926517	0.0147253	0.0272731	0.0449243	0.153684	0.309608	0.398064
a23	0.00559692	0.00467795	0.00501248	0.00573912	0.0108818	0.0251834	0.0449282	0.112855	0.28718	0.497945
a87	0.00731059	0.00517249	0.00530012	0.00586731	0.0107918	0.0211775	0.0284498	0.100497	0.290617	0.524816
a97	0.00697921	0.00531156	0.00520729	0.00547375	0.0101873	0.0208784	0.030688	0.0869315	0.278584	0.549759
</S>	0.0289994	0.0208427	0.0226546	0.0257022	0.0403326	0.0549051	0.0657348	0.0975462	0.22067	0.422612
