 	le	moineau	s'	est	perché	sur	le	palmier	</S>
a66	0.350916	0.322979	0.177405	0.0657138	0.035465	0.0183493	0.0116356	0.00942546	0.00811056
a87	0.201411	0.319905	0.237168	0.119481	0.0702807	0.0287059	0.0106207	0.00776441	0.00466425
a23	0.267006	0.397745	0.203086	0.0734283	0.024115	0.0085888	0.00676793	0.0105956	0.00866819
a5	0.122174	0.343583	0.228345	0.148277	0.0755523	0.0325838	0.0176817	0.01645	0.0153529
a12	0.314898	0.241872	0.156303	0.0883743	0.0609068	0.0437903	0.0341407	0.029072	0.0306424
a43	0.195099	0.277648	0.231978	0.133097	0.0760634	0.0402699	0.0201091	0.0130787	0.0126566
a75	0.10719	0.261983	0.239652	0.204919	0.106708	0.0475046	0.0186536	0.00722863	0.00616121
a25	0.139408	0.271263	0.257196	0.176865	0.097369	0.0340034	0.0120186	0.00668553	0.00519212
a92	0.105208	0.203929	0.146627	0.147028	0.173557	0.125173	0.0547349	0.0258421	0.0179025
a12	0.0536801	0.0852901	0.0800976	0.114073	0.17692	0.21249	0.142663	0.0781341	0.056652
a43	0.0203045	0.0188395	0.0173687	0.0478196	0.115745	0.198701	0.213707	0.192252	0.175263
a75	0.00387644	0.00578065	0.0045524	0.00927429	0.026747	0.098628	0.18766	0.247136	0.416346
a85	0.00157362	0.00185858	0.00202484	0.00585831	0.0176565	0.078414	0.185707	0.251182	0.455725
a37	0.000332948	0.00037254	0.000472845	0.00153609	0.00391897	0.0202686	0.0939647	0.196769	0.682364
a61	0.00198045	0.00157278	0.0014471	0.00269117	0.0053829	0.0163942	0.0809431	0.176993	0.712596
a66	0.00156855	0.00153149	0.0014489	0.00288905	0.00699989	0.0261572	0.0951076	0.214448	0.649849
a62	0.0468685	0.0349548	0.0207877	0.0195696	0.0209587	0.0380518	0.0957569	0.187637	0.535415
a21	0.0108357	0.00871221	0.00585264	0.00612612	0.00598462	0.0163366	0.0743452	0.191771	0.680036
a6	0.000865843	0.000651953	0.000666117	0.0013049	0.00317378	0.0168385	0.0836566	0.235152	0.65769
a36	0.000641569	0.000690502	0.000923755	0.00203743	0.00438435	0.0160917	0.077958	0.222881	0.674392
a27	0.00776913	0.0065563	0.00603366	0.0104333	0.0170767	0.0379054	0.103429	0.229383	0.581414
a82	0.142638	0.128267	0.0651452	0.0520026	0.0483377	0.0724468	0.11617	0.13632	0.238673
a87	0.379956	0.289576	0.0757868	0.0399745	0.0326805	0.035348	0.0437484	0.0434635	0.0594661
a23	0.404644	0.382321	0.0974091	0.0443134	0.0252895	0.0117998	0.0114968	0.00982232	0.0129046
a99	0.105466	0.0870676	0.0376248	0.0456212	0.0670547	0.0759605	0.130576	0.159365	0.291265
a27	0.0829099	0.100672	0.0319228	0.0290086	0.0350241	0.0498951	0.105901	0.180891	0.383775
</S>	0.081702	0.135795	0.0391895	0.0300671	0.0371539	0.0659536	0.11162	0.176683	0.321835
