 	le	féticheur	lui	avait	tout	expliqué	à	propos	du	pouvoir	mystique	d'	être	invisible	</S>
a66	0.0427936	0.0654727	0.0873767	0.132683	0.0968197	0.123278	0.112331	0.137573	0.129868	0.0565102	0.00951792	0.00227952	0.00120181	0.00131033	0.000985328
a87	0.132314	0.0879316	0.0764215	0.0819088	0.0895448	0.148881	0.118877	0.0913208	0.0824521	0.0416706	0.0158272	0.00923473	0.00678113	0.0081179	0.00871784
a97	0.0995986	0.0613419	0.0498759	0.0548348	0.0639581	0.178978	0.0840076	0.0794551	0.0978793	0.051358	0.0611253	0.0356109	0.026271	0.0321559	0.0235489
a10	0.077714	0.0640236	0.0595841	0.0790629	0.0668101	0.160996	0.112286	0.0987349	0.103102	0.0540644	0.0370679	0.0217438	0.0202579	0.0252642	0.0192885
a97	0.0748735	0.0613355	0.05983	0.0869648	0.0743885	0.152105	0.108617	0.101726	0.105816	0.0563552	0.0393363	0.0225773	0.018801	0.0214107	0.0158633
a87	0.0672133	0.0552168	0.0573495	0.0817519	0.0767189	0.162326	0.109119	0.102585	0.115383	0.0548886	0.036094	0.0226718	0.019377	0.0228387	0.0164661
a23	0.0712753	0.0514677	0.0524209	0.0725516	0.0722499	0.170044	0.105022	0.104065	0.112725	0.0524652	0.0374195	0.0260242	0.0237737	0.0273291	0.021167
a62	0.0620006	0.0453674	0.044876	0.0623965	0.0638487	0.207564	0.112307	0.112909	0.133999	0.051226	0.0308151	0.0197408	0.0157126	0.0197496	0.0174874
a12	0.0917819	0.0808328	0.067212	0.0567514	0.0558007	0.121531	0.0739502	0.0701557	0.10575	0.0784242	0.0670483	0.0490061	0.0288572	0.0308548	0.0220436
a90	0.282236	0.202055	0.0985033	0.0529384	0.0391854	0.045609	0.0359728	0.0342115	0.0363178	0.0339905	0.0320564	0.0280681	0.0221979	0.0312155	0.0254422
a25	0.202417	0.15367	0.0976592	0.065686	0.0519562	0.0616319	0.0495054	0.0462759	0.0474921	0.0461226	0.0359998	0.0329923	0.0285953	0.0410894	0.0389064
a85	0.103541	0.110934	0.106913	0.0874889	0.0757589	0.0791889	0.0733446	0.0544932	0.0495974	0.0474119	0.0361467	0.0355091	0.0322151	0.045158	0.062299
a5	0.10096	0.133268	0.134982	0.110816	0.0874204	0.0710724	0.0736967	0.0487937	0.0398882	0.0407886	0.0243153	0.0210864	0.0210706	0.032509	0.0593324
a61	0.101767	0.118069	0.132238	0.128982	0.102708	0.108343	0.0846322	0.0609438	0.0462232	0.0371622	0.0158423	0.0109744	0.00981758	0.0153891	0.0269075
a56	0.0649413	0.095216	0.124615	0.129005	0.111293	0.107395	0.0898985	0.068521	0.0528689	0.0442699	0.0173849	0.0137077	0.0147128	0.023333	0.0428365
a44	0.0344803	0.0609983	0.100851	0.119597	0.118843	0.129621	0.100419	0.0855136	0.0681117	0.0572953	0.0195982	0.0146191	0.0169405	0.0271576	0.0459546
a70	0.0211878	0.0437875	0.086508	0.109994	0.110477	0.125651	0.109493	0.0882896	0.0721994	0.0581059	0.022653	0.0200669	0.0253338	0.0418795	0.0643737
a62	0.0134731	0.0258984	0.0566196	0.0842649	0.0962728	0.11368	0.110257	0.106924	0.0937352	0.0763716	0.0334198	0.0281671	0.035283	0.0541628	0.0714702
a88	0.0110234	0.0230898	0.0509263	0.076583	0.0896186	0.103662	0.113324	0.112689	0.103562	0.0863701	0.0416389	0.0318294	0.0373105	0.0526948	0.0656788
a9	0.00761922	0.0131098	0.0278883	0.0488654	0.0679439	0.0911035	0.0939755	0.112339	0.115028	0.112445	0.0656529	0.044695	0.048182	0.0666001	0.0845519
a83	0.00397858	0.00604262	0.0142846	0.0307946	0.0478745	0.104808	0.0750205	0.121358	0.135045	0.131645	0.0755327	0.0529965	0.0542972	0.0689026	0.0774194
a75	0.00324222	0.00450797	0.0105226	0.02403	0.0386786	0.105755	0.0842794	0.127081	0.14448	0.111584	0.0696528	0.0522987	0.0588063	0.0769299	0.0881508
a92	0.0019313	0.00344591	0.0070761	0.0128278	0.0171314	0.0264457	0.0330273	0.0357097	0.0393435	0.0425998	0.0532375	0.0779054	0.114996	0.200435	0.333888
