 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
a23	0.182523	0.158394	0.0994653	0.0793792	0.0722528	0.0756764	0.100504	0.0702166	0.0534412	0.0443718	0.0206538	0.0147554	0.0151316	0.013235
a87	0.10869	0.0725713	0.074601	0.082338	0.0829047	0.112655	0.138843	0.1154	0.0786384	0.055603	0.0221873	0.0175736	0.018772	0.019223
a23	0.073012	0.0625475	0.0741805	0.0852048	0.0682478	0.0882443	0.0947727	0.111579	0.0983035	0.0731733	0.0418251	0.0339308	0.0374818	0.0574968
a87	0.0962838	0.0727032	0.0869144	0.0967631	0.0710525	0.0837677	0.0985209	0.0938441	0.07315	0.056527	0.0347315	0.0349457	0.0429458	0.0578502
a23	0.0933164	0.0779261	0.0886573	0.0904965	0.0668748	0.0743706	0.0847609	0.0875458	0.0665245	0.0625344	0.0496127	0.0469198	0.0494495	0.0610106
a30	0.108835	0.0907608	0.0938452	0.0947605	0.0621713	0.0884403	0.084269	0.0629679	0.0342278	0.0364589	0.0339441	0.0524941	0.0813459	0.0754793
a53	0.1392	0.136837	0.138707	0.128943	0.0689951	0.0611591	0.0592912	0.0403666	0.0207175	0.0195428	0.0191964	0.0312192	0.0653357	0.0704895
a20	0.258088	0.150326	0.102885	0.0693072	0.0440762	0.0466105	0.0598273	0.0467502	0.0371221	0.0296202	0.0241922	0.0319431	0.0486612	0.0505911
a69	0.148089	0.0881968	0.0807141	0.0785434	0.0776922	0.0793983	0.110039	0.0950817	0.0704732	0.0604392	0.0361437	0.0278296	0.0230613	0.0242982
a58	0.121011	0.0892212	0.0917371	0.0887457	0.0881884	0.0737307	0.0920905	0.0827674	0.0704987	0.0565175	0.0376702	0.0327235	0.0317301	0.0433684
a15	0.0885227	0.075674	0.0830593	0.0863952	0.086516	0.0717616	0.0987791	0.0938584	0.0856088	0.05906	0.0343035	0.0293571	0.0395254	0.0675789
a56	0.0687556	0.0675348	0.0825219	0.0924956	0.0868554	0.0763802	0.0994283	0.0973438	0.0935083	0.0679403	0.0395783	0.0317345	0.0389528	0.0569703
a96	0.077499	0.0731692	0.0935594	0.105653	0.102433	0.0764725	0.0973244	0.100117	0.0849925	0.0535994	0.0263308	0.0228632	0.0336841	0.0523028
a93	0.0511428	0.0539263	0.077571	0.100593	0.11547	0.0836885	0.115887	0.107804	0.082863	0.0538432	0.024882	0.0211861	0.0401291	0.0710135
a90	0.0301157	0.0335311	0.048452	0.0707784	0.0950555	0.0866375	0.132412	0.134354	0.117283	0.0742178	0.0334666	0.0248735	0.0432637	0.0755598
a4	0.017786	0.0209102	0.0305446	0.04711	0.0738084	0.090635	0.14215	0.146137	0.131525	0.0948592	0.0438365	0.0313161	0.0515857	0.0777965
a13	0.0176942	0.0209102	0.0281873	0.0410162	0.059251	0.0819559	0.131305	0.135205	0.129118	0.101587	0.0561097	0.0418599	0.0636559	0.0921442
a61	0.00485783	0.00595353	0.00908356	0.0165185	0.0413058	0.107587	0.193612	0.18953	0.127785	0.086684	0.0428698	0.0338812	0.0537357	0.0865962
a31	0.0135992	0.0162962	0.0219956	0.0328373	0.0551687	0.0805605	0.130464	0.145596	0.135648	0.103618	0.0602863	0.0434954	0.0623898	0.0980453
