 	ce	travail	nécessite	une	bonne	nutrition	</S>
a66	0.418594	0.275129	0.170495	0.0715637	0.0335506	0.0201652	0.0105033
a87	0.470995	0.241797	0.130272	0.0831982	0.0372516	0.0207893	0.0156965
a23	0.466221	0.272003	0.159224	0.053572	0.0286238	0.0131209	0.0072353
a50	0.443277	0.264562	0.188123	0.0386163	0.0225037	0.0278044	0.0151136
a0	0.45415	0.195926	0.217409	0.068206	0.0377731	0.0191657	0.00736992
a75	0.416433	0.186957	0.210634	0.107462	0.0522311	0.021897	0.00438573
a85	0.186742	0.16166	0.269371	0.213788	0.106917	0.0527094	0.00881355
a5	0.0963513	0.122777	0.213907	0.253914	0.164567	0.114495	0.0339884
a12	0.169355	0.17924	0.240598	0.169636	0.111004	0.086008	0.0441592
a47	0.129986	0.169181	0.242722	0.171405	0.102332	0.109159	0.0752146
a62	0.101072	0.127856	0.229463	0.197705	0.101022	0.140972	0.10191
a47	0.0574061	0.0550334	0.0934124	0.117903	0.118122	0.282494	0.27563
a62	0.0577284	0.0425312	0.0622981	0.118654	0.104336	0.253697	0.360755
a47	0.0145496	0.0129875	0.0251229	0.0645251	0.109563	0.304817	0.468434
a88	0.00700005	0.00585929	0.0105489	0.0290996	0.06976	0.303587	0.574145
a62	0.00822178	0.00609266	0.0084103	0.0232017	0.0654763	0.244927	0.643671
a34	0.00465198	0.00336432	0.00414297	0.0195401	0.0627391	0.207314	0.698247
a93	0.00161441	0.00096616	0.00151691	0.0110004	0.0439284	0.189612	0.751361
a34	0.000926467	0.000505992	0.000757382	0.00623573	0.0369667	0.187404	0.767203
a62	0.000525812	0.000271543	0.000361806	0.00493289	0.0350332	0.197363	0.761512
a88	0.00229297	0.000863062	0.000870361	0.0093908	0.0570126	0.200714	0.728856
a9	0.00616539	0.0034819	0.00283589	0.024193	0.0978108	0.231903	0.633611
a10	0.0934822	0.0490485	0.034498	0.0576413	0.083444	0.178255	0.503631
a87	0.353395	0.175222	0.0847214	0.0506447	0.0565507	0.103291	0.176175
a23	0.326483	0.163453	0.0813363	0.0402086	0.0546945	0.126537	0.207287
a87	0.0652841	0.0322914	0.0139908	0.0141451	0.0454373	0.131543	0.697308
a23	0.00826571	0.00453927	0.00294486	0.00676177	0.04069	0.123079	0.813719
a87	0.0199469	0.0143478	0.0103634	0.0151728	0.0658701	0.124333	0.749966
</S>	0.00920729	0.00534873	0.00310568	0.00543851	0.0360048	0.103986	0.836909
