 	la	manière	dont	son	pied	s'	est	gonflé	me	rend	triste	</S>
a66	0.201001	0.0998701	0.0529172	0.0605395	0.0717868	0.0737968	0.0799225	0.106315	0.119021	0.0850082	0.0333316	0.0164906
a87	0.335286	0.24632	0.105251	0.0564964	0.0275919	0.0254154	0.0261156	0.0516771	0.0637962	0.0293117	0.0202894	0.0124492
a23	0.277535	0.189665	0.1216	0.0703018	0.0459342	0.0469369	0.0497817	0.077841	0.0573943	0.0286934	0.0220364	0.0122797
a50	0.251567	0.25866	0.150384	0.06643	0.0403954	0.0425017	0.0400793	0.0549341	0.0357647	0.0176966	0.0185692	0.0230186
a88	0.180514	0.18109	0.147252	0.0787238	0.0628571	0.0607338	0.055158	0.0940978	0.0554562	0.0281545	0.029954	0.0260092
a43	0.281098	0.281606	0.21202	0.0682335	0.0390397	0.0301015	0.0229058	0.0251455	0.0147707	0.00816271	0.00919053	0.00772668
a94	0.142989	0.265488	0.254391	0.120861	0.0659434	0.0461124	0.0327312	0.0292941	0.0180407	0.00866089	0.00873006	0.0067576
a11	0.088009	0.20708	0.266385	0.164419	0.0861975	0.0555239	0.0408043	0.0360646	0.0238213	0.0122996	0.0114594	0.00793691
a0	0.0716349	0.160693	0.22736	0.178049	0.101979	0.0665532	0.0529996	0.052163	0.0365774	0.0215435	0.0187957	0.0116515
a88	0.0697996	0.118102	0.15909	0.151459	0.100881	0.0755409	0.0674657	0.0858366	0.067785	0.0425216	0.0363723	0.025146
a62	0.0624042	0.105639	0.149889	0.180555	0.122512	0.0881365	0.0764909	0.0829665	0.0567242	0.0322849	0.024578	0.0178207
a12	0.0624547	0.0780562	0.100191	0.15413	0.134042	0.118793	0.108747	0.107952	0.0689641	0.0360598	0.0189441	0.0116665
a43	0.0592178	0.0630817	0.075149	0.136036	0.132124	0.126994	0.122939	0.115705	0.0815914	0.045469	0.0254926	0.0162003
a11	0.0340294	0.0362379	0.0441725	0.108257	0.132556	0.140509	0.140702	0.149092	0.108294	0.0581538	0.0324371	0.0155605
a43	0.0150118	0.0205995	0.0249053	0.0667948	0.112913	0.126474	0.138037	0.17317	0.141272	0.0872895	0.065869	0.027664
a75	0.0135787	0.0147854	0.0176235	0.0485624	0.0914222	0.112101	0.129777	0.178313	0.165202	0.103155	0.0849983	0.0404815
a25	0.00818293	0.0064938	0.00823054	0.0264472	0.0633927	0.112065	0.140907	0.142704	0.152362	0.161301	0.0897129	0.0882004
a79	0.00665583	0.00591341	0.00742777	0.0249817	0.0607286	0.114535	0.131773	0.181128	0.171705	0.153206	0.070262	0.0716838
a90	0.00898239	0.00809393	0.00973204	0.0296856	0.059751	0.106004	0.125443	0.165294	0.172614	0.151354	0.0844184	0.0786276
a44	0.00760121	0.00678811	0.00813845	0.0263868	0.052438	0.0860775	0.100444	0.164426	0.193672	0.17058	0.0882366	0.0952109
a57	0.00449978	0.00328053	0.00370168	0.0124134	0.032451	0.0717722	0.0922655	0.151018	0.193118	0.210459	0.113486	0.111535
