 	pendant	la	nuit	on	attache	le	chien	avec	le	koli	</S>
a66	0.0654602	0.0884609	0.120231	0.186536	0.167141	0.18259	0.123381	0.0362651	0.0166656	0.00821897	0.00505163
a87	0.309017	0.194668	0.0836184	0.0821711	0.0556527	0.0680834	0.0433515	0.0345422	0.0426115	0.0485635	0.037721
a23	0.286105	0.186535	0.1273	0.10464	0.0682746	0.0590091	0.0386588	0.0327224	0.0313265	0.0247185	0.0407101
a83	0.282105	0.175522	0.0910432	0.0673252	0.0537149	0.0601008	0.0487787	0.06074	0.0679192	0.0460545	0.046696
a54	0.181927	0.156188	0.116696	0.10888	0.0675862	0.061089	0.0377226	0.0402013	0.065485	0.0751319	0.0890932
a7	0.173174	0.147971	0.0880798	0.0889274	0.0688916	0.0727821	0.0482469	0.0536176	0.0802853	0.0824869	0.095537
a90	0.240004	0.196467	0.10816	0.105803	0.0704913	0.0637123	0.0356992	0.0442711	0.0642315	0.0360425	0.0351181
a56	0.216238	0.167042	0.109089	0.104865	0.0745418	0.0619119	0.0389657	0.0539096	0.0778854	0.055053	0.0404979
a12	0.226786	0.166643	0.113663	0.102882	0.0759751	0.0619146	0.0376117	0.0426619	0.0560123	0.0553238	0.0605273
a62	0.129176	0.141796	0.139137	0.153623	0.13572	0.105226	0.0628112	0.0460393	0.0348035	0.0244013	0.0272672
a88	0.105537	0.136038	0.145376	0.162231	0.152418	0.113698	0.0646888	0.0457917	0.0332461	0.0202922	0.020683
a71	0.0681932	0.109614	0.136615	0.171699	0.177158	0.128808	0.0681279	0.04453	0.0332594	0.0263996	0.0355971
a9	0.0515268	0.0829811	0.109939	0.147671	0.169033	0.12293	0.0683858	0.0559795	0.0602159	0.0517154	0.0796224
a87	0.0492432	0.068088	0.0899262	0.12337	0.135478	0.111049	0.0716084	0.0794335	0.101534	0.0819525	0.088317
a99	0.0853952	0.088833	0.0941517	0.115598	0.116692	0.101287	0.0693107	0.066204	0.088137	0.0915973	0.0827937
a15	0.103137	0.109767	0.101083	0.103484	0.0933303	0.0837731	0.0709331	0.0887819	0.101273	0.0860373	0.0584015
a47	0.0221041	0.0270223	0.0298293	0.0400598	0.0384569	0.0376077	0.0373217	0.076242	0.164451	0.299733	0.227172
a36	0.0169071	0.0290083	0.0531408	0.0962456	0.121436	0.120606	0.12218	0.134389	0.123166	0.104807	0.0781138
a6	0.02137	0.0328772	0.0517548	0.0858177	0.113156	0.107259	0.0963776	0.106729	0.132399	0.137689	0.11457
a37	0.0259166	0.0367253	0.0553361	0.0854799	0.105638	0.102456	0.100504	0.118563	0.125141	0.133923	0.110317
a98	0.0185465	0.0274885	0.0561236	0.0973319	0.133118	0.123701	0.112348	0.101504	0.0885435	0.109491	0.131804
a79	0.00842566	0.0128745	0.028225	0.0681679	0.117675	0.129453	0.133535	0.125408	0.117904	0.141455	0.116877
a98	0.00617345	0.0104945	0.0266927	0.0646702	0.117726	0.126847	0.134761	0.123138	0.115783	0.149226	0.124488
a92	0.00305337	0.00515867	0.0127331	0.0361057	0.0832572	0.0981412	0.113791	0.126507	0.135312	0.212234	0.173707
a56	0.00262837	0.00473152	0.0140093	0.0401082	0.0897541	0.096884	0.113328	0.118761	0.129425	0.21233	0.17804
a90	0.00242202	0.00455776	0.0132847	0.0359	0.0771739	0.0802747	0.0874144	0.0900157	0.103797	0.239999	0.265161
a44	0.00182599	0.00297756	0.00806757	0.0242748	0.0620962	0.0682868	0.075771	0.0889451	0.119136	0.260969	0.28765
a4	0.00123136	0.00171502	0.00405239	0.010939	0.0344464	0.0398129	0.0472997	0.0664241	0.113596	0.289673	0.39081
a93	0.00154286	0.00192066	0.00411004	0.0082663	0.0239297	0.0260178	0.0309023	0.0483425	0.0923483	0.270365	0.492254
a70	0.00311701	0.00370036	0.00694477	0.0123493	0.0328442	0.0344577	0.0380177	0.0580399	0.0907211	0.24861	0.471198
a71	0.00154824	0.00166994	0.00291916	0.00476949	0.0125575	0.0138317	0.0149051	0.0275929	0.0603831	0.229172	0.630651
a9	0.00388199	0.00410476	0.00715706	0.0156312	0.0341428	0.035131	0.0277097	0.0540328	0.116093	0.262361	0.439754
a99	0.0256644	0.0227266	0.0300867	0.0486327	0.075339	0.078595	0.0801342	0.10486	0.155515	0.190159	0.188288
a87	0.0330128	0.0229003	0.0204853	0.0296395	0.0432827	0.0529743	0.0578218	0.0885406	0.166917	0.208752	0.275674
a97	0.0784439	0.0438803	0.0266492	0.0390253	0.0549024	0.0735177	0.121308	0.170366	0.163381	0.112089	0.116436
a99	0.043245	0.0240161	0.016398	0.0343411	0.0576062	0.08261	0.117615	0.161686	0.160228	0.123488	0.178767
a97	0.0333421	0.0175171	0.0113055	0.0202871	0.0319564	0.0457325	0.0639485	0.0879556	0.0994974	0.158229	0.430229
a87	0.030626	0.0214187	0.016499	0.0255287	0.0402024	0.0555282	0.069227	0.0936965	0.10665	0.141899	0.398725
a23	0.0454035	0.0307038	0.0202967	0.0290292	0.0390073	0.051013	0.0604233	0.0858212	0.104511	0.1498	0.38399
a99	0.0293558	0.0221758	0.0136446	0.0182207	0.0207323	0.0276691	0.0368919	0.0659683	0.10335	0.22071	0.441282
a97	0.0394214	0.0327224	0.0179712	0.0194149	0.0185054	0.0229276	0.0299748	0.0639892	0.0972213	0.208504	0.449347
</S>	0.0225313	0.0145506	0.00778595	0.00829919	0.00966298	0.0118885	0.0146264	0.0251074	0.0367474	0.128097	0.720703
