 	je	l'	ai	beaucoup	fait	courir	</S>
a66	0.232446	0.158192	0.164013	0.14372	0.137615	0.10945	0.0545636
a87	0.323619	0.189513	0.136583	0.106372	0.113671	0.0955848	0.0346566
a82	0.365929	0.219856	0.154599	0.0955673	0.068179	0.0603006	0.0355694
a97	0.347605	0.211491	0.150821	0.105284	0.0747559	0.067707	0.042336
a82	0.322102	0.209063	0.159403	0.119694	0.0838786	0.0670982	0.0387619
a3	0.335725	0.206545	0.152853	0.109402	0.077122	0.0735278	0.0448254
a82	0.31026	0.198754	0.155185	0.122902	0.0920518	0.0807562	0.0400913
a99	0.289901	0.214065	0.174051	0.123331	0.0815752	0.0737225	0.0433547
a83	0.329347	0.231089	0.179686	0.105721	0.0618944	0.0578988	0.0343643
a50	0.258901	0.208245	0.177419	0.109553	0.0809026	0.0929697	0.0720094
a98	0.252861	0.237609	0.196451	0.117464	0.0658496	0.0719727	0.0577927
a61	0.244496	0.248056	0.193054	0.119664	0.0626315	0.0716119	0.060487
a94	0.170455	0.21659	0.20302	0.155124	0.0928897	0.0861051	0.075817
a34	0.13284	0.166923	0.180268	0.174334	0.12618	0.112994	0.106462
a43	0.076975	0.105893	0.148378	0.198629	0.186616	0.148125	0.135385
a11	0.0586194	0.0838768	0.119417	0.170002	0.18136	0.184568	0.202157
a93	0.052009	0.0666908	0.115241	0.197711	0.223974	0.179849	0.164525
a90	0.0416809	0.0550203	0.0951645	0.162406	0.211976	0.219991	0.213761
a93	0.0396121	0.061049	0.104576	0.173706	0.223822	0.225861	0.171374
a70	0.0269768	0.0410998	0.0775208	0.151505	0.238319	0.262864	0.201714
a98	0.0100994	0.0136757	0.0304513	0.0866409	0.223907	0.348186	0.287039
a14	0.00868801	0.0122087	0.025131	0.0673885	0.183969	0.371895	0.330719
a92	0.00947187	0.0131859	0.0247406	0.063182	0.178631	0.319988	0.390801
a37	0.00496754	0.00692283	0.0140561	0.0426825	0.15216	0.31817	0.461041
a44	0.00484301	0.00514368	0.00876737	0.0246627	0.0932686	0.287238	0.576076
a66	0.0048103	0.00490464	0.0072245	0.0167489	0.0705789	0.257859	0.637873
a82	0.0189627	0.0190009	0.0229202	0.0384121	0.113563	0.260092	0.527049
a97	0.0609877	0.0508604	0.0506188	0.0655332	0.145907	0.239695	0.386398
a87	0.213905	0.114255	0.0775928	0.0761825	0.114307	0.171183	0.232573
a97	0.258168	0.146742	0.100441	0.0925083	0.111118	0.147968	0.143055
a30	0.179458	0.104569	0.0832997	0.0888167	0.119391	0.215403	0.209062
</S>	0.0889709	0.0665209	0.0591742	0.0701888	0.103565	0.254214	0.357366
