 	va	avertir	le	notable	que	le	recensement	commence	demain	</S>
a66	0.217121	0.178414	0.116373	0.133607	0.107052	0.101189	0.0733979	0.0342596	0.0224527	0.016133
a87	0.121232	0.0939037	0.0890447	0.086376	0.0830889	0.084959	0.109947	0.114379	0.108033	0.109037
a23	0.245402	0.204679	0.134068	0.135379	0.0903081	0.0826071	0.0680959	0.0164473	0.0117321	0.0112814
a87	0.31385	0.258112	0.11841	0.109445	0.0697322	0.0620391	0.0421237	0.0102818	0.00735421	0.00865082
a23	0.313773	0.274423	0.124056	0.105271	0.0576179	0.0527881	0.0393999	0.0143717	0.00949467	0.00880394
a87	0.389484	0.199488	0.0842964	0.0768981	0.0556456	0.0596624	0.0512626	0.0306426	0.0236963	0.0289241
a23	0.316036	0.216164	0.102385	0.09508	0.0640729	0.0646983	0.0543627	0.0354869	0.0257982	0.025915
a10	0.374361	0.191156	0.0932022	0.0830218	0.0562648	0.0583743	0.0463287	0.0352817	0.0280727	0.033937
a87	0.308101	0.203797	0.105909	0.0924954	0.0613282	0.0605049	0.0518872	0.0445519	0.0351086	0.0363166
a99	0.392289	0.225247	0.0919355	0.0747757	0.049028	0.047595	0.0394911	0.0297152	0.0242416	0.0256812
a83	0.378264	0.211554	0.106342	0.0835623	0.0527192	0.0506777	0.0388184	0.0278859	0.0234126	0.0267639
a53	0.290385	0.218296	0.150551	0.100153	0.0565394	0.0591556	0.0408469	0.026731	0.0264415	0.0309007
a93	0.228831	0.190059	0.14261	0.117596	0.0783685	0.0792522	0.0697677	0.0350817	0.0267718	0.0316625
a70	0.118064	0.169016	0.160568	0.148553	0.0971171	0.0873765	0.0872747	0.0523343	0.0375179	0.0421784
a62	0.0608846	0.133754	0.135574	0.141103	0.0882859	0.0801733	0.100864	0.0873552	0.0817067	0.0903
a96	0.0552859	0.138982	0.135416	0.146682	0.0858702	0.070173	0.0847954	0.0837958	0.0875907	0.111408
a90	0.0541702	0.126141	0.130721	0.132334	0.0776604	0.063053	0.0800415	0.0839217	0.1077	0.144256
a69	0.0576636	0.114674	0.128045	0.123228	0.0851792	0.0743202	0.0875691	0.0841286	0.105137	0.140056
a44	0.0475043	0.096128	0.119277	0.125197	0.0854805	0.0749413	0.0842032	0.0760251	0.113126	0.178118
a70	0.0303301	0.0561564	0.0961959	0.116138	0.084798	0.0764499	0.0867075	0.082034	0.135545	0.235644
a44	0.0237333	0.0401562	0.0816302	0.115049	0.0901201	0.0822529	0.101345	0.100485	0.140672	0.224557
a94	0.0132902	0.0190925	0.0516807	0.101279	0.0962516	0.0960827	0.110854	0.102836	0.151224	0.25741
a93	0.00880503	0.0114346	0.0327153	0.0759859	0.0842031	0.088125	0.112917	0.124907	0.176048	0.28486
a34	0.00769697	0.0103708	0.0304512	0.0685668	0.0769202	0.0818402	0.117605	0.164349	0.188058	0.254142
a90	0.00539169	0.00683254	0.0192177	0.0465329	0.0573675	0.0612322	0.100307	0.175443	0.229438	0.298238
a69	0.00540724	0.00823663	0.0276273	0.0685554	0.0869712	0.09833	0.144784	0.192123	0.177304	0.190661
a4	0.00380832	0.00578409	0.0228762	0.0588934	0.0820431	0.0928308	0.142923	0.188264	0.19539	0.207188
a13	0.00284385	0.00311995	0.0102114	0.0282583	0.0475205	0.0593886	0.0948317	0.184136	0.245242	0.324448
a54	0.00149367	0.00149056	0.00478486	0.0140631	0.0271451	0.0373023	0.0654697	0.156957	0.263428	0.427865
a12	0.00173661	0.00184309	0.0070508	0.017126	0.0286149	0.0320707	0.0648033	0.156137	0.291286	0.399331
a96	0.00099286	0.000832809	0.00220048	0.00540764	0.0115617	0.0179323	0.040225	0.14323	0.301879	0.475738
a70	0.000772187	0.000660271	0.00162977	0.00390008	0.00872011	0.0143556	0.0336021	0.12772	0.311103	0.497536
a4	0.000808138	0.000603754	0.00164696	0.00387348	0.00856641	0.0135731	0.0305123	0.120002	0.311957	0.508457
a13	0.000324997	0.000259325	0.00071921	0.00148404	0.00322116	0.00505992	0.0130485	0.0735568	0.298851	0.603475
a53	0.000386412	0.000315646	0.00092739	0.00159075	0.00268944	0.00363809	0.00969209	0.0597991	0.285321	0.63564
a56	0.000286807	0.000214392	0.00073669	0.00140379	0.00271261	0.0037681	0.0102925	0.0616226	0.279025	0.639938
a70	0.000327428	0.00021885	0.000624879	0.00107828	0.00194144	0.00265475	0.00606109	0.0407899	0.251858	0.694445
a83	0.00104674	0.000773963	0.00167413	0.00210508	0.00274489	0.00305447	0.00595908	0.0383168	0.254339	0.689986
a99	0.000842549	0.000607771	0.00137407	0.00186538	0.0023791	0.00266381	0.0055619	0.0344791	0.248163	0.702064
a18	0.00455009	0.00218634	0.00288758	0.00297683	0.0038708	0.00456825	0.00929646	0.0469804	0.252792	0.669891
a50	0.043173	0.0167416	0.0163465	0.0127702	0.0129882	0.0142058	0.0182602	0.0615457	0.238092	0.565876
