 	il	alla	faire	ses	besoins	loin	de	tout	regard	</S>
a23	0.196641	0.189337	0.167116	0.124376	0.112535	0.0805942	0.0486246	0.0347279	0.025615	0.0204336
a85	0.255004	0.165807	0.159914	0.0809431	0.059451	0.08116	0.0643077	0.0448292	0.0434301	0.0451541
a87	0.14497	0.0809546	0.0815829	0.0623628	0.0682444	0.149282	0.182021	0.0925863	0.0776485	0.0603472
a23	0.136688	0.0953232	0.0873692	0.0607647	0.0584042	0.12713	0.142798	0.0895912	0.0997333	0.102198
a87	0.120754	0.0723953	0.065343	0.0353276	0.0341725	0.0692685	0.103291	0.104791	0.179119	0.215539
a23	0.0986522	0.0805938	0.0723016	0.0439784	0.0406317	0.0904748	0.123402	0.126	0.164018	0.159948
a79	0.100856	0.0544586	0.0424475	0.0239404	0.0231025	0.0552255	0.101076	0.133456	0.219298	0.24614
a20	0.184086	0.170093	0.131101	0.0860793	0.0962051	0.102643	0.0577767	0.0458245	0.0629324	0.0632592
a73	0.16856	0.183528	0.175102	0.126904	0.125925	0.10747	0.057233	0.0257175	0.0184398	0.0111211
a44	0.126626	0.152219	0.171764	0.160106	0.160896	0.122041	0.0566925	0.0224389	0.0156957	0.0115203
a26	0.098809	0.121753	0.143958	0.151532	0.171261	0.140453	0.0802528	0.0379722	0.030212	0.0237962
a90	0.0848804	0.0979033	0.11112	0.141982	0.176917	0.178108	0.101398	0.0399916	0.0355273	0.0321721
a76	0.0873122	0.0897002	0.0949378	0.125305	0.164679	0.188907	0.121549	0.048729	0.03975	0.0391304
a90	0.0903532	0.0862615	0.099982	0.130233	0.169725	0.194453	0.10358	0.0461216	0.0398732	0.039417
a32	0.0696725	0.0629895	0.0736088	0.117318	0.175068	0.210744	0.128442	0.0535023	0.0551611	0.0534939
a54	0.0798779	0.0680538	0.0662312	0.108778	0.162694	0.18003	0.124097	0.0612818	0.0706689	0.0782875
a73	0.085528	0.0772393	0.0731834	0.108393	0.139118	0.135702	0.100163	0.0680398	0.0963795	0.116254
a15	0.0825583	0.0702165	0.0647569	0.0888994	0.115728	0.122787	0.11182	0.0804702	0.120052	0.142711
a73	0.0618621	0.0515416	0.0455606	0.0828115	0.118366	0.130083	0.11711	0.0832265	0.121859	0.18758
a94	0.0563753	0.0425752	0.0323263	0.0610758	0.0860346	0.103448	0.119594	0.105701	0.150615	0.242254
a38	0.0563792	0.0405164	0.0317171	0.0566371	0.0794446	0.091335	0.108038	0.103323	0.155267	0.277343
a76	0.0459144	0.031697	0.022776	0.0390893	0.0552344	0.0664946	0.0957737	0.121383	0.184992	0.336645
a90	0.0560594	0.0416291	0.0306598	0.0398114	0.0519788	0.0604922	0.0766026	0.116422	0.202271	0.324073
a32	0.0379973	0.0289029	0.0222174	0.034794	0.0529757	0.0655401	0.0979931	0.136457	0.204965	0.318158
a24	0.0380415	0.0220547	0.0151944	0.0229436	0.0306463	0.037767	0.0530997	0.112657	0.219927	0.447669
a41	0.0178987	0.0106156	0.00749418	0.010786	0.0151178	0.0183764	0.032275	0.104276	0.273691	0.509469
a15	0.0219437	0.0129805	0.00894558	0.0130021	0.0168106	0.0193508	0.0293845	0.0859604	0.251431	0.540191
a73	0.0349291	0.0174496	0.0104185	0.0136657	0.0169653	0.0231433	0.0395842	0.0933349	0.237555	0.512955
a58	0.0360458	0.0178328	0.0107559	0.0166912	0.0208391	0.0327451	0.0554875	0.107486	0.243764	0.458353
a15	0.0312088	0.0136204	0.00838231	0.014645	0.0200799	0.0373314	0.0640329	0.100682	0.209022	0.500995
a73	0.0328926	0.0152573	0.0105232	0.0135132	0.0180042	0.0323444	0.0689394	0.100226	0.223026	0.485274
a94	0.0268179	0.0123426	0.00820503	0.00978443	0.011627	0.024556	0.0575898	0.0897717	0.215853	0.543452
a13	0.0233541	0.0101938	0.0066496	0.00810785	0.0101142	0.0209476	0.0496858	0.0859681	0.198185	0.586794
a82	0.0212825	0.0101582	0.00727606	0.00656944	0.0072453	0.0139885	0.0347636	0.0833377	0.215049	0.60033
a87	0.0135951	0.00737918	0.00593131	0.00510851	0.00538131	0.0123474	0.0386003	0.0885345	0.207038	0.616085
</S>	0.0298932	0.0130005	0.0128519	0.0103097	0.0111541	0.0184674	0.0441889	0.0888037	0.228075	0.543256
