 	il	faut	manifester	de	la	libéralité	envers	les	autres	</S>
a66	0.219249	0.218112	0.214824	0.160446	0.098165	0.0413252	0.0214421	0.0111348	0.00812266	0.00717892
a87	0.323609	0.357428	0.221032	0.0477595	0.0245685	0.0140199	0.0047099	0.00259963	0.00212325	0.00214939
a23	0.273417	0.281751	0.227093	0.0635422	0.0483031	0.0459491	0.0211111	0.0146214	0.0119053	0.0123074
a75	0.187684	0.20232	0.33943	0.0794993	0.0553358	0.0471175	0.024506	0.0198334	0.0190107	0.0252643
a85	0.199857	0.228973	0.316637	0.0891717	0.0547933	0.0356162	0.0208581	0.0158846	0.0162346	0.021974
a5	0.205727	0.213433	0.234754	0.123788	0.0749246	0.0513596	0.0346277	0.0237598	0.01898	0.0186464
a12	0.101169	0.123715	0.247657	0.159631	0.102966	0.10676	0.0694077	0.0416146	0.0257086	0.0213711
a47	0.127698	0.14303	0.252936	0.129398	0.0812912	0.0872052	0.0741467	0.0477557	0.0325568	0.0239817
a62	0.0959388	0.115702	0.258955	0.129814	0.0752754	0.075787	0.0850494	0.0692874	0.0526225	0.0415691
a88	0.0848834	0.0969264	0.206694	0.181215	0.102291	0.0723881	0.0824791	0.0699219	0.0564243	0.0467768
a75	0.0448039	0.0508432	0.144646	0.179742	0.118645	0.0979946	0.11407	0.102341	0.0811461	0.0657694
a92	0.0217466	0.0211079	0.0543915	0.10197	0.10405	0.0986694	0.152048	0.155807	0.156876	0.133334
a34	0.0200664	0.0199925	0.0446504	0.111517	0.133436	0.120402	0.143374	0.139018	0.140157	0.127387
a75	0.00847061	0.00697078	0.0166703	0.0512466	0.0814688	0.098997	0.173339	0.201359	0.187401	0.174077
a85	0.00325248	0.002443	0.00613918	0.0342284	0.0677528	0.0883296	0.148849	0.199902	0.216739	0.232364
a6	0.00195032	0.0013756	0.00288569	0.0198775	0.0429871	0.0592533	0.112704	0.199663	0.25383	0.305473
a37	0.00240654	0.00145528	0.0018638	0.00722194	0.0189644	0.0308	0.0827603	0.170357	0.278272	0.405899
a21	0.00149776	0.000721756	0.000526639	0.00274803	0.00940088	0.0193706	0.0818882	0.191281	0.303058	0.389507
a6	0.000842479	0.000461359	0.000343465	0.00213057	0.00660925	0.0167773	0.0726463	0.200366	0.314704	0.385119
a36	0.00105441	0.000566173	0.000517123	0.00216412	0.00672876	0.020031	0.0665236	0.181551	0.307577	0.413287
a2	0.0105187	0.00604081	0.00304168	0.00722206	0.013866	0.0430665	0.103033	0.201378	0.298541	0.313292
a57	0.04078	0.0302144	0.0145625	0.0175358	0.0285407	0.0566995	0.11083	0.178439	0.2367	0.285699
a87	0.111343	0.115231	0.0607305	0.060843	0.0634051	0.0624384	0.0999207	0.124982	0.140354	0.160753
a23	0.216746	0.192634	0.100605	0.0789864	0.0828615	0.070545	0.0633251	0.0673132	0.0626033	0.0643804
a99	0.0358403	0.0293028	0.0131648	0.0166907	0.0454673	0.0907515	0.116764	0.206445	0.247282	0.198291
a97	0.00935042	0.00945219	0.00500015	0.0097201	0.0243978	0.0595783	0.111245	0.204631	0.300567	0.266058
a57	0.00149299	0.00133488	0.000904847	0.00183416	0.00512341	0.0227379	0.073901	0.189152	0.344102	0.359416
</S>	0.00977338	0.00959363	0.00624854	0.00892745	0.0167364	0.0434767	0.0919574	0.184875	0.313118	0.315295
