 	il	ne	faut	pas	lui	servir	le	repas	dans	une	même	assiette	que	les	autres	car	il	prend	plus	que	sa	part	de	nourriture	</S>
a87	0.0841982	0.082905	0.0959116	0.0980875	0.0765278	0.0921108	0.0754118	0.073366	0.0706094	0.0507954	0.0389556	0.02926	0.0258655	0.0199899	0.0165242	0.0163048	0.00958648	0.010845	0.00655475	0.00520649	0.0043327	0.00371287	0.005004	0.00423377	0.00370061
a23	0.10782	0.0906921	0.0623176	0.0523724	0.0404318	0.0530153	0.0433448	0.0366743	0.0294673	0.0244958	0.0206902	0.0210297	0.0301382	0.0332903	0.0359753	0.0449754	0.0370736	0.0498106	0.0340178	0.0265203	0.0225254	0.0220319	0.0291097	0.0279007	0.02428
a87	0.042796	0.0389955	0.0393923	0.0304432	0.0321614	0.0376673	0.0365129	0.0337712	0.0296282	0.0257709	0.0242867	0.0301091	0.0355258	0.036717	0.0408189	0.0432191	0.045833	0.0583996	0.0427905	0.0352462	0.0324848	0.0321801	0.0521219	0.0703715	0.0727568
a23	0.051599	0.0490428	0.0478353	0.0368669	0.0295081	0.0337607	0.0270977	0.0251726	0.0239226	0.0244607	0.0226946	0.0308986	0.0363025	0.0364756	0.0379942	0.0352667	0.0412597	0.0454426	0.0443397	0.0393702	0.0355946	0.0344114	0.0530086	0.0739723	0.0837024
a87	0.0718863	0.065341	0.0581299	0.0342633	0.0256855	0.0321837	0.0411356	0.040586	0.0342897	0.0320465	0.0269394	0.0341793	0.0340977	0.027993	0.0282171	0.0244621	0.0335183	0.0382741	0.0345867	0.0342889	0.0326318	0.0289533	0.0482115	0.0641923	0.0739072
a23	0.0614842	0.0525212	0.0465486	0.0308295	0.0287651	0.0411905	0.0512883	0.0460458	0.0391949	0.0380483	0.0329588	0.0453753	0.0436269	0.0357707	0.0358589	0.0283869	0.0378304	0.0406238	0.0360365	0.033649	0.0306639	0.0261919	0.0383339	0.046238	0.0525385
a79	0.0668508	0.0635095	0.0570434	0.0408148	0.0336648	0.0427831	0.0666635	0.0607981	0.0459693	0.0411258	0.0329042	0.0414933	0.0384212	0.0320436	0.0326495	0.0251973	0.0316854	0.0346373	0.0302462	0.0275646	0.0246802	0.0204295	0.0299327	0.0352727	0.0436192
a58	0.240822	0.200025	0.101308	0.0674625	0.0395428	0.0506009	0.0418261	0.0377254	0.034517	0.022715	0.0162642	0.0145921	0.0117426	0.00948358	0.00877689	0.00918883	0.00656062	0.00642488	0.0048648	0.00486755	0.00585381	0.00762661	0.0148287	0.0211385	0.0212418
a82	0.189043	0.178135	0.101449	0.0640436	0.0380944	0.045104	0.0365498	0.0319744	0.0317059	0.0227676	0.0191857	0.0199572	0.0168674	0.0142386	0.0134095	0.015042	0.0120624	0.0132584	0.0120182	0.0121826	0.0132405	0.0137104	0.0217658	0.0320268	0.0321677
a54	0.124221	0.122891	0.0848791	0.0569962	0.0367363	0.0441157	0.0369501	0.0357195	0.0365586	0.0318169	0.030431	0.0326291	0.0294677	0.0248205	0.0228635	0.0235779	0.0195051	0.0160355	0.0149711	0.0153827	0.0163955	0.0196563	0.0289677	0.0441512	0.0502614
