 	cet	homme-là	avait	deux	femmes	</S>
a66	0.513785	0.205047	0.098696	0.0795045	0.0573821	0.0455848
a87	0.479957	0.210016	0.103257	0.0891716	0.0599848	0.0576138
a97	0.412494	0.217604	0.130034	0.0933891	0.0664372	0.0800418
a79	0.296997	0.230875	0.157041	0.124991	0.0904971	0.0995983
a53	0.517582	0.205171	0.0774038	0.0574129	0.0562308	0.0861995
a93	0.552527	0.234938	0.0874447	0.0524215	0.036979	0.0356889
a90	0.430592	0.253858	0.146893	0.0713965	0.0509288	0.0463311
a15	0.268164	0.250405	0.194414	0.121212	0.0920201	0.0737844
a98	0.180298	0.236723	0.213136	0.144923	0.125367	0.0995526
a6	0.201184	0.248614	0.214372	0.138831	0.114571	0.0824282
a85	0.115617	0.210773	0.211458	0.163371	0.163003	0.135778
a47	0.188224	0.217021	0.201469	0.146739	0.136582	0.109965
a36	0.0585964	0.155468	0.169967	0.172297	0.220006	0.223665
a47	0.0111977	0.0485199	0.121486	0.183369	0.298246	0.337181
a0	0.00453708	0.0306447	0.102476	0.178181	0.321658	0.362504
a54	0.00491251	0.022133	0.0809778	0.181961	0.318075	0.391941
a47	0.00237024	0.0124989	0.0523217	0.147685	0.326152	0.458973
a36	0.00169073	0.011541	0.0497004	0.138868	0.306372	0.491828
a54	0.00585594	0.0217902	0.063085	0.146554	0.266433	0.496282
a36	0.00450624	0.0166198	0.05284	0.127775	0.265711	0.532547
a2	0.0174509	0.0426827	0.0734758	0.132748	0.225644	0.507999
a57	0.0350391	0.0761536	0.116886	0.171663	0.239512	0.360745
a97	0.091608	0.104497	0.127361	0.172911	0.219502	0.284121
a10	0.177571	0.148129	0.167965	0.191241	0.170087	0.145008
a97	0.108181	0.0947733	0.130558	0.177778	0.225129	0.263581
</S>	0.0702272	0.0738755	0.118568	0.194437	0.247086	0.295806
