 	la	mou-	che	dépose	les	asticots	sur	la	viande	</S>
a66	0.189201	0.167607	0.15515	0.11366	0.0912169	0.10606	0.0784668	0.045677	0.0287804	0.0241807
a87	0.194711	0.220284	0.214799	0.15772	0.104639	0.0402257	0.0258789	0.0136592	0.0118746	0.0162084
a23	0.304222	0.300306	0.236585	0.0811997	0.0357943	0.0130004	0.00715309	0.00562717	0.00666463	0.00944746
a83	0.264171	0.390352	0.236715	0.0580766	0.0188223	0.0039826	0.00384337	0.00496111	0.00752079	0.0115559
a9	0.250832	0.339046	0.208055	0.0933464	0.0362876	0.0114513	0.0110119	0.0121871	0.0156196	0.022163
a50	0.327286	0.303092	0.13949	0.0771899	0.0492271	0.0281958	0.0208692	0.0161075	0.0174004	0.0211411
a62	0.326855	0.300797	0.0987411	0.0513281	0.0681047	0.0590341	0.0344905	0.0202139	0.0187841	0.0216513
a31	0.156265	0.222668	0.176877	0.193864	0.153646	0.0529406	0.0177463	0.00958694	0.0075264	0.00888023
a12	0.0919023	0.130556	0.178568	0.279631	0.21571	0.0605981	0.017262	0.00900027	0.00758966	0.00918186
a62	0.103639	0.121918	0.132782	0.25864	0.255046	0.0771952	0.0200114	0.0105159	0.00888903	0.0113625
a21	0.078687	0.103305	0.145477	0.284807	0.257293	0.0817913	0.0187386	0.00926333	0.00889899	0.0117383
a85	0.0286214	0.0443311	0.0756445	0.236666	0.322639	0.160661	0.0521232	0.0262295	0.0242267	0.0288571
a6	0.0139105	0.0196962	0.0327377	0.128205	0.312471	0.226776	0.107626	0.05447	0.0490627	0.0550443
a36	0.0186834	0.022941	0.0456144	0.105364	0.215615	0.215858	0.124378	0.0773874	0.0828756	0.0912829
a37	0.0179048	0.0205369	0.0263808	0.0461728	0.0846342	0.153026	0.154617	0.140386	0.160195	0.196146
a0	0.0140326	0.0127743	0.0121236	0.0176436	0.0358943	0.117046	0.145975	0.14788	0.200351	0.296279
a31	0.0183758	0.0116826	0.00782179	0.00597626	0.00847636	0.039653	0.0985014	0.163063	0.259754	0.386696
a0	0.0082972	0.00585513	0.00498653	0.00907025	0.0205211	0.0906376	0.186054	0.217901	0.214462	0.242215
a75	0.0104425	0.00559512	0.00375193	0.00284017	0.00407192	0.0176396	0.0564477	0.149553	0.316789	0.432869
a47	0.000571213	0.000377374	0.000495898	0.00113241	0.00365948	0.024687	0.0821512	0.182389	0.289693	0.414844
a37	0.00112942	0.000661144	0.000619703	0.000933772	0.00280987	0.0171967	0.0573428	0.155263	0.318004	0.44604
a92	0.0011486	0.000525894	0.000434305	0.000466014	0.00133408	0.00701196	0.0231035	0.0875352	0.310409	0.568032
a56	0.000234703	0.000105901	0.000121251	0.000224832	0.00105507	0.0126578	0.0531436	0.162955	0.32937	0.440131
a75	0.000625518	0.000242752	0.00022471	0.000316797	0.00125083	0.0122978	0.0474588	0.140882	0.317594	0.479108
a6	6.76101e-05	2.77894e-05	2.80258e-05	8.02521e-05	0.00069724	0.0093467	0.0295248	0.104504	0.320511	0.535213
a37	8.29982e-05	3.05001e-05	3.3835e-05	9.40184e-05	0.00078361	0.00939703	0.0291867	0.107178	0.317602	0.535611
a26	0.000403992	0.000143227	0.000138098	0.000227797	0.00152292	0.0123042	0.0392713	0.12543	0.308801	0.511757
a57	0.0111499	0.00540718	0.00318543	0.00311342	0.00791423	0.0259072	0.0737013	0.147362	0.279688	0.442571
a87	0.151849	0.0473928	0.0331892	0.022303	0.0363896	0.0692839	0.0938542	0.122568	0.170548	0.252622
a23	0.340785	0.167215	0.167591	0.0671566	0.0525141	0.0487097	0.0399533	0.034417	0.0366346	0.0450237
a97	0.0858866	0.0363081	0.0383763	0.0154689	0.015644	0.0513942	0.0855772	0.16913	0.239428	0.262786
</S>	0.00812356	0.00270647	0.00303729	0.00295118	0.00929302	0.0773152	0.0987678	0.176682	0.268169	0.352955
