 	quand	je	suis	arrivé	il	y	avait	déjà	une	grande	assemblée	à	la	place	mortuaire	</S>
a23	0.194425	0.156857	0.0869001	0.0727537	0.0520735	0.0580622	0.0573358	0.0624339	0.0637334	0.0642117	0.063929	0.0403075	0.0119926	0.00513278	0.0041028	0.00574943
a85	0.218111	0.196056	0.0931639	0.0576278	0.0525105	0.075154	0.0647121	0.0587013	0.0463609	0.0448398	0.0300955	0.016694	0.00842175	0.00867031	0.00956417	0.0193171
a87	0.0986194	0.0885629	0.0809717	0.0708539	0.0821324	0.0934624	0.0972124	0.0832496	0.0706675	0.0765632	0.0427159	0.0245511	0.0180397	0.0189051	0.01985	0.0336429
a23	0.0715071	0.0763279	0.0842635	0.0746036	0.0794088	0.094181	0.0962425	0.081678	0.0743323	0.0856016	0.0472986	0.0324224	0.0262927	0.0241428	0.0216933	0.030004
a41	0.0961967	0.0998414	0.0779615	0.0628614	0.0627864	0.0658768	0.0631254	0.0507633	0.0432549	0.0503858	0.0366632	0.0249534	0.0256653	0.039076	0.0551675	0.145421
a24	0.256594	0.159344	0.092623	0.0685767	0.0441951	0.0362334	0.0349715	0.0355169	0.028634	0.0277321	0.0300899	0.0226723	0.020006	0.0334766	0.0376347	0.0716993
a31	0.219054	0.155913	0.118548	0.0814187	0.0569049	0.0492428	0.0465876	0.0457849	0.0385064	0.0402013	0.0320672	0.0258575	0.0205726	0.0222066	0.0208477	0.0262869
a41	0.107597	0.0916661	0.0929936	0.0859557	0.0754556	0.0769368	0.0796264	0.0744857	0.0699855	0.0633336	0.0359225	0.0365247	0.0307769	0.0289415	0.0245549	0.0252435
a18	0.0571704	0.0662509	0.0742371	0.0845755	0.089856	0.0978243	0.106258	0.0992049	0.0784987	0.0625119	0.031728	0.0333639	0.0257442	0.0286138	0.0291603	0.0350017
a75	0.0484041	0.056749	0.0684226	0.0839382	0.0940798	0.102451	0.115271	0.107768	0.0839425	0.0604923	0.0270772	0.030644	0.0252765	0.0289457	0.0316432	0.0348952
a73	0.0475439	0.0692583	0.0794738	0.0871628	0.0931914	0.108032	0.108173	0.0927404	0.0686893	0.0510185	0.0230657	0.029475	0.0239802	0.0310929	0.0456431	0.0414594
a2	0.0404618	0.0565167	0.069148	0.0802995	0.0862078	0.104749	0.112118	0.103186	0.0811529	0.067597	0.0350791	0.0375093	0.0263804	0.0288561	0.036747	0.0339911
