 	j'	habite	le	secteur	de	l'	église	</S>
a66	0.27808	0.242725	0.136084	0.154787	0.105383	0.0525518	0.0161847	0.0142044
a87	0.322429	0.147978	0.097663	0.192167	0.145352	0.0602258	0.0178115	0.016374
a23	0.566024	0.19454	0.0711955	0.0774675	0.0354654	0.0206979	0.0156983	0.0189112
a87	0.592144	0.167946	0.0695899	0.0837945	0.0217894	0.0139988	0.0200476	0.03069
a23	0.50796	0.16177	0.0869126	0.124034	0.0379853	0.0225347	0.0256011	0.0332018
a13	0.43395	0.140479	0.104393	0.14058	0.0538594	0.034285	0.040404	0.0520501
a54	0.309442	0.204502	0.162715	0.122751	0.0607695	0.0404141	0.0463668	0.0530387
a5	0.198228	0.152962	0.151193	0.126983	0.131263	0.104787	0.0729599	0.0616242
a12	0.0867179	0.0929597	0.137094	0.203315	0.224689	0.137856	0.067475	0.0498938
a18	0.101187	0.102215	0.144011	0.202984	0.222799	0.1197	0.0610187	0.0460853
a62	0.0675797	0.0960584	0.140127	0.193613	0.218706	0.13306	0.0838888	0.0669682
a12	0.07368	0.122911	0.138161	0.2136	0.231333	0.112424	0.0554818	0.0524096
a75	0.0581431	0.103106	0.110525	0.197165	0.226817	0.135206	0.0862095	0.0828278
a56	0.0311868	0.0687641	0.0913499	0.152872	0.158213	0.180934	0.163396	0.153283
a76	0.0494282	0.125246	0.137885	0.222484	0.203476	0.11382	0.0720084	0.075652
a69	0.0147357	0.0453659	0.0550735	0.107725	0.155168	0.20913	0.207176	0.205625
a58	0.0240555	0.0817438	0.0693811	0.11988	0.146388	0.164065	0.171014	0.223473
a98	0.0244121	0.0713731	0.0491894	0.109139	0.100222	0.117008	0.190886	0.33777
a47	0.0166472	0.0468434	0.0291079	0.0502873	0.0710036	0.133213	0.231599	0.421299
a0	0.00381137	0.0120429	0.00632321	0.0120398	0.0231711	0.0890986	0.267897	0.585616
a43	0.00769148	0.0193925	0.0100782	0.0164529	0.0190728	0.0697391	0.28095	0.576623
a21	0.00436603	0.00879027	0.00432962	0.00883147	0.0119204	0.0550882	0.286848	0.619826
a5	0.00461123	0.00882703	0.00537767	0.0110521	0.0175043	0.0787838	0.315643	0.558201
a37	0.00218495	0.00437037	0.00267631	0.00557524	0.0100046	0.0569247	0.299108	0.619156
a21	0.00181332	0.00394364	0.00187698	0.00401405	0.00705394	0.0395949	0.241805	0.699898
a5	0.00102744	0.00224699	0.00107322	0.00259013	0.00512643	0.0305889	0.224976	0.732371
a18	0.000638028	0.00134681	0.000703128	0.0017367	0.00429777	0.0288494	0.223108	0.73932
a75	0.00182486	0.00298613	0.00160042	0.00296771	0.00717025	0.031251	0.214348	0.737851
a36	0.000169344	0.000251201	0.000136932	0.000528171	0.00324795	0.0291581	0.225771	0.740737
a26	0.000390606	0.000617488	0.000303637	0.000682776	0.00287031	0.0222726	0.213088	0.759774
a66	0.0476084	0.0487887	0.0240698	0.0307738	0.0514461	0.0973003	0.231891	0.468122
a82	0.190774	0.104891	0.0447987	0.0460037	0.0550451	0.0869676	0.179027	0.292493
a87	0.26671	0.116124	0.0445956	0.0380114	0.0432555	0.0724702	0.16336	0.255473
a23	0.373764	0.211929	0.0765436	0.0673263	0.0417815	0.0453799	0.0740261	0.109249
a10	0.207243	0.0840347	0.0251525	0.0316446	0.0382605	0.0637716	0.19738	0.352513
a9	0.0207044	0.00783386	0.00315774	0.00628196	0.0153078	0.0612503	0.303317	0.582147
</S>	0.0281008	0.0167942	0.0087147	0.0254223	0.0411428	0.0945776	0.301128	0.484119
