 	il	a	des	mauvaises	pensées	</S>
a66	0.526427	0.346897	0.094815	0.0175931	0.0105127	0.00375492
a87	0.628921	0.29394	0.0599243	0.00915008	0.00570037	0.00236374
a23	0.643004	0.252293	0.0696909	0.0167466	0.0113194	0.00694569
a79	0.520035	0.167122	0.0779054	0.0570337	0.0925573	0.0853462
a54	0.428123	0.23224	0.151546	0.0710009	0.0683772	0.0487133
a37	0.25319	0.31213	0.207587	0.0967304	0.0989108	0.0314518
a61	0.2159	0.27683	0.285735	0.112631	0.0900894	0.0188148
a75	0.221293	0.17479	0.242982	0.176019	0.127642	0.0572745
a6	0.110042	0.237484	0.336866	0.161887	0.0998221	0.0538991
a47	0.15202	0.192035	0.245418	0.167466	0.126037	0.117023
a37	0.0655853	0.0908888	0.185788	0.230266	0.248365	0.179107
a47	0.0440128	0.0331264	0.0579774	0.128006	0.27712	0.459757
a37	0.0145992	0.00896223	0.021511	0.0855838	0.295394	0.573949
a47	0.00548902	0.00291815	0.00584878	0.03139	0.200703	0.753651
a36	0.00341932	0.00235738	0.00498053	0.0274418	0.167974	0.793827
a96	0.00631196	0.004889	0.0101713	0.0344633	0.149516	0.794649
a66	0.00905722	0.00873415	0.0158783	0.0464354	0.151892	0.768003
a9	0.0235665	0.021634	0.0280244	0.05566	0.145362	0.725753
a99	0.114469	0.0399403	0.029587	0.055267	0.167346	0.593391
a87	0.127971	0.0509479	0.0418612	0.0729091	0.176152	0.530159
a23	0.603471	0.206485	0.0670422	0.0432365	0.0407568	0.0390079
a87	0.334984	0.139217	0.0576148	0.0646014	0.111419	0.292165
</S>	0.154352	0.081771	0.0578621	0.0914403	0.165347	0.449227
