 	dans	leur	parcelle	il	y	a	un	chiot	dodu	</S>
a15	0.12526	0.128744	0.170894	0.155961	0.175301	0.115704	0.0528847	0.0416651	0.0193419	0.0142449
a87	0.158206	0.126796	0.147408	0.121165	0.101547	0.0771182	0.0486439	0.0500123	0.0613908	0.107713
a10	0.232597	0.144421	0.136982	0.0904797	0.101337	0.0728832	0.0404069	0.0470292	0.0527411	0.0811233
a11	0.26826	0.198188	0.184926	0.0676114	0.0928674	0.0483044	0.0245832	0.0306881	0.0384686	0.0461035
a62	0.273695	0.205839	0.163383	0.0557881	0.0760873	0.0390585	0.0206134	0.0318222	0.052579	0.081134
a47	0.360528	0.29229	0.169483	0.048477	0.0477585	0.0260315	0.0113954	0.0130941	0.0145423	0.0164001
a37	0.295202	0.238608	0.1499	0.0691055	0.0712109	0.0565291	0.0310682	0.0290339	0.0297162	0.0296259
a98	0.266425	0.24254	0.173787	0.0827699	0.082608	0.0552244	0.0286066	0.0238814	0.0224628	0.0216951
a73	0.237545	0.204603	0.157156	0.099894	0.0968263	0.0770676	0.0507929	0.0365297	0.0197974	0.019788
a56	0.146762	0.16573	0.160884	0.126821	0.123195	0.105116	0.067449	0.0448149	0.0272597	0.0319692
a75	0.168139	0.172179	0.174067	0.134092	0.124344	0.100052	0.0506034	0.0322257	0.0220347	0.0222637
a85	0.10106	0.128097	0.152521	0.139059	0.131193	0.105694	0.0723041	0.0605309	0.053188	0.0563523
a66	0.0959375	0.123985	0.143206	0.123374	0.113315	0.102269	0.0750516	0.0727366	0.0756987	0.0744259
a34	0.0748318	0.0964346	0.141793	0.193844	0.174876	0.155194	0.0820641	0.0377766	0.0204353	0.0227497
a21	0.0633514	0.0854884	0.122522	0.201169	0.174441	0.152912	0.0926347	0.0503119	0.0265988	0.0305704
a47	0.0715924	0.0902808	0.11606	0.189583	0.164139	0.144056	0.0865647	0.0603184	0.0435223	0.0338835
a88	0.0491745	0.0597711	0.0753533	0.157795	0.1557	0.199722	0.12366	0.0869831	0.0526015	0.0392393
a61	0.0367964	0.0492771	0.0649386	0.136294	0.140692	0.209259	0.157628	0.104969	0.0598213	0.0403251
a75	0.0288642	0.0382266	0.0518609	0.111284	0.11715	0.209536	0.191603	0.131689	0.0706768	0.04911
a85	0.0441424	0.0545857	0.0590069	0.0755413	0.0666514	0.102399	0.109233	0.104545	0.181115	0.202781
a79	0.0574197	0.0651241	0.0635749	0.0613419	0.0589728	0.0835209	0.0848794	0.0985686	0.18798	0.238618
a37	0.02827	0.0342706	0.038406	0.0688522	0.0743654	0.134051	0.128183	0.12705	0.1798	0.186752
a54	0.0364692	0.0466407	0.0595701	0.102436	0.097141	0.165654	0.155422	0.130413	0.106407	0.0998463
a98	0.0390668	0.04458	0.0445604	0.0516569	0.0485621	0.0715519	0.0916994	0.0974913	0.189162	0.32167
a92	0.036038	0.039007	0.0376436	0.0423733	0.0451618	0.0823019	0.112163	0.127952	0.202122	0.275237
a85	0.0582263	0.0552735	0.052807	0.0692514	0.069101	0.122534	0.127324	0.121732	0.132425	0.191325
a37	0.0560274	0.0551913	0.0516893	0.0569932	0.06046	0.0990861	0.108076	0.123912	0.165068	0.223497
a44	0.0331917	0.0372488	0.0452577	0.0707119	0.0648143	0.102079	0.114801	0.124376	0.176455	0.231065
a98	0.0161823	0.0206893	0.0283603	0.0555331	0.0502761	0.0897678	0.13609	0.150134	0.200756	0.252212
a85	0.0230489	0.0247346	0.0260413	0.0346446	0.0337239	0.0597279	0.101253	0.124139	0.216795	0.355892
