 	le	hanneton	se	nourrit	d'	herbes	</S>
a66	0.391746	0.202567	0.135554	0.121623	0.0808117	0.0402548	0.0274433
a87	0.43743	0.21732	0.154804	0.0901864	0.0464237	0.0277697	0.026066
a23	0.460259	0.204612	0.10826	0.0655507	0.0492986	0.0499768	0.0620428
a5	0.367628	0.17722	0.118208	0.0783041	0.0652928	0.0779139	0.115433
a36	0.454739	0.239725	0.115544	0.0646612	0.0445651	0.0364071	0.0443583
a90	0.370938	0.279367	0.166172	0.0782594	0.0460689	0.0304201	0.0287743
a25	0.229011	0.203749	0.203791	0.139975	0.0946619	0.069197	0.0596153
a98	0.166783	0.180894	0.210497	0.152829	0.11539	0.090999	0.0826086
a5	0.1617	0.183003	0.223199	0.166889	0.11671	0.0780926	0.0704062
a21	0.150847	0.131195	0.164934	0.161079	0.148114	0.124701	0.119128
a85	0.0867686	0.0896997	0.130612	0.180128	0.199058	0.159058	0.154675
a47	0.042419	0.0654066	0.131239	0.223769	0.234511	0.161735	0.140921
a79	0.0155499	0.0231108	0.0554796	0.144222	0.240955	0.252951	0.267732
a37	0.0210362	0.0297418	0.0644103	0.147935	0.221175	0.247424	0.268277
a43	0.0131656	0.0131915	0.0247938	0.0707572	0.150789	0.280405	0.446898
a11	0.00812123	0.00807564	0.0141047	0.0443497	0.117976	0.270805	0.536568
a70	0.00367166	0.0041161	0.00849199	0.0343392	0.0996225	0.247505	0.602254
a13	0.00342585	0.00433254	0.0084365	0.0384876	0.116148	0.262756	0.566414
a9	0.00437767	0.00630286	0.0116937	0.0424643	0.113322	0.243198	0.578641
a99	0.0753359	0.0525248	0.0584085	0.0836901	0.123549	0.209633	0.396858
a87	0.126321	0.0737038	0.0706281	0.0917555	0.122444	0.187532	0.327616
a23	0.310032	0.16709	0.125743	0.113027	0.0957529	0.0904844	0.097871
a99	0.0610359	0.030245	0.0320547	0.0643568	0.115506	0.233283	0.463519
</S>	0.0155903	0.00889284	0.0119936	0.03672	0.10384	0.240203	0.582761
