 	cette	maison	est	hantée	par	un	mauvais	esprit	</S>
a66	0.307933	0.154815	0.107634	0.144164	0.0947789	0.0706489	0.0559969	0.0348737	0.0291549
a87	0.347011	0.245117	0.17742	0.0767791	0.0542715	0.037999	0.0266031	0.0192899	0.0155089
a23	0.481924	0.30053	0.120054	0.0265302	0.0173308	0.0141527	0.0142502	0.0139532	0.0112741
a13	0.4097	0.286214	0.127406	0.0329232	0.0296364	0.025793	0.0253974	0.0300484	0.0328823
a38	0.297187	0.205209	0.100313	0.0571799	0.0556576	0.0522552	0.0606936	0.0769194	0.0945853
a12	0.256848	0.184024	0.136408	0.0690046	0.0484697	0.0455649	0.0690974	0.0892969	0.101286
a47	0.232943	0.230901	0.240894	0.088614	0.0458099	0.0375707	0.0387652	0.0442762	0.040226
a12	0.142376	0.137998	0.188772	0.11694	0.0817582	0.068173	0.0754331	0.0969605	0.0915884
a34	0.126281	0.129446	0.198595	0.138604	0.0859597	0.069988	0.069434	0.092112	0.0895802
a93	0.130982	0.14364	0.250624	0.171837	0.0734321	0.0521032	0.0472389	0.0643277	0.065815
a96	0.0919775	0.0985689	0.207541	0.2078	0.0968645	0.0669856	0.0565339	0.0819798	0.091749
a62	0.0910158	0.0872715	0.16193	0.2382	0.112331	0.0756294	0.0621481	0.0821136	0.089361
a47	0.0541163	0.0500696	0.0778399	0.2373	0.149325	0.108242	0.0940958	0.111459	0.117552
a96	0.0482988	0.0444537	0.0626769	0.232073	0.184323	0.133399	0.0982765	0.0995368	0.0969617
a93	0.0307044	0.0268135	0.0362419	0.162154	0.184234	0.156827	0.135509	0.137571	0.129945
a70	0.0219177	0.0171108	0.0219722	0.101152	0.161993	0.168786	0.171838	0.180238	0.154992
a4	0.0190525	0.0141497	0.0149857	0.057282	0.12259	0.162691	0.198054	0.215926	0.195268
a13	0.0137181	0.00851391	0.00762912	0.0212152	0.0660722	0.118727	0.176677	0.259116	0.328332
a62	0.0315621	0.0154588	0.0133216	0.0233131	0.0476546	0.0856769	0.132359	0.246209	0.404445
a88	0.00319652	0.00189629	0.00168397	0.00409832	0.0158806	0.0417967	0.12047	0.269241	0.541737
a71	0.00242335	0.00151054	0.00170229	0.00596463	0.0216387	0.0506682	0.124753	0.269211	0.522128
a9	0.0282644	0.0162158	0.0145175	0.0266413	0.0532392	0.0850688	0.144323	0.227244	0.404486
a87	0.0952501	0.0662515	0.0551562	0.0547453	0.0718216	0.0931186	0.140721	0.164414	0.258522
a23	0.234815	0.177482	0.115465	0.0703466	0.0676683	0.0677104	0.0806589	0.0872377	0.0986162
a99	0.115792	0.0856652	0.0470183	0.03078	0.0523191	0.0790337	0.127907	0.216412	0.245072
a97	0.0409285	0.0297944	0.0219081	0.0255841	0.0549501	0.0796852	0.127633	0.266554	0.352962
a99	0.0238679	0.0167446	0.0128139	0.0191982	0.0465677	0.0706729	0.104252	0.262783	0.4431
a87	0.0473609	0.0378954	0.0299233	0.0342631	0.0647563	0.0869772	0.114229	0.248202	0.336392
a23	0.0460988	0.0340347	0.0220547	0.0244889	0.0504797	0.0712818	0.100111	0.244899	0.406552
a87	0.0447243	0.0429442	0.0304225	0.0256423	0.0522998	0.0801641	0.113173	0.251425	0.359205
</S>	0.0693588	0.0558745	0.0333758	0.0273753	0.0549743	0.0804416	0.108269	0.23525	0.335081
