 	elle	lui	donne	un	coup	de	bâton	</S>
a23	0.32659	0.220534	0.110721	0.0754066	0.0614781	0.0599025	0.0789827	0.0663861
a10	0.252879	0.145033	0.109023	0.120992	0.128759	0.0880013	0.080222	0.0750904
a87	0.243039	0.168862	0.135429	0.121994	0.102404	0.0681403	0.072852	0.0872802
a23	0.231148	0.152702	0.13088	0.131142	0.122534	0.0819594	0.0767207	0.0729133
a87	0.239967	0.180239	0.144003	0.123204	0.0908776	0.0577106	0.0784795	0.0855192
a23	0.181337	0.153343	0.143577	0.139096	0.116643	0.0738017	0.0935564	0.0986463
a53	0.168339	0.141175	0.134461	0.141978	0.114358	0.0768428	0.0989755	0.123871
a4	0.293708	0.226247	0.166025	0.124827	0.0941317	0.0463993	0.0285578	0.0201038
a70	0.253342	0.244474	0.189879	0.137299	0.0993493	0.0423309	0.0205607	0.0127651
a0	0.214868	0.223672	0.183479	0.144352	0.118873	0.0600425	0.032151	0.0225627
a94	0.168537	0.18219	0.171222	0.156568	0.142976	0.088052	0.0519969	0.0384574
a93	0.168615	0.183634	0.17175	0.154966	0.141832	0.0887064	0.0517936	0.0387025
a62	0.147739	0.158734	0.156993	0.149133	0.154716	0.115907	0.0693984	0.0473798
a83	0.0757536	0.0850781	0.101217	0.12351	0.159831	0.184238	0.160837	0.109536
a11	0.0587164	0.066208	0.0865608	0.127801	0.176253	0.206669	0.163996	0.113795
a90	0.0457087	0.0506255	0.0652846	0.107732	0.159448	0.209212	0.195645	0.166344
a20	0.0421234	0.0500251	0.066529	0.099719	0.146524	0.212757	0.211946	0.170376
a84	0.0311757	0.039502	0.050135	0.0725822	0.110915	0.191514	0.24497	0.259206
a57	0.0109878	0.0120607	0.0138524	0.0276162	0.0501925	0.134786	0.304509	0.445995
a87	0.0163433	0.0150307	0.0168023	0.0275137	0.0488162	0.116933	0.260461	0.4981
a23	0.0225742	0.021441	0.0305812	0.0423898	0.0750992	0.144023	0.259094	0.404798
a87	0.0345597	0.0338732	0.0484539	0.0599673	0.088374	0.16183	0.267791	0.305152
</S>	0.0179449	0.0184184	0.0259162	0.0353053	0.0635066	0.13907	0.283902	0.415937
