 	les	bananes	sont	pleines	</S>
a14	0.318149	0.156071	0.129675	0.180157	0.215948
a2	0.130303	0.144113	0.174623	0.268848	0.282114
a84	0.361633	0.1801	0.148077	0.136042	0.174149
a38	0.406323	0.159391	0.111177	0.123283	0.199826
a25	0.393566	0.183137	0.131142	0.129254	0.162902
a76	0.42026	0.249903	0.16212	0.0893099	0.0784065
a98	0.323192	0.252278	0.217289	0.122098	0.0851439
a41	0.326373	0.261975	0.217067	0.114806	0.0797788
a0	0.259503	0.264374	0.24131	0.137899	0.0969132
a75	0.230569	0.276993	0.25396	0.130377	0.108102
a14	0.222877	0.234954	0.234321	0.168636	0.139212
a73	0.136684	0.189045	0.248905	0.234992	0.190374
a44	0.138434	0.216632	0.260362	0.204869	0.179703
a57	0.0846085	0.162926	0.233982	0.256968	0.261515
a53	0.0549313	0.116666	0.207786	0.331648	0.288969
a93	0.037033	0.0879332	0.181114	0.346025	0.347895
a70	0.030538	0.0700515	0.136547	0.32862	0.434244
a0	0.0310977	0.0508541	0.0954548	0.2727	0.549893
a32	0.033087	0.048419	0.0904802	0.251396	0.576618
a11	0.0349402	0.0544736	0.100526	0.256107	0.553953
a24	0.0314594	0.0443618	0.0792642	0.229741	0.615174
a9	0.0280609	0.0357237	0.0628005	0.200363	0.673052
a87	0.00849273	0.0105392	0.0266692	0.145604	0.808694
</S>	0.0129448	0.0110059	0.0234858	0.151535	0.801029
