 	les	petits	enfants	imitent	leurs	pères	</S>
a66	0.459357	0.190626	0.123562	0.139969	0.0670625	0.0115766	0.00784679
a87	0.632543	0.144981	0.068338	0.106729	0.0350095	0.00744384	0.00495645
a23	0.549148	0.17707	0.104147	0.116016	0.036651	0.00810685	0.00886051
a40	0.383419	0.151635	0.0981083	0.168978	0.0756536	0.0429059	0.079301
a6	0.341613	0.184454	0.133588	0.189289	0.0859778	0.0402024	0.0248758
a85	0.215511	0.24229	0.216634	0.240613	0.0485313	0.0202608	0.016159
a6	0.23928	0.203661	0.182921	0.283976	0.0497215	0.0305026	0.00993735
a5	0.169062	0.173415	0.235207	0.3344	0.0576551	0.019463	0.0107987
a43	0.294683	0.217617	0.203016	0.220829	0.0396366	0.0135395	0.0106788
a11	0.242132	0.206532	0.25061	0.228983	0.0469058	0.0122986	0.012539
a75	0.159755	0.174065	0.253671	0.236669	0.115384	0.0256728	0.034783
a85	0.0866619	0.105156	0.251531	0.29575	0.130749	0.0755942	0.0545585
a47	0.0387979	0.0632231	0.157698	0.238632	0.185447	0.176299	0.139902
a37	0.0211999	0.0380718	0.0944922	0.12287	0.259385	0.180083	0.283898
a75	0.0391809	0.0560531	0.139396	0.163187	0.259053	0.15932	0.183809
a61	0.0131576	0.0234439	0.0755142	0.117962	0.275135	0.317527	0.177261
a43	0.026134	0.0388674	0.0770111	0.101064	0.229165	0.295192	0.232567
a75	0.0312107	0.0435844	0.0718242	0.109473	0.150697	0.221291	0.37192
a85	0.00969514	0.0145259	0.0366733	0.0738065	0.145285	0.345823	0.374192
a47	0.0061976	0.0107658	0.0256625	0.0412424	0.121436	0.451449	0.343246
a36	0.0035743	0.00550135	0.00781535	0.0125761	0.0461202	0.445261	0.479152
a85	0.00665466	0.00673929	0.00738571	0.00807663	0.0131967	0.159828	0.798119
a6	0.000936421	0.00130729	0.0022904	0.00435256	0.0153414	0.327019	0.648753
a47	0.00123655	0.00167952	0.00253055	0.00432957	0.0136044	0.28355	0.693069
a98	0.00104573	0.00146986	0.00218128	0.00316609	0.0139303	0.337481	0.640726
a47	0.000426323	0.000687721	0.00141616	0.00252157	0.0119134	0.343215	0.63982
a36	0.000864894	0.00116596	0.00212815	0.00456602	0.0200063	0.389309	0.58196
a2	0.004137	0.00396335	0.004457	0.00537646	0.0213873	0.318442	0.642237
a57	0.0924676	0.0782341	0.0589348	0.0550957	0.126392	0.267436	0.32144
a87	0.143305	0.0849753	0.0713466	0.0780143	0.147021	0.260265	0.215073
a23	0.297621	0.119529	0.114713	0.132067	0.118595	0.133936	0.0835394
a87	0.18709	0.060455	0.0506216	0.0407336	0.0366828	0.309062	0.315355
</S>	0.0276107	0.00993514	0.0112989	0.0134381	0.020666	0.403642	0.513409
