 	cette	manière	de	s'	habiller	est	celle	des	enfants	</S>
a66	0.408332	0.256075	0.132058	0.0851548	0.032257	0.0238495	0.0138468	0.0200656	0.0166022	0.0117578
a87	0.371436	0.209894	0.131782	0.0956109	0.0354055	0.0518987	0.0428073	0.0301123	0.0176994	0.0133531
a23	0.370796	0.239988	0.193081	0.0871279	0.0283225	0.0247545	0.0165657	0.0160097	0.0126722	0.0106833
a12	0.196063	0.190436	0.226445	0.155736	0.0793092	0.0632465	0.0273449	0.0192406	0.0186301	0.0235482
a62	0.291761	0.213149	0.17172	0.138422	0.0636408	0.048867	0.0288122	0.0154511	0.0135525	0.0146246
a5	0.176298	0.223997	0.2212	0.216373	0.0779336	0.0407218	0.0214948	0.00855473	0.00708178	0.00634548
a47	0.159147	0.212451	0.182972	0.219692	0.111024	0.0607648	0.0253792	0.0102284	0.00907697	0.00926546
a88	0.123523	0.178228	0.156141	0.199292	0.138463	0.104952	0.0469242	0.0176693	0.0158421	0.0189663
a75	0.0675509	0.0746629	0.0974251	0.171696	0.164516	0.145402	0.0967766	0.0679561	0.058516	0.0554984
a5	0.0838253	0.0620944	0.0602599	0.0985515	0.078765	0.105437	0.192857	0.125808	0.0911564	0.101245
a21	0.0460371	0.0362289	0.0321787	0.044312	0.0458403	0.0602099	0.174632	0.223846	0.164619	0.172096
a5	0.00922411	0.00544627	0.00476531	0.00865284	0.012937	0.0196419	0.0908759	0.280673	0.283511	0.284272
a37	0.00649532	0.00370212	0.00294926	0.00615166	0.0101647	0.0142695	0.0607991	0.230483	0.306143	0.358842
a61	0.00383947	0.00185564	0.00120486	0.00202608	0.00268513	0.00496043	0.0200773	0.100419	0.296317	0.566615
a47	0.00252423	0.00114868	0.000789146	0.00124633	0.00150408	0.00340663	0.0173873	0.0949033	0.284665	0.592425
a31	0.00101724	0.000585598	0.000506238	0.000991526	0.00120344	0.00382879	0.0223984	0.120643	0.305174	0.543652
a0	0.000703119	0.00051745	0.000493614	0.000691734	0.000860249	0.00278816	0.0216391	0.122959	0.30147	0.547877
a9	0.0036305	0.00182673	0.00156754	0.00174734	0.00152091	0.00559844	0.0248608	0.106745	0.291766	0.560736
a99	0.102233	0.0392518	0.0267334	0.0158631	0.00906928	0.0207974	0.0447076	0.0834873	0.235227	0.42263
a87	0.351607	0.132007	0.0844849	0.0404464	0.021027	0.0346763	0.0496458	0.0611556	0.0953595	0.129591
a23	0.439712	0.199194	0.129517	0.0562395	0.021413	0.0257754	0.0286696	0.0306914	0.0329326	0.0358558
a87	0.311427	0.17161	0.07792	0.0439484	0.0132684	0.00943861	0.012745	0.0531483	0.109457	0.197037
</S>	0.0200016	0.0145688	0.0120945	0.0151383	0.00830188	0.00556721	0.0136008	0.0932959	0.275502	0.541929
