 	j'	ai	la	gorge	sèche	</S>
a38	0.326678	0.161555	0.11725	0.133485	0.173641	0.087391
a70	0.426838	0.234125	0.132401	0.114243	0.0633458	0.0290466
a90	0.352244	0.242583	0.121675	0.149427	0.0863379	0.0477332
a56	0.349335	0.25654	0.131148	0.125472	0.0878481	0.0496574
a93	0.312664	0.279616	0.149467	0.136549	0.0825887	0.0391152
a44	0.196792	0.214507	0.17847	0.183212	0.140827	0.0861921
a90	0.130117	0.142251	0.172535	0.231746	0.199965	0.123387
a56	0.0911007	0.103753	0.146753	0.232215	0.234816	0.191362
a96	0.0489719	0.0483937	0.0858445	0.188314	0.306158	0.322318
a11	0.0302992	0.0286146	0.0511489	0.146634	0.323262	0.420041
a47	0.00491391	0.00467598	0.00971117	0.0494037	0.254256	0.677039
a96	0.00868058	0.00739762	0.0130243	0.0479165	0.234419	0.688562
a18	0.00534185	0.00516441	0.00864157	0.0371787	0.20119	0.742483
a71	0.00959179	0.0110962	0.0193947	0.0703507	0.218415	0.671152
a9	0.0828602	0.0660649	0.0668655	0.10278	0.195595	0.485834
a87	0.3415	0.216207	0.122417	0.11101	0.0971477	0.111718
a23	0.231226	0.150526	0.0920725	0.125584	0.161748	0.238843
a97	0.0726055	0.0604202	0.0505266	0.120502	0.218068	0.477877
</S>	0.048072	0.038044	0.0459118	0.132036	0.245899	0.490038
