 	il	n'	est	pas	besoin	de	le	prévenir	</S>
a23	0.331005	0.188368	0.145979	0.106796	0.108856	0.0573172	0.0298693	0.0161178	0.0156922
a79	0.390106	0.234973	0.178804	0.0902804	0.0511567	0.020971	0.0113905	0.00889643	0.0134223
a13	0.307397	0.223987	0.161517	0.069276	0.0376987	0.0296556	0.0371465	0.0531675	0.0801547
a53	0.398982	0.260487	0.172172	0.0877618	0.0472066	0.0167979	0.00862548	0.00355595	0.00441098
a20	0.261067	0.217267	0.17654	0.124157	0.0822836	0.0401262	0.0310261	0.0287698	0.0387632
a90	0.179666	0.188636	0.175779	0.129101	0.107471	0.0682997	0.0518152	0.0443479	0.0548855
a38	0.166359	0.210022	0.211524	0.158941	0.109661	0.0467232	0.0284801	0.0292146	0.0390759
a20	0.140701	0.196463	0.209408	0.159237	0.113856	0.0484599	0.0319371	0.0414005	0.0585377
a73	0.117511	0.169871	0.196632	0.165875	0.13288	0.0712043	0.0446532	0.0455843	0.0557891
a56	0.139792	0.175199	0.185664	0.149503	0.124992	0.0748952	0.0486342	0.0473941	0.0539264
a12	0.102222	0.136945	0.165978	0.159242	0.158519	0.106805	0.0539857	0.0510548	0.0652483
a88	0.066918	0.0861877	0.113596	0.13935	0.178634	0.159629	0.0932138	0.0734404	0.0890304
a71	0.0693722	0.0803125	0.0973914	0.122284	0.17395	0.180611	0.129372	0.0754954	0.0712117
a25	0.0801993	0.0967086	0.116553	0.137853	0.177337	0.164232	0.106724	0.0617107	0.0586831
a38	0.0562456	0.0670186	0.0785836	0.104012	0.152472	0.171336	0.121661	0.104516	0.144156
a73	0.0527671	0.052699	0.0567371	0.0587737	0.0802736	0.10629	0.0985217	0.164496	0.329442
a37	0.0318127	0.0349482	0.0450874	0.0522804	0.0791197	0.145253	0.154791	0.191209	0.265498
a12	0.0265525	0.0268639	0.0291766	0.0352573	0.0636463	0.131202	0.154551	0.237346	0.295405
a94	0.0209811	0.0211882	0.0228543	0.0297609	0.0581897	0.133402	0.190169	0.246836	0.276618
a24	0.0207	0.0204105	0.0203664	0.0228522	0.0385137	0.101965	0.193351	0.276806	0.305036
a31	0.0107163	0.0104239	0.0104304	0.0129483	0.0224577	0.0638348	0.154964	0.343867	0.370357
a24	0.0224579	0.0213545	0.019803	0.0210399	0.0305424	0.0660504	0.145667	0.330618	0.342467
a75	0.0106918	0.010071	0.0094224	0.011185	0.0165738	0.0370501	0.0968335	0.32827	0.479903
a96	0.0129921	0.0126481	0.0128874	0.0144562	0.0213547	0.0497066	0.124217	0.35527	0.396468
a12	0.0148967	0.0146757	0.01373	0.0134464	0.0180022	0.0391827	0.0988616	0.346857	0.440347
a96	0.0136452	0.0134084	0.0136192	0.0137186	0.017791	0.0375371	0.0920495	0.331986	0.466245
a98	0.00969728	0.00995602	0.0102877	0.0110148	0.0150396	0.0366983	0.0936323	0.344189	0.469485
a73	0.0145468	0.0142232	0.0148752	0.016635	0.0238112	0.0535869	0.124111	0.338055	0.400156
a76	0.0111507	0.0107158	0.0115391	0.0124059	0.0176687	0.0405689	0.102581	0.32542	0.46795
a73	0.00838913	0.00826637	0.00926926	0.00993556	0.0143739	0.0340816	0.0779934	0.282973	0.554718
a76	0.0105717	0.0111455	0.0128041	0.0133435	0.0172317	0.0334823	0.0732422	0.259102	0.569077
a73	0.0112487	0.0111726	0.0118263	0.0125957	0.0173829	0.0378741	0.0820577	0.281459	0.534383
a58	0.0126651	0.0120021	0.0131816	0.0134669	0.0173	0.0354939	0.0818585	0.277859	0.536173
a40	0.00194608	0.00191257	0.0023018	0.00276644	0.00422265	0.0100792	0.0271249	0.197621	0.752025
a54	0.0174434	0.0165033	0.0184802	0.0163052	0.0160041	0.0248132	0.0528568	0.239949	0.597645
a73	0.00892528	0.0081359	0.00869154	0.00874887	0.0113524	0.0246719	0.0606221	0.248996	0.619856
a84	0.00604876	0.00526781	0.00563726	0.00525455	0.00599683	0.0106006	0.0285813	0.237934	0.694679
a57	0.00392677	0.00262165	0.00252709	0.00190933	0.00203758	0.00450951	0.0153639	0.210278	0.756827
a87	0.0100725	0.00707354	0.00710054	0.00591892	0.00599753	0.0156434	0.0477887	0.224734	0.675671
</S>	0.0105956	0.00768289	0.00731023	0.00640168	0.00729359	0.020589	0.058	0.175791	0.706336
