 	il	s'	est	brisé	la	jambe	</S>
a23	0.432469	0.264102	0.146132	0.0654404	0.0244268	0.0267515	0.0406775
a87	0.469382	0.17825	0.115393	0.0935124	0.0417117	0.0414971	0.0602531
a23	0.28255	0.152164	0.105924	0.0911755	0.099779	0.101775	0.166633
a87	0.212493	0.129472	0.086895	0.0658528	0.0559966	0.121318	0.327972
a23	0.165369	0.112476	0.0792107	0.0740084	0.087813	0.144605	0.336519
a20	0.29678	0.184152	0.12319	0.0961908	0.0765899	0.0983678	0.124731
a30	0.288546	0.210981	0.166935	0.185448	0.0809572	0.0454469	0.0216859
a35	0.217448	0.22106	0.18992	0.21783	0.113846	0.0283968	0.0115007
a66	0.21627	0.21035	0.194239	0.19722	0.130976	0.0359822	0.0149617
a38	0.125125	0.112221	0.124883	0.191674	0.256203	0.121731	0.0681633
a35	0.0992391	0.0815789	0.100898	0.146008	0.253904	0.194442	0.12393
a26	0.147609	0.119919	0.15292	0.164782	0.181983	0.150319	0.0824671
a41	0.0984855	0.08329	0.105476	0.139747	0.178888	0.213093	0.181021
a27	0.0481229	0.0447923	0.0645115	0.0917704	0.196026	0.29952	0.255257
a38	0.0263223	0.0268967	0.0385876	0.0541037	0.127529	0.290024	0.436536
a90	0.0150706	0.0125004	0.0163189	0.0229343	0.110792	0.329018	0.493366
a4	0.0292674	0.0297665	0.0290343	0.030767	0.107127	0.298692	0.475346
a13	0.0129907	0.0177649	0.0226339	0.0262101	0.0633896	0.234089	0.622922
a3	0.00648846	0.00515102	0.00499047	0.00671443	0.0284833	0.188471	0.759701
a87	0.0033199	0.00150353	0.000976698	0.00174334	0.0146762	0.154764	0.823016
</S>	0.00158739	0.00155664	0.00191937	0.00509555	0.0387987	0.250922	0.70012
