 	il	tomba	en	bas	de	l'	arbre	</S>
a23	0.326884	0.159504	0.136534	0.106156	0.0863195	0.068453	0.0598058	0.0563443
a30	0.391264	0.22143	0.130137	0.0706135	0.0444827	0.0421543	0.0442044	0.0557139
a53	0.32623	0.225271	0.122699	0.0644777	0.0443007	0.0528179	0.065994	0.0982099
a69	0.429345	0.170616	0.112109	0.0856162	0.0659268	0.0542275	0.0432481	0.0389107
a58	0.433153	0.226588	0.132234	0.0692362	0.0413675	0.0384195	0.0307324	0.0282698
a57	0.313348	0.209423	0.135384	0.0851661	0.0563892	0.0635597	0.0649969	0.0717322
a38	0.220406	0.191778	0.1538	0.127273	0.0847703	0.0776007	0.0698069	0.0745639
a62	0.143323	0.160557	0.14366	0.138094	0.0987667	0.095034	0.100021	0.120545
a31	0.183084	0.207136	0.160294	0.109879	0.0691908	0.0718775	0.0880407	0.110497
a88	0.213892	0.244801	0.190809	0.120858	0.0621935	0.0534367	0.053258	0.0607513
a9	0.146299	0.211314	0.195999	0.161206	0.0831859	0.0646353	0.063755	0.073606
a87	0.0802654	0.131825	0.15289	0.175703	0.124094	0.101323	0.100474	0.133424
a83	0.0868893	0.13636	0.134472	0.150984	0.129195	0.113261	0.110131	0.138708
a53	0.116452	0.127656	0.140172	0.146788	0.103856	0.104147	0.114532	0.146398
a93	0.080361	0.106861	0.128726	0.138788	0.109958	0.12364	0.143001	0.168666
a66	0.0478166	0.0759588	0.102788	0.156671	0.147626	0.140735	0.146692	0.181711
a38	0.0341786	0.0586981	0.082863	0.142035	0.150645	0.147775	0.158312	0.225493
a0	0.026259	0.0379668	0.0566022	0.118717	0.15065	0.164605	0.181332	0.263867
a24	0.022513	0.0279931	0.0391804	0.0743671	0.121064	0.174359	0.21656	0.323963
a70	0.0136594	0.0180799	0.0240381	0.04112	0.0804523	0.161993	0.274798	0.385859
a62	0.00919181	0.0108364	0.0153755	0.0274747	0.0591052	0.138538	0.279274	0.460204
a83	0.00629438	0.00940034	0.0128276	0.0236563	0.0582955	0.143347	0.292772	0.453407
a38	0.00544403	0.00725626	0.0104556	0.0199177	0.0497994	0.129856	0.295226	0.482045
a90	0.00340567	0.00433203	0.00645986	0.0132384	0.0361041	0.107975	0.294802	0.533683
a20	0.00436035	0.00540674	0.00765746	0.0148818	0.0311004	0.0837869	0.263045	0.589761
a7	0.00325718	0.00397372	0.00570913	0.0111631	0.0271428	0.0784049	0.271143	0.599206
a84	0.00141964	0.00204552	0.00377261	0.00887554	0.0282392	0.0930462	0.285935	0.576667
a87	0.0210506	0.0186679	0.0233903	0.0379466	0.0633304	0.103465	0.240017	0.492132
a23	0.173338	0.106561	0.0988792	0.0833936	0.0956568	0.106923	0.143299	0.19195
a87	0.0851175	0.0508812	0.0560267	0.0734102	0.134635	0.193338	0.209754	0.196837
</S>	0.0209392	0.0133058	0.0192562	0.0380802	0.099142	0.183322	0.27689	0.349064
