 	il	y	a	un	serpent	sous	cette	roche	</S>
a23	0.204754	0.138436	0.142043	0.0983344	0.0751205	0.0596545	0.063955	0.0855939	0.132109
a79	0.27637	0.167303	0.116346	0.0727005	0.0595323	0.0566447	0.0633366	0.0890002	0.0987663
a41	0.254133	0.151846	0.176493	0.146566	0.105409	0.0568006	0.0419405	0.0359992	0.0308131
a98	0.22545	0.160788	0.209815	0.162354	0.115076	0.0641362	0.0412546	0.016224	0.0049019
a24	0.138118	0.142308	0.199505	0.176462	0.152571	0.094986	0.0655024	0.0240003	0.0065475
a41	0.149545	0.155515	0.204856	0.173393	0.139304	0.086394	0.0626607	0.0220098	0.00632256
a94	0.0910627	0.120812	0.176052	0.189692	0.165069	0.11119	0.0952775	0.0378447	0.0130008
a38	0.0666481	0.100883	0.144211	0.165481	0.155586	0.129929	0.142971	0.0664849	0.0278062
a41	0.0567863	0.0765266	0.10821	0.144976	0.136698	0.133558	0.170652	0.105591	0.0670027
a76	0.064604	0.0895786	0.11849	0.162454	0.142144	0.117427	0.153071	0.0991027	0.0531276
a20	0.0430692	0.0620699	0.0836838	0.110858	0.113118	0.107986	0.177102	0.166133	0.13598
a84	0.0665232	0.0832159	0.106288	0.116111	0.100458	0.0865158	0.137448	0.14793	0.155509
a76	0.0257531	0.031737	0.0393778	0.0516875	0.0432963	0.0416697	0.0888153	0.166303	0.51136
a90	0.0447114	0.0537686	0.0688072	0.0825733	0.0695094	0.0608698	0.10943	0.170606	0.339725
a58	0.0478149	0.0607234	0.0757707	0.0844173	0.0694438	0.0605692	0.100129	0.150958	0.350173
a84	0.0320606	0.033404	0.0383475	0.0464111	0.037763	0.0367627	0.0656105	0.126948	0.582693
a11	0.0277929	0.0302082	0.0278335	0.0309078	0.0267178	0.0275439	0.0450536	0.0945829	0.689359
a24	0.0506506	0.0594295	0.0415788	0.0319787	0.0230595	0.0218746	0.0353989	0.0948793	0.64115
a98	0.0460705	0.0685204	0.0572817	0.0439141	0.03432	0.0299724	0.0489907	0.129358	0.541572
a71	0.0391757	0.0445453	0.0382014	0.0309261	0.0197221	0.0174879	0.0362597	0.112191	0.661491
a11	0.0238024	0.0347636	0.029829	0.0280818	0.0219101	0.022919	0.0467634	0.161026	0.630905
a47	0.0385932	0.0527656	0.0424307	0.0352128	0.0249488	0.0277185	0.0550495	0.176918	0.546363
a98	0.0376546	0.0471931	0.0405524	0.032395	0.0262082	0.0271869	0.0496938	0.14333	0.595786
a71	0.038849	0.052027	0.0431857	0.0350523	0.0257413	0.0291365	0.0577039	0.152428	0.565876
a24	0.0191625	0.0246663	0.0216149	0.0219786	0.0159566	0.0188898	0.0432617	0.190681	0.643788
a25	0.0384458	0.0467217	0.0401925	0.0370745	0.027227	0.0324596	0.0634183	0.180981	0.53348
a87	0.0255046	0.032541	0.0297017	0.0329245	0.0214433	0.0242959	0.0556135	0.158664	0.619312
</S>	0.0256833	0.0350801	0.0293761	0.0305937	0.0199554	0.0252878	0.0546458	0.15662	0.622757
