 	cette	femme-là	s'	est	chamaillé	avec	son	mari	</S>
a66	0.160455	0.167537	0.153438	0.196773	0.2039	0.0747478	0.0188812	0.0118547	0.0124121
a87	0.294677	0.269016	0.202769	0.121896	0.0429069	0.0250138	0.0131157	0.0126077	0.0179978
a23	0.407623	0.330701	0.141676	0.0689305	0.0174324	0.00782897	0.00591056	0.0077569	0.0121414
a87	0.42711	0.359079	0.124613	0.055625	0.00816808	0.00491961	0.0043782	0.00600418	0.0101027
a23	0.410179	0.368913	0.123979	0.059738	0.0101939	0.00653806	0.00568917	0.00637932	0.00838929
a87	0.452887	0.330147	0.105975	0.0502141	0.0103048	0.00905607	0.00916678	0.0133639	0.0188847
a23	0.424709	0.336521	0.119152	0.0628217	0.0150717	0.0106845	0.00878514	0.00988082	0.0123735
a30	0.461105	0.316363	0.100643	0.0544456	0.0138296	0.0114701	0.00993042	0.0140679	0.0181451
a70	0.37529	0.37299	0.123734	0.0714772	0.0155113	0.00918415	0.00801595	0.010882	0.0129161
a96	0.321768	0.242404	0.197559	0.148398	0.0454501	0.0164981	0.00793652	0.00962983	0.0103564
a62	0.22059	0.208146	0.210811	0.191733	0.0815432	0.033189	0.0163148	0.0177868	0.0198866
a96	0.14108	0.156315	0.207154	0.231939	0.136674	0.0533375	0.0217023	0.0233654	0.0284325
a93	0.123771	0.14326	0.196964	0.233109	0.14275	0.0607972	0.029709	0.0313177	0.038322
a90	0.0849328	0.0998553	0.178576	0.24263	0.211429	0.079317	0.0302931	0.0324206	0.0405458
a69	0.0566365	0.0777911	0.147823	0.236731	0.242189	0.106752	0.0371024	0.0412597	0.0537156
a98	0.0609615	0.0948025	0.162424	0.236354	0.215075	0.0981269	0.0374771	0.0413259	0.0534526
a92	0.0264908	0.0463917	0.0837803	0.13898	0.193933	0.224347	0.0925366	0.0828349	0.110706
a37	0.037844	0.0646733	0.104763	0.161787	0.205962	0.182307	0.0775515	0.0723434	0.0927694
a79	0.0463131	0.0773123	0.130149	0.203414	0.236997	0.126446	0.0528594	0.0550112	0.071498
a56	0.019069	0.0312583	0.056958	0.117501	0.225949	0.226012	0.116552	0.0945544	0.112146
a79	0.025905	0.0379629	0.0623953	0.12519	0.244927	0.191767	0.100541	0.0948369	0.116475
a98	0.0128101	0.0171358	0.0260714	0.05276	0.161737	0.219128	0.163795	0.152193	0.19437
a47	0.011739	0.013318	0.0224276	0.0483827	0.147888	0.193857	0.151473	0.169007	0.241909
a36	0.0132591	0.0142022	0.0164105	0.0303687	0.0968759	0.153225	0.121836	0.192114	0.361709
a85	0.0130512	0.0130298	0.0132161	0.0147064	0.03717	0.0928762	0.125607	0.231639	0.458704
a6	0.00209291	0.00189093	0.00265704	0.00609549	0.0442377	0.101598	0.168455	0.265611	0.407362
a37	0.00493156	0.0040755	0.00607307	0.0121346	0.055442	0.110723	0.186538	0.251399	0.368683
a85	0.00453634	0.00331139	0.00302406	0.00280108	0.00886576	0.0321881	0.149706	0.304676	0.490891
a6	0.000967027	0.000639814	0.000768199	0.00107356	0.00568682	0.0230235	0.11903	0.312362	0.53645
a36	0.00190761	0.00107905	0.00101898	0.000994979	0.00329169	0.0201702	0.138478	0.321667	0.511393
a21	0.00503604	0.00360641	0.00252029	0.00159705	0.00227168	0.0137125	0.0945861	0.313319	0.563351
a6	0.000970451	0.000717232	0.000581265	0.000648426	0.00300963	0.0157105	0.107057	0.299495	0.571811
a36	0.000590607	0.000409255	0.000325059	0.000350578	0.00193621	0.0134707	0.111476	0.316433	0.555008
a2	0.0038053	0.00340701	0.00255045	0.00194865	0.00293869	0.0161821	0.0942007	0.341272	0.533695
a57	0.0261783	0.0148006	0.0115252	0.010866	0.0271354	0.0813829	0.161694	0.285666	0.380752
a87	0.0758979	0.0408037	0.0291274	0.0278441	0.0624113	0.111817	0.177049	0.22722	0.24783
a23	0.215462	0.155811	0.0830379	0.0489273	0.0669793	0.0865281	0.115187	0.113175	0.114892
a99	0.0445485	0.031951	0.022405	0.010084	0.0155884	0.0445589	0.161314	0.295447	0.374104
a97	0.0105735	0.00754817	0.0080628	0.0080928	0.0245619	0.0560759	0.119217	0.274344	0.491523
</S>	0.00764788	0.00651825	0.00608473	0.00649856	0.0153216	0.036525	0.0885901	0.270528	0.562286
