 	arrange	les	affaires	dans	la	case	</S>
a23	0.504161	0.160735	0.123879	0.0821435	0.054882	0.0401994	0.0340001
a66	0.414781	0.135876	0.141625	0.144816	0.0901029	0.0448448	0.0279547
a53	0.414702	0.181844	0.166156	0.122131	0.0566275	0.0318209	0.0267188
a76	0.624542	0.215949	0.111803	0.0282224	0.0087398	0.00565518	0.00508788
a94	0.468668	0.290539	0.174455	0.045452	0.0117501	0.00560515	0.00353061
a38	0.367483	0.294814	0.217036	0.0813615	0.0223912	0.0102453	0.00666919
a14	0.317942	0.292323	0.237922	0.102717	0.0274468	0.0128818	0.00876684
a41	0.29948	0.316318	0.234476	0.0974002	0.0268779	0.0145415	0.0109065
a37	0.249212	0.303631	0.253162	0.115011	0.0403283	0.0228894	0.0157663
a24	0.140651	0.230577	0.253201	0.167674	0.0984636	0.064261	0.0451719
a41	0.0826041	0.158617	0.233371	0.200643	0.138596	0.103521	0.0826474
a0	0.100662	0.14984	0.223452	0.190781	0.133467	0.11337	0.0884297
a75	0.0460571	0.0579181	0.103676	0.135173	0.187832	0.233936	0.235409
a41	0.0518148	0.064912	0.0869662	0.0939721	0.1556	0.24679	0.299945
a35	0.0539329	0.0597781	0.0786216	0.091241	0.148415	0.248724	0.319288
a75	0.0431555	0.0436737	0.0677396	0.077451	0.110462	0.229154	0.428364
a41	0.126196	0.073473	0.0735883	0.0632432	0.0822117	0.176476	0.404812
a12	0.0727059	0.0463703	0.0514308	0.0516125	0.08328	0.223836	0.470765
a32	0.0882434	0.0463369	0.0490428	0.0497864	0.089951	0.19547	0.481169
a25	0.0320053	0.0270621	0.0369153	0.0479827	0.0953993	0.205789	0.554846
a87	0.0390525	0.0270543	0.0336528	0.0394885	0.0898595	0.210757	0.560136
a23	0.0301243	0.0226225	0.0269815	0.0347308	0.0862934	0.225611	0.573636
a87	0.0948164	0.0983218	0.0982853	0.0701041	0.0968561	0.184482	0.357134
</S>	0.0863797	0.111764	0.117484	0.0718674	0.108351	0.213986	0.290168
