 	le	temps	est	nuageux	il	va	bientôt	pleuvoir	</S>
a84	0.20858	0.111456	0.111946	0.103128	0.0825816	0.126261	0.132079	0.08709	0.0368791
a82	0.244511	0.138192	0.137699	0.12702	0.107843	0.122119	0.0653312	0.0376427	0.0196421
a87	0.360831	0.248646	0.166086	0.114816	0.0331187	0.0260588	0.0182427	0.0189373	0.0132635
a23	0.284918	0.273259	0.209261	0.154494	0.0362218	0.0212481	0.00837421	0.00687462	0.00534935
a87	0.297905	0.291394	0.183272	0.155002	0.0280503	0.0174956	0.0080211	0.00851011	0.0103488
a23	0.302566	0.300115	0.17886	0.149569	0.0294808	0.0180875	0.00748591	0.00652805	0.00730669
a99	0.267255	0.279073	0.17454	0.16522	0.0340401	0.0315606	0.0169335	0.015892	0.0154852
a38	0.178038	0.204311	0.148695	0.151489	0.069232	0.0811835	0.0600408	0.0619823	0.0450287
a53	0.132209	0.113871	0.0968536	0.105088	0.0654585	0.0903752	0.0997117	0.157511	0.138921
a15	0.112948	0.105582	0.0945931	0.105262	0.0803343	0.0916607	0.102102	0.178835	0.128683
a79	0.0772275	0.0844748	0.0992717	0.112923	0.134853	0.128498	0.114674	0.1412	0.106877
a56	0.0714193	0.0776333	0.0888027	0.103602	0.123685	0.106267	0.0995033	0.153492	0.175594
a94	0.0995183	0.0852837	0.0938904	0.097789	0.120704	0.0941726	0.0775615	0.144142	0.186938
a53	0.0743447	0.0578697	0.0664484	0.071626	0.12015	0.104868	0.083418	0.161738	0.259537
a90	0.0407066	0.0292649	0.0363111	0.041578	0.0837374	0.0860864	0.094977	0.217308	0.370031
a25	0.0366085	0.0204134	0.0215217	0.0242978	0.0653308	0.0888973	0.108553	0.220798	0.413579
a20	0.0276309	0.014867	0.0184042	0.0193507	0.0585613	0.0855741	0.118406	0.206806	0.4504
a90	0.00931939	0.00495501	0.00524076	0.00527204	0.0189208	0.0381168	0.0957205	0.24241	0.580045
a93	0.00551726	0.00262452	0.00296558	0.0029292	0.0100556	0.0229232	0.0830136	0.262397	0.607574
a4	0.00440021	0.00209426	0.00221123	0.00209487	0.00592009	0.0147192	0.0683538	0.244915	0.655291
a57	0.00404402	0.00167708	0.00172156	0.00142458	0.00322221	0.00672124	0.0427515	0.225007	0.713431
a3	0.00818276	0.00412196	0.00503076	0.00426924	0.00939885	0.0200519	0.0643036	0.211631	0.67301
a87	0.0576089	0.0361006	0.0363756	0.0383771	0.0578036	0.0755324	0.0934664	0.183366	0.421369
a23	0.163801	0.122246	0.113782	0.123599	0.0969345	0.0753298	0.0529198	0.0900104	0.161378
a99	0.0596215	0.0328841	0.0267214	0.0204616	0.0189678	0.0267274	0.0657639	0.224647	0.524205
a97	0.0171041	0.0115408	0.0109662	0.00876341	0.0115408	0.0211786	0.0770365	0.251532	0.590337
a87	0.024111	0.0144676	0.0137126	0.0100393	0.0137187	0.0255639	0.0780302	0.249303	0.571054
</S>	0.0752863	0.0570894	0.0585298	0.0463437	0.0438171	0.0618247	0.11827	0.229537	0.309302
