 	j'	ai	eu	une	intuition	</S>
a66	0.422064	0.262905	0.12754	0.0709098	0.0778997	0.0386803
a87	0.393382	0.254739	0.166422	0.107309	0.0573005	0.0208481
a23	0.424299	0.295896	0.156084	0.0741656	0.0311203	0.0184355
a99	0.469526	0.303743	0.137835	0.0527755	0.0192432	0.0168778
a53	0.378342	0.247694	0.143198	0.0887409	0.0602346	0.0817899
a93	0.193709	0.159077	0.20164	0.247073	0.159185	0.0393172
a90	0.121162	0.153573	0.233878	0.288334	0.16169	0.041363
a4	0.0485547	0.0780202	0.192432	0.32413	0.252217	0.104645
a93	0.0630563	0.0874598	0.196398	0.285538	0.232063	0.135485
a4	0.102251	0.097167	0.174095	0.227293	0.225007	0.174187
a93	0.0938998	0.0789152	0.153283	0.192437	0.243041	0.238424
a4	0.0783066	0.0580468	0.114069	0.150376	0.248927	0.350275
a57	0.0486883	0.0282606	0.0569859	0.0978809	0.291997	0.476187
a11	0.0134298	0.0083664	0.0128473	0.0233179	0.15669	0.785349
a12	0.013251	0.0102027	0.012589	0.0318393	0.134058	0.79806
a96	0.00673037	0.00371818	0.00448473	0.010321	0.0658056	0.90894
a18	0.00660896	0.00417972	0.00550534	0.0166998	0.0886538	0.878352
a26	0.0267093	0.021736	0.0276283	0.0537167	0.187436	0.682774
a82	0.165995	0.108286	0.0872696	0.098122	0.219665	0.320663
a10	0.366186	0.220487	0.103019	0.0651374	0.0913853	0.153785
a87	0.382159	0.267061	0.138577	0.0662027	0.0691696	0.0768303
a23	0.282437	0.238971	0.187195	0.121124	0.10224	0.0680333
a87	0.192238	0.215825	0.162507	0.092203	0.100349	0.236878
a23	0.096126	0.0883616	0.0774555	0.066359	0.101307	0.570391
a87	0.12286	0.171733	0.186772	0.115969	0.117885	0.284781
</S>	0.0878804	0.110321	0.123694	0.0914364	0.152906	0.433761
