 	les	enfants	ont	ruiné	son	véhicule	</S>
a87	0.482099	0.216343	0.10642	0.033252	0.0385915	0.0511786	0.0721159
a23	0.386788	0.14976	0.0934145	0.0701999	0.0859896	0.0945698	0.119278
a99	0.432015	0.201555	0.0943333	0.0552174	0.0541717	0.0722094	0.0904983
a54	0.423102	0.192577	0.0942242	0.0548495	0.0498999	0.0799614	0.105385
a47	0.51042	0.230343	0.0931803	0.0629883	0.036211	0.0365679	0.0302894
a37	0.448405	0.308587	0.130654	0.0531076	0.0216323	0.019656	0.0179585
a85	0.361884	0.311673	0.162068	0.0741245	0.0317143	0.0275833	0.0309525
a6	0.249025	0.281036	0.202821	0.128321	0.0580203	0.0407737	0.0400039
a37	0.199425	0.229743	0.194137	0.142536	0.0807072	0.0713434	0.0821082
a70	0.183418	0.223636	0.200256	0.145721	0.0841243	0.075005	0.0878396
a71	0.151198	0.217104	0.247741	0.156349	0.0862286	0.0678271	0.0735532
a62	0.100916	0.162046	0.249679	0.181867	0.107162	0.0891703	0.109159
a75	0.0996875	0.146399	0.222606	0.180473	0.128779	0.102959	0.119098
a0	0.0775332	0.0806848	0.0796774	0.0780686	0.165886	0.249304	0.268846
a75	0.113135	0.120811	0.13046	0.114496	0.161904	0.164865	0.194329
a73	0.0671162	0.0707289	0.0738359	0.0797486	0.165091	0.256207	0.287273
a15	0.0303886	0.0345837	0.0440925	0.0545915	0.15398	0.297044	0.38532
a25	0.0245146	0.0256253	0.0312584	0.0380805	0.119856	0.326919	0.433746
a44	0.0504926	0.0467453	0.0459308	0.047024	0.112523	0.29664	0.400644
a57	0.02289	0.0229096	0.0288848	0.0488634	0.122473	0.286095	0.467884
a38	0.0104997	0.00649468	0.00730274	0.0169554	0.0758061	0.274244	0.608698
a90	0.00612344	0.00385645	0.00428415	0.0111784	0.0644941	0.260698	0.649365
a96	0.00240458	0.00254786	0.00446227	0.0104565	0.0576952	0.231502	0.690931
a83	0.00220248	0.00239113	0.0041139	0.0108635	0.0637635	0.228604	0.688062
a62	0.00220968	0.00228294	0.00377224	0.0099482	0.0596866	0.23072	0.69138
a88	0.00795168	0.00762599	0.00997468	0.0200634	0.0700586	0.231866	0.65246
a9	0.00843612	0.00877352	0.0136017	0.0282258	0.0945251	0.279645	0.566792
a10	0.0581532	0.0381071	0.0415477	0.0731798	0.152752	0.285045	0.351215
a87	0.236278	0.177042	0.110417	0.0659342	0.0882574	0.141679	0.180393
a23	0.321452	0.232402	0.129526	0.055841	0.0642124	0.0937815	0.102785
a87	0.282076	0.201079	0.106486	0.0568696	0.0701401	0.122264	0.161085
</S>	0.0298212	0.0227843	0.0282234	0.0451898	0.13119	0.297571	0.44522
