 	la	manière	dont	ils	ont	déboucher	mon	étang	m'	a	énervé	</S>
a66	0.169635	0.129103	0.117101	0.118405	0.0905409	0.0796987	0.0660848	0.0677436	0.0513537	0.0565697	0.0381602	0.015605
a87	0.395559	0.173383	0.105525	0.0645472	0.0499765	0.0224701	0.0389227	0.0382276	0.0358082	0.0343393	0.0253821	0.015859
a23	0.332139	0.227268	0.14411	0.0866931	0.0548811	0.0530259	0.0215658	0.018602	0.0146892	0.013656	0.0156364	0.0177335
a83	0.338618	0.223438	0.146787	0.0768308	0.0543903	0.0498797	0.0252592	0.0212673	0.0174705	0.0131893	0.0164125	0.0164577
a9	0.263946	0.18151	0.152194	0.0723999	0.0550037	0.0527146	0.0280928	0.0254765	0.0262437	0.0324262	0.0595142	0.0504783
a82	0.317327	0.200682	0.136814	0.0653459	0.0405279	0.0345995	0.0237933	0.0195364	0.0211643	0.0272669	0.0580311	0.0549108
a13	0.366548	0.183659	0.109071	0.0548506	0.0386786	0.0383227	0.0271263	0.0230736	0.0245053	0.0315879	0.0510397	0.0515375
a57	0.220309	0.166401	0.124337	0.0680736	0.0473	0.0506927	0.0384258	0.0350393	0.0334685	0.0459105	0.0796591	0.0903829
a13	0.171644	0.149362	0.129762	0.093003	0.0656844	0.0723283	0.0551532	0.0544973	0.0440532	0.0485355	0.0583482	0.0576292
a83	0.110976	0.122666	0.130905	0.106958	0.0760453	0.0828877	0.0627581	0.0637122	0.0504694	0.0540939	0.0658957	0.0726329
a62	0.0661567	0.121881	0.167298	0.125553	0.0785494	0.0829513	0.059328	0.0635281	0.0495971	0.0509745	0.0641072	0.0700756
a31	0.0445796	0.107889	0.169818	0.147363	0.0983779	0.102152	0.0662452	0.0745978	0.0519253	0.0450592	0.0477863	0.0442076
a47	0.0393221	0.0958614	0.162691	0.151161	0.105679	0.10148	0.0671228	0.0761296	0.0545634	0.0451364	0.0481522	0.0527008
a96	0.0297606	0.0580909	0.121218	0.142101	0.120733	0.123047	0.0876928	0.1015	0.0745868	0.0523609	0.0443914	0.0445172
a18	0.0300933	0.0523873	0.110998	0.147357	0.131652	0.130084	0.0890916	0.101203	0.0714066	0.0492888	0.0421147	0.0443243
a4	0.0195248	0.0256705	0.0615648	0.12282	0.14311	0.147548	0.0914133	0.101746	0.0712026	0.0575791	0.0693775	0.0884429
a57	0.0276431	0.0327591	0.0565256	0.114837	0.135653	0.144721	0.102969	0.115737	0.0869857	0.0669327	0.0562818	0.0589545
a54	0.0169959	0.0182546	0.0357895	0.0865389	0.135211	0.1433	0.108728	0.120252	0.0859932	0.0720051	0.0788991	0.0980325
a47	0.00734399	0.00989391	0.0218876	0.058682	0.125905	0.12974	0.109158	0.103265	0.100847	0.100185	0.103556	0.129536
a44	0.0116334	0.0154862	0.0376161	0.100803	0.1569	0.127264	0.106485	0.0918186	0.0827873	0.0759324	0.0815122	0.111761
a34	0.00715481	0.00796351	0.0171768	0.0568241	0.140449	0.123756	0.127111	0.123012	0.103743	0.0910915	0.0888254	0.112893
a47	0.00663333	0.00691065	0.0128605	0.0423988	0.114421	0.118823	0.13786	0.150985	0.130154	0.110924	0.0890596	0.0789708
a88	0.00750642	0.00742411	0.0133822	0.039979	0.127186	0.114652	0.15202	0.152528	0.120833	0.100715	0.0888117	0.0749611
a71	0.00190153	0.00197616	0.00378873	0.0146395	0.0644078	0.0661052	0.122549	0.149571	0.129642	0.15113	0.171095	0.123194
a38	0.00277169	0.00213875	0.0031813	0.00944247	0.0504352	0.0592737	0.0989499	0.122456	0.0993792	0.158192	0.232292	0.161487
a93	0.00297205	0.00228649	0.00310681	0.00692711	0.0314961	0.0446007	0.0866813	0.105448	0.102557	0.164489	0.25959	0.189845
a94	0.00141996	0.00112683	0.00178377	0.00569937	0.0311434	0.0425183	0.0803316	0.0889419	0.0943989	0.138138	0.263696	0.250802
a70	0.000760194	0.000592936	0.000872854	0.0026022	0.0144206	0.0182118	0.0473819	0.0599169	0.0601185	0.117368	0.318744	0.35901
a93	0.000585808	0.00044461	0.000614119	0.0015432	0.00940564	0.0105892	0.0361769	0.0507376	0.0490471	0.115866	0.328469	0.396522
a56	0.000593853	0.000454764	0.000639687	0.0018734	0.0102311	0.0134594	0.0373688	0.0464823	0.049967	0.0970452	0.284353	0.457532
a44	0.00029962	0.000212955	0.000295063	0.00075189	0.00435017	0.0054601	0.0212714	0.0299152	0.0350519	0.0847422	0.277856	0.539794
a38	0.000171137	0.000130257	0.000198723	0.000537974	0.00318064	0.00393334	0.01379	0.0171295	0.022369	0.0539765	0.240035	0.644548
a12	0.000190746	0.00013174	0.000189212	0.000426138	0.00218692	0.00233456	0.0099545	0.0129134	0.0182222	0.0480623	0.223004	0.682385
a96	0.000167205	9.43653e-05	0.000119755	0.000304889	0.00160489	0.0019204	0.00790144	0.0120687	0.0181025	0.0477026	0.224839	0.685175
a5	0.000192757	0.000137158	0.000177743	0.000354498	0.00148852	0.00148318	0.00894342	0.0134209	0.0175145	0.0467606	0.21744	0.692086
a18	0.000145623	7.93754e-05	9.65122e-05	0.000227216	0.00118872	0.00139011	0.00701482	0.010541	0.0160258	0.0439365	0.215315	0.70404
a27	0.000580925	0.000393432	0.000473657	0.000769506	0.00248008	0.00186329	0.0107322	0.016225	0.0228425	0.0657945	0.23704	0.640805
