 	il	a	appris	la	nouvelle	hier	</S>
a23	0.313763	0.19963	0.111241	0.0722265	0.0713467	0.0993982	0.132395
a87	0.353191	0.227916	0.144395	0.0861384	0.0551805	0.0553489	0.0778297
a23	0.343106	0.227609	0.143679	0.0966997	0.0628111	0.0551751	0.0709197
a79	0.421467	0.276689	0.114228	0.0490534	0.0319371	0.0385489	0.0680764
a20	0.502303	0.225402	0.0935695	0.0633181	0.0421059	0.0349059	0.0383959
a30	0.524444	0.282179	0.10327	0.0489102	0.0202863	0.0112386	0.00967243
a2	0.390971	0.270515	0.196956	0.0890561	0.0273863	0.012934	0.0121807
a40	0.342431	0.251745	0.183658	0.0993285	0.0455284	0.0372742	0.0400347
a30	0.310156	0.282728	0.223241	0.0972079	0.0393252	0.024226	0.0231162
a26	0.247968	0.223528	0.258362	0.155752	0.0652465	0.027557	0.0215866
a38	0.215251	0.199187	0.226325	0.158644	0.0853203	0.0538148	0.0614569
a76	0.250663	0.213322	0.217147	0.149176	0.0773007	0.044811	0.0475811
a35	0.180855	0.187316	0.240302	0.164604	0.096747	0.0667749	0.0634004
a61	0.184446	0.177935	0.212445	0.1777	0.120749	0.0705438	0.0561805
a66	0.116718	0.115459	0.151956	0.178117	0.185302	0.139061	0.113388
a25	0.0726487	0.0694786	0.114638	0.151924	0.202931	0.194063	0.194318
a10	0.0472925	0.0403878	0.0645679	0.115359	0.169501	0.214764	0.348127
a75	0.0158952	0.0141883	0.0246484	0.0539573	0.132059	0.295553	0.4637
a41	0.0175526	0.0132262	0.0233116	0.0624844	0.210755	0.327233	0.345437
a96	0.024066	0.0204819	0.038947	0.101751	0.254726	0.292094	0.267935
a61	0.0169097	0.0155652	0.0218262	0.0428123	0.138587	0.344276	0.420023
a24	0.0107067	0.0110088	0.0147157	0.0276615	0.0978718	0.334161	0.503875
a35	0.0117144	0.013832	0.0210939	0.0301464	0.0737327	0.253298	0.596183
a14	0.0150558	0.0149067	0.0251283	0.0451496	0.114537	0.276739	0.508484
a2	0.0151526	0.011058	0.0203415	0.0469461	0.141719	0.303209	0.461574
a26	0.0066542	0.0051347	0.00767786	0.0155362	0.0550583	0.225308	0.684631
a76	0.00386953	0.00330657	0.00560182	0.0114229	0.0424154	0.20142	0.731964
a73	0.00322691	0.00186447	0.00292496	0.00765211	0.0434896	0.227895	0.712947
a84	0.00371358	0.00265748	0.00456709	0.011223	0.0522084	0.218574	0.707056
a57	0.00628585	0.00557853	0.00892263	0.0174316	0.0479965	0.202853	0.710931
a87	0.0239176	0.0197013	0.0307296	0.0561935	0.0987153	0.21631	0.554433
</S>	0.0373221	0.0300859	0.0417462	0.0546996	0.0973436	0.212624	0.526179
