 	les	arbres	perdent	leurs	feuilles	pen	dant	la	petite	saison	sèche	</S>
a66	0.227346	0.232575	0.171654	0.112058	0.0556266	0.0721215	0.0447148	0.0258272	0.0173362	0.0126098	0.0121854	0.0159454
a87	0.333361	0.100073	0.066523	0.0676271	0.057823	0.150962	0.0695915	0.041019	0.0319224	0.0290063	0.0249735	0.0271174
a97	0.143804	0.0879148	0.0688459	0.070757	0.0830599	0.0653417	0.0505589	0.0671559	0.0887866	0.110523	0.0922033	0.0710486
a79	0.136391	0.0956795	0.0960959	0.0669016	0.0967202	0.0887967	0.068338	0.0780494	0.0792821	0.0794867	0.0647807	0.0494778
a54	0.171774	0.107919	0.0923412	0.0508645	0.043191	0.100365	0.0615991	0.0666096	0.080269	0.0958295	0.0707992	0.0584382
a79	0.404421	0.220608	0.100054	0.0639225	0.0350754	0.0495251	0.024277	0.0208631	0.0227907	0.02393	0.0174105	0.0171229
a7	0.337596	0.185428	0.106884	0.0880806	0.0663758	0.0737223	0.0318536	0.0216179	0.0213127	0.0232466	0.0191027	0.0247797
a44	0.300197	0.181122	0.131141	0.10474	0.092986	0.0715058	0.0272	0.0188899	0.0168125	0.0169894	0.0157483	0.0226692
a90	0.272013	0.172094	0.137922	0.105592	0.101798	0.0777798	0.0361848	0.0226062	0.0181893	0.0168415	0.0163043	0.0226755
a25	0.191512	0.157269	0.16168	0.126789	0.129056	0.0903303	0.0472654	0.0246951	0.0180238	0.0158043	0.0160188	0.0215555
a92	0.234009	0.186491	0.138145	0.118838	0.111975	0.0739749	0.0376621	0.0210848	0.0170002	0.0159876	0.0176461	0.0271865
a98	0.147831	0.149869	0.151062	0.136877	0.143984	0.0954535	0.0483698	0.0270361	0.0199606	0.0192166	0.0254535	0.0348867
a79	0.0867987	0.128645	0.124789	0.112949	0.131186	0.0809457	0.0939113	0.0654252	0.0442311	0.036779	0.0425534	0.0517859
a7	0.0697968	0.125273	0.118844	0.123652	0.154118	0.103144	0.0959454	0.0584701	0.0382923	0.0316974	0.0378516	0.0429154
a90	0.0603132	0.11043	0.118744	0.141205	0.174395	0.127899	0.0741101	0.0385946	0.029375	0.0288119	0.0389211	0.0572006
a56	0.0333472	0.083154	0.105148	0.134649	0.167667	0.140158	0.0901983	0.0529047	0.0387982	0.0368091	0.0498739	0.0672924
a90	0.0196655	0.0555465	0.0837188	0.128877	0.165617	0.146546	0.105474	0.0624196	0.0452309	0.0421687	0.0583939	0.0863418
a56	0.0172697	0.0416031	0.0663508	0.110294	0.155216	0.129872	0.113611	0.0837861	0.0626174	0.0534805	0.070039	0.09586
a75	0.0155451	0.0369473	0.0589637	0.103846	0.149463	0.146263	0.114515	0.0846627	0.0662191	0.0567821	0.0702672	0.0965257
a6	0.00654904	0.0189852	0.0266816	0.058387	0.0999227	0.0870539	0.117297	0.112177	0.103341	0.0981921	0.119048	0.152366
a36	0.00600473	0.0148998	0.02238	0.0496921	0.0961362	0.086688	0.134373	0.109041	0.0910611	0.0813352	0.115251	0.193138
a75	0.00383074	0.00837843	0.0120488	0.0333236	0.0721927	0.0690313	0.156395	0.133263	0.104815	0.0856842	0.119717	0.20132
a85	0.00321336	0.00759076	0.00956083	0.0263586	0.0541218	0.0427952	0.0865993	0.102266	0.107367	0.1187	0.171525	0.269902
a0	0.00336836	0.00943407	0.0117551	0.0247709	0.0440703	0.0438372	0.0933033	0.100554	0.0989549	0.107587	0.162762	0.299604
a56	0.00182102	0.00455122	0.00490964	0.015346	0.0343217	0.0344726	0.0993958	0.124133	0.139115	0.136356	0.186394	0.219185
a75	0.0018925	0.00451689	0.00487061	0.0140811	0.0303661	0.0287169	0.0818518	0.111395	0.130521	0.14325	0.201913	0.246625
a5	0.00123702	0.00241892	0.00287774	0.00827401	0.0212942	0.0139426	0.0573458	0.0941785	0.117691	0.141763	0.219529	0.319448
