 	les	bananes	sont	pleines	</S>
a40	0.150037	0.152399	0.131864	0.170498	0.395202
a7	0.0796344	0.0924723	0.183048	0.282844	0.362001
a15	0.206613	0.208212	0.183685	0.170229	0.231261
a79	0.41686	0.271936	0.104191	0.077891	0.129122
a0	0.258227	0.272931	0.15528	0.126216	0.187346
a75	0.185349	0.234216	0.187158	0.174985	0.218292
a25	0.0929326	0.131931	0.205444	0.282337	0.287356
a44	0.0928598	0.146872	0.221037	0.285738	0.253493
a75	0.16151	0.187933	0.210567	0.240569	0.199421
a34	0.0945689	0.122693	0.199009	0.30805	0.27568
a75	0.0923272	0.123545	0.212134	0.303683	0.268311
a18	0.0490613	0.0668524	0.155565	0.342369	0.386152
a75	0.0446085	0.0622446	0.140671	0.277181	0.475295
a47	0.0520794	0.0638838	0.145804	0.303097	0.435136
a2	0.0307129	0.0409953	0.109226	0.302109	0.516957
a57	0.0379371	0.0523887	0.126013	0.243433	0.540229
a87	0.0183455	0.0274443	0.083276	0.215368	0.655566
a23	0.078275	0.0957769	0.176001	0.239201	0.410746
a87	0.0864614	0.0974668	0.139127	0.247876	0.429068
</S>	0.029762	0.0428577	0.111899	0.280231	0.53525
