 	le	feu	que	tu	as	allumé	s'	est	éteint	tout	seul	</S>
a66	0.255211	0.150043	0.108603	0.0955552	0.089609	0.0700249	0.0683249	0.0592501	0.041783	0.0222395	0.0209467	0.0184099
a87	0.184112	0.121086	0.0938664	0.0870796	0.0840528	0.0374644	0.0238198	0.027027	0.0452576	0.0638564	0.09129	0.141088
a23	0.448619	0.260401	0.114449	0.0538774	0.0274641	0.0151873	0.0122999	0.0113294	0.0123177	0.0117346	0.0138882	0.0184327
a83	0.343654	0.20944	0.127008	0.0751996	0.0507719	0.0289067	0.0245863	0.0223757	0.0251427	0.0253151	0.0295096	0.0380907
a61	0.295511	0.157535	0.0892107	0.0616405	0.0480508	0.0706047	0.0597946	0.046395	0.0402032	0.0351433	0.0432032	0.0527077
a41	0.246659	0.212954	0.15297	0.105823	0.06747	0.0623082	0.0486652	0.0326366	0.0244687	0.0162867	0.0151215	0.0146366
a85	0.164304	0.176286	0.151392	0.115362	0.0690643	0.0850571	0.068362	0.0489334	0.0377409	0.0267846	0.0280607	0.0286532
a5	0.138824	0.153131	0.160018	0.14388	0.0916631	0.0944142	0.0781576	0.0480247	0.0234459	0.0183773	0.022772	0.0272927
a21	0.169251	0.155799	0.15524	0.129517	0.0891227	0.0883046	0.084331	0.051349	0.0235611	0.0169233	0.0177487	0.0188528
a24	0.145887	0.130022	0.139751	0.123997	0.0994507	0.0932462	0.0944363	0.0636165	0.030418	0.0240188	0.0264401	0.0287165
a43	0.0724281	0.0564024	0.0691241	0.0734969	0.106861	0.108392	0.144144	0.143579	0.0711861	0.0508603	0.0501718	0.0533534
a56	0.0366588	0.030323	0.0386768	0.0419088	0.0736141	0.0862198	0.142896	0.199333	0.127045	0.0803448	0.0709634	0.0720167
a24	0.0417575	0.0316706	0.0354079	0.0327694	0.0473781	0.0493181	0.0968333	0.206829	0.185456	0.10344	0.0846579	0.0844823
a47	0.014441	0.0119195	0.0135303	0.013531	0.0216771	0.0284022	0.063991	0.196917	0.261293	0.146457	0.117741	0.110101
a24	0.015225	0.0122252	0.0140739	0.0149054	0.0265746	0.0330763	0.0618331	0.186552	0.26211	0.140285	0.118068	0.115072
a61	0.00543205	0.0041985	0.00445402	0.00445499	0.00700736	0.00986999	0.0227798	0.105911	0.298408	0.222546	0.175368	0.139571
a24	0.00535166	0.00359059	0.00374275	0.00374021	0.00589556	0.00833549	0.0178538	0.085017	0.268423	0.234278	0.194415	0.169357
a41	0.00252718	0.00184017	0.00195856	0.00212058	0.00322743	0.00480541	0.00950224	0.043423	0.197112	0.24476	0.253967	0.234756
a85	0.00116085	0.000730444	0.00078939	0.000895317	0.00151985	0.00258126	0.00547507	0.026238	0.140962	0.219406	0.284463	0.315779
a21	0.000463933	0.000275383	0.000297554	0.000286672	0.00049545	0.000901921	0.00234329	0.016336	0.126026	0.221953	0.29404	0.336581
a5	0.00158647	0.000927612	0.000919521	0.000907586	0.00123385	0.00192297	0.0040054	0.0172456	0.0873071	0.195217	0.311654	0.377073
a12	0.00135025	0.000833441	0.000894632	0.000943806	0.00128331	0.00216312	0.00478322	0.0200311	0.0841166	0.177175	0.300416	0.406009
a18	0.000311359	0.000201401	0.000227367	0.000290417	0.000460261	0.000947222	0.00211143	0.0113711	0.0665826	0.158703	0.294836	0.463958
a25	0.00112959	0.000653931	0.000623949	0.000777391	0.00110885	0.0025695	0.00469931	0.0145337	0.0713324	0.13453	0.252369	0.515672
a10	0.0251105	0.0114804	0.00756692	0.0073233	0.00866979	0.0126617	0.0170407	0.0379754	0.11483	0.16557	0.235997	0.355774
a87	0.224358	0.125539	0.0686266	0.0446632	0.0334613	0.0225296	0.0219568	0.0328874	0.060856	0.0908786	0.118425	0.155819
a23	0.267637	0.155622	0.0913405	0.0558531	0.0334689	0.0176669	0.0149836	0.018577	0.0389256	0.0791593	0.104403	0.122364
a87	0.0616735	0.0407239	0.0246594	0.0154284	0.00963401	0.00496841	0.00460569	0.0126906	0.0536484	0.156332	0.29197	0.323665
</S>	0.0153452	0.00916563	0.00544949	0.00350921	0.0023535	0.00213263	0.00314712	0.0111975	0.0479853	0.132112	0.314811	0.452791
