 	on	l'	avait	initié	à	la	chasse	aux	éléphants	au	pays	ngaé	</S>
a66	0.258595	0.191113	0.121025	0.0706645	0.0677451	0.0983947	0.0808524	0.0421925	0.0234022	0.0174116	0.0134536	0.00771688	0.00743352
a10	0.326586	0.199804	0.114477	0.067836	0.0482414	0.0487495	0.0439569	0.0239488	0.018024	0.0136316	0.0211521	0.0249049	0.0486867
a97	0.194965	0.154234	0.127621	0.132966	0.104469	0.08611	0.0579472	0.0315421	0.0278108	0.0198821	0.0157221	0.0146566	0.0320745
a3	0.147843	0.125711	0.114252	0.138935	0.113157	0.0915178	0.0658806	0.0442425	0.0424224	0.0322062	0.0258054	0.0214029	0.0366241
a40	0.150231	0.13739	0.119007	0.144352	0.114286	0.0886446	0.0616691	0.0397179	0.0365612	0.0275194	0.0228435	0.0221613	0.0356177
a41	0.207978	0.191163	0.143101	0.0992129	0.0727541	0.0673862	0.0539147	0.0479936	0.0359926	0.022932	0.0144242	0.0178046	0.0253439
a36	0.190241	0.204793	0.163409	0.126556	0.0913642	0.0780955	0.0605607	0.0397852	0.0219899	0.0101149	0.00370954	0.00426719	0.00511354
a62	0.113291	0.147846	0.14589	0.155661	0.13217	0.107476	0.0797719	0.0489183	0.0296572	0.0153182	0.00588529	0.00760097	0.0105132
a96	0.090435	0.110069	0.11928	0.164182	0.150671	0.137169	0.109362	0.0600796	0.0308978	0.0126686	0.00392319	0.00478859	0.00647402
a62	0.0608967	0.079388	0.0996836	0.173498	0.167468	0.155706	0.12307	0.0668354	0.0352755	0.0151367	0.00539691	0.00719342	0.0104511
a31	0.0536088	0.0597243	0.0743463	0.147818	0.160532	0.168078	0.146737	0.085486	0.0482131	0.0220225	0.00839058	0.00974556	0.0152987
a0	0.0408782	0.0432619	0.056899	0.115884	0.13554	0.160814	0.165888	0.115679	0.0732755	0.0384564	0.0163563	0.0151113	0.0219554
a75	0.0298393	0.0265863	0.0319069	0.0546538	0.0799702	0.12514	0.162649	0.146525	0.125386	0.0757393	0.0418092	0.0416348	0.0581601
a98	0.0159483	0.016991	0.0247148	0.0580118	0.0807416	0.126955	0.139833	0.107962	0.0971802	0.0816556	0.0739857	0.0737336	0.102287
a79	0.0168272	0.019125	0.0287328	0.0644252	0.080723	0.120981	0.145155	0.120244	0.102157	0.0902722	0.0801098	0.0650265	0.0662221
a90	0.0134236	0.0135164	0.0197155	0.0370437	0.0525065	0.0921826	0.12859	0.134108	0.1283	0.114465	0.102665	0.0732288	0.0902551
a93	0.0266899	0.0232385	0.0276971	0.0434795	0.0591062	0.0944735	0.125837	0.114213	0.101528	0.0952363	0.0948542	0.083283	0.110364
