 	la	manière	dont	elles	se	sont	disputées	toutes	les	trois	m'	a	attristé	</S>
a15	0.0752802	0.0553303	0.064784	0.0664207	0.104248	0.0923143	0.131088	0.140564	0.137268	0.0755602	0.0275459	0.0133273	0.00844255	0.00782664
a84	0.220103	0.0842291	0.0916069	0.103678	0.0719963	0.0400997	0.0526212	0.0873791	0.0799978	0.0500771	0.0377134	0.0273762	0.0299823	0.0231401
a87	0.342223	0.114599	0.0772575	0.0720339	0.0430089	0.0276133	0.0504189	0.0602052	0.065038	0.0374189	0.0326006	0.0232317	0.0283308	0.0260202
a23	0.30686	0.204443	0.124557	0.0800166	0.0541255	0.0251916	0.028166	0.0301011	0.032921	0.0209752	0.0230479	0.016751	0.0271834	0.0256609
a97	0.241384	0.192481	0.14472	0.100787	0.0695383	0.0330176	0.0401039	0.0401709	0.0357837	0.0231064	0.023566	0.0190418	0.019583	0.0167158
a99	0.211427	0.164717	0.147154	0.101784	0.0551132	0.0312739	0.052549	0.0407868	0.0466091	0.0408513	0.0364143	0.0283919	0.0245625	0.0183668
a97	0.223571	0.139682	0.136003	0.0954764	0.0467406	0.0295888	0.0510935	0.0399484	0.0462966	0.0461736	0.0481692	0.0385564	0.0367718	0.0219295
a87	0.210523	0.121956	0.126377	0.0931634	0.0481868	0.0367074	0.061261	0.0465056	0.0558619	0.0490884	0.0491803	0.0418556	0.0379242	0.0214103
a23	0.236126	0.136856	0.129568	0.0901448	0.0539473	0.0336306	0.0470653	0.0395622	0.0465503	0.0405907	0.0404873	0.0385165	0.041124	0.0258319
a87	0.181652	0.156517	0.172806	0.115061	0.0482083	0.024654	0.040243	0.0345693	0.0369455	0.0417411	0.0418437	0.040184	0.0373985	0.028177
a97	0.215909	0.140831	0.13391	0.0917459	0.0520962	0.0307314	0.0454953	0.0392894	0.0439864	0.0460359	0.0460522	0.0436222	0.042721	0.0275731
a3	0.220068	0.148198	0.125869	0.0962979	0.0592712	0.0351335	0.0420065	0.0377442	0.0408151	0.0429558	0.0429683	0.0434928	0.0378122	0.0273681
a99	0.227842	0.133124	0.111624	0.0947497	0.0579255	0.0385576	0.0438511	0.0426458	0.0459752	0.0443819	0.0423511	0.0435887	0.0430351	0.0303477
a97	0.239458	0.147966	0.136535	0.102398	0.057997	0.0310844	0.0385654	0.0345105	0.0371184	0.0396746	0.0403006	0.0397736	0.0324937	0.0221243
a87	0.245592	0.135212	0.109026	0.093084	0.0524046	0.0335992	0.0441121	0.0462641	0.0483052	0.0436016	0.0423839	0.0424973	0.0377581	0.0261599
a79	0.246391	0.120397	0.0856554	0.0739003	0.0444126	0.0326666	0.048277	0.0547409	0.0563743	0.0438196	0.0445858	0.0469984	0.0562678	0.0455126
a5	0.259633	0.210381	0.190857	0.10455	0.0366407	0.021728	0.0318739	0.020286	0.0171892	0.0160441	0.0222398	0.0228744	0.0251205	0.020582
a18	0.218558	0.274095	0.206492	0.166991	0.0683034	0.0191998	0.0141066	0.00728487	0.00577524	0.0039663	0.00403105	0.00409391	0.00335391	0.00374842
a75	0.145181	0.265372	0.204274	0.171445	0.0928445	0.0417769	0.0248177	0.014574	0.0111566	0.00701416	0.00650952	0.00648313	0.00402812	0.00452375
a47	0.0912192	0.149283	0.18628	0.185253	0.139881	0.0822276	0.0601132	0.0300233	0.0204672	0.0127892	0.0108373	0.0129646	0.00959939	0.00906277
a36	0.063922	0.110887	0.135591	0.19346	0.152781	0.120758	0.0787709	0.0429167	0.0272487	0.0150643	0.0136422	0.0168874	0.013081	0.014991
a37	0.0600017	0.089233	0.141927	0.183052	0.140187	0.102473	0.079358	0.0610977	0.0385816	0.0236141	0.0212534	0.0232993	0.0167448	0.0191771
a75	0.0677165	0.0684939	0.122345	0.159995	0.140907	0.111556	0.0853343	0.065384	0.0449037	0.0266993	0.0243499	0.0270452	0.0238781	0.0313925
a21	0.0543351	0.0544862	0.108172	0.161079	0.154393	0.123665	0.0955627	0.0815483	0.0581056	0.0305277	0.020198	0.0194644	0.0169332	0.0215303
a5	0.0414303	0.0412004	0.0850213	0.128629	0.170113	0.150278	0.11183	0.0837359	0.0733512	0.0354119	0.0198845	0.017749	0.016797	0.0245681
a23	0.0131361	0.0147065	0.0406625	0.0830654	0.165627	0.170329	0.13971	0.110526	0.0895692	0.0488976	0.028736	0.0257005	0.0273237	0.0420101
a75	0.0056278	0.00461058	0.0150164	0.0320391	0.0842897	0.149966	0.172689	0.129598	0.110323	0.0611085	0.0402177	0.0447997	0.053462	0.0962532
a85	0.00465517	0.00566838	0.0115497	0.0202602	0.0563995	0.130232	0.149648	0.141643	0.116489	0.0845738	0.0668772	0.061628	0.0583929	0.0919832
a47	0.00362338	0.00306288	0.00694971	0.0138839	0.0494402	0.136887	0.144685	0.128577	0.101704	0.0831357	0.0732829	0.0772518	0.071062	0.106454
a92	0.00407489	0.00441314	0.00745157	0.0117151	0.0330604	0.0792315	0.128846	0.112471	0.117325	0.0780893	0.0446961	0.0533311	0.0905335	0.234761
a44	0.0020685	0.00256823	0.00449533	0.00790674	0.0215209	0.0655714	0.111186	0.12905	0.124232	0.0978273	0.0751504	0.0806067	0.0939641	0.183853
a98	0.00240021	0.00199192	0.00280187	0.00387584	0.00801517	0.0408538	0.0962379	0.113298	0.133794	0.10434	0.0761763	0.0806739	0.111735	0.223806
a47	0.00128492	0.00140702	0.00236033	0.0044365	0.00843744	0.0356128	0.0749089	0.105057	0.090112	0.0909074	0.0757543	0.10498	0.12916	0.275581
a85	0.00164313	0.00134027	0.00209243	0.00342618	0.00816439	0.0303941	0.0532118	0.0568438	0.0627248	0.0641171	0.051924	0.0796211	0.17303	0.411467
a6	0.000876981	0.000825451	0.00135102	0.0026175	0.00540986	0.0206068	0.039407	0.0511064	0.0475381	0.0688714	0.0720211	0.111168	0.173553	0.404647
a0	0.00165291	0.00121806	0.00152706	0.00210601	0.00397899	0.0157607	0.0331626	0.044099	0.0490896	0.0603083	0.0731152	0.110447	0.203376	0.400159
a75	0.00254495	0.00142401	0.00144263	0.00169893	0.00285091	0.0103855	0.0258272	0.0336101	0.0468603	0.08115	0.0880186	0.127216	0.241375	0.335597
a85	0.00143599	0.000888575	0.000995988	0.00134182	0.00271839	0.0104309	0.0264782	0.0383634	0.0578642	0.093777	0.118746	0.17823	0.204146	0.264583
a5	0.000356217	0.000268269	0.00034874	0.000499885	0.00116496	0.00671321	0.015797	0.0217547	0.021345	0.0378754	0.0661624	0.149906	0.241773	0.436036
a23	0.000903662	0.000482997	0.000597479	0.000729274	0.00193212	0.00763702	0.0143684	0.0221461	0.0323566	0.0581012	0.105384	0.22299	0.25001	0.282361
a75	0.000370568	0.000176737	0.000183427	0.000244145	0.000520814	0.00246542	0.00556372	0.0106885	0.0170299	0.0379404	0.0771403	0.191158	0.304142	0.352376
a5	0.000312862	0.000225607	0.000249448	0.000310375	0.000701083	0.0025389	0.00582336	0.0133209	0.0189231	0.0411314	0.0742973	0.164355	0.273555	0.404256
a85	0.000515475	0.000287257	0.000351038	0.000420919	0.00104695	0.00335014	0.00558081	0.0114325	0.0166352	0.0315818	0.0610171	0.15598	0.328184	0.383617
a5	0.000396773	0.000192219	0.000174513	0.000217823	0.00036712	0.00140769	0.00328524	0.00632986	0.0104863	0.0276069	0.0571042	0.160765	0.284251	0.447415
a12	0.00039031	0.000160483	0.000179193	0.0002157	0.00053515	0.00188952	0.00302725	0.00552595	0.00837716	0.0199862	0.0493658	0.145486	0.338232	0.426629
a96	0.000330717	7.87264e-05	8.65663e-05	0.000105141	0.000300417	0.00120366	0.00197802	0.00332413	0.0048355	0.0142733	0.0321121	0.113591	0.338187	0.489593
a18	0.000305398	9.38814e-05	8.86596e-05	0.000120769	0.000304191	0.00121461	0.00215063	0.00386537	0.00459313	0.0168072	0.0339913	0.118258	0.360151	0.458057
a36	0.00107051	0.000607616	0.000499435	0.00059617	0.00058234	0.00164639	0.00429847	0.00624638	0.00706868	0.0213452	0.036445	0.104247	0.276703	0.538644
a27	0.0103361	0.00482039	0.00334273	0.00383583	0.00401714	0.00802251	0.0127555	0.0133692	0.0159648	0.0389366	0.0450127	0.0918079	0.211206	0.536573
a30	0.0655385	0.0206347	0.0113322	0.0124209	0.0115325	0.0197324	0.0272023	0.0206454	0.027213	0.0443469	0.0444174	0.0771962	0.181377	0.43641
a10	0.28096	0.0967994	0.0341685	0.0234123	0.0141122	0.0161679	0.0262756	0.0259137	0.0364945	0.0341685	0.0338037	0.0424278	0.105984	0.229312
a87	0.123273	0.0532525	0.0240376	0.0157272	0.00983053	0.0111101	0.0230711	0.0330122	0.0568839	0.0706599	0.0846435	0.100029	0.168888	0.22558
a23	0.104839	0.049488	0.0232856	0.0145984	0.00831553	0.00964508	0.0230636	0.0445729	0.0796259	0.0854616	0.0989889	0.104656	0.155945	0.197515
a99	0.0683155	0.0260505	0.00873445	0.00838076	0.00503765	0.00702601	0.00812116	0.0166538	0.0280184	0.0276805	0.062569	0.109598	0.245497	0.378317
a97	0.0193993	0.00680255	0.00276089	0.00343577	0.00419495	0.00718394	0.0084793	0.0159874	0.0182142	0.0188444	0.0375423	0.0726281	0.267578	0.516949
</S>	0.0229599	0.00899512	0.00425997	0.00523684	0.0066298	0.0100134	0.0147616	0.026243	0.0299133	0.0314057	0.0441777	0.0770087	0.250476	0.467918
