 	les	hommes	avancent	péniblement	dans	la	forêt	</S>
a23	0.586306	0.173629	0.0801561	0.0386172	0.0232703	0.023951	0.0329199	0.0411513
a10	0.274959	0.0981149	0.0896644	0.110611	0.0867062	0.0886661	0.108637	0.142642
a11	0.228111	0.116554	0.136065	0.123952	0.0787859	0.0720592	0.0971861	0.147287
a54	0.428912	0.163145	0.169496	0.0953406	0.0425037	0.0323664	0.0309275	0.0373087
a30	0.448411	0.227757	0.104509	0.0812697	0.0623701	0.038959	0.0201871	0.0165368
a2	0.382781	0.301687	0.145612	0.0880156	0.0396907	0.0210532	0.0118438	0.00931783
a53	0.210783	0.262115	0.196327	0.126549	0.0618637	0.043176	0.0453812	0.0538052
a20	0.167498	0.286689	0.233008	0.159576	0.0674289	0.0340359	0.0255769	0.0261865
a84	0.17542	0.2969	0.264542	0.154222	0.0605863	0.0240809	0.0125771	0.0116726
a87	0.084826	0.163192	0.275637	0.245592	0.111226	0.0462004	0.0329617	0.0403647
a23	0.0827885	0.122637	0.20329	0.171321	0.122323	0.0754039	0.0921674	0.130069
a40	0.0594939	0.0940712	0.163969	0.173113	0.129355	0.0870399	0.115176	0.177783
a26	0.138106	0.214357	0.209139	0.213875	0.108095	0.0543791	0.0334618	0.0285875
a38	0.137068	0.236037	0.249962	0.214731	0.0952541	0.0354851	0.0179429	0.0135201
a30	0.0658504	0.163662	0.316039	0.266774	0.105967	0.0396544	0.0221436	0.0199099
a44	0.0300761	0.08258	0.234126	0.261054	0.15802	0.0907787	0.0698855	0.073479
a54	0.0308417	0.0746982	0.202228	0.2566	0.173036	0.0983465	0.0802004	0.0840491
a30	0.0202126	0.0576193	0.177264	0.239865	0.172782	0.123129	0.105211	0.103918
a14	0.0181113	0.0435046	0.119477	0.173792	0.152822	0.142006	0.165672	0.184615
a26	0.0221724	0.0485226	0.123559	0.196779	0.191578	0.148936	0.128808	0.139645
a38	0.0242493	0.0366809	0.0950809	0.149935	0.171543	0.145895	0.156015	0.220601
a54	0.0219955	0.0314848	0.0777834	0.136194	0.185345	0.159372	0.166276	0.221551
a14	0.0139906	0.0231473	0.0633373	0.099719	0.127238	0.160859	0.215355	0.296354
a35	0.0171418	0.0290426	0.0637716	0.107872	0.168137	0.190088	0.191316	0.23263
a98	0.0113098	0.0171248	0.043384	0.070469	0.112825	0.181495	0.231662	0.33173
a73	0.00847682	0.0165077	0.0476437	0.0750413	0.105707	0.169164	0.236739	0.34072
a44	0.00410401	0.00714006	0.0255043	0.0488988	0.0859148	0.171426	0.268766	0.388247
a38	0.00272451	0.00533374	0.0249832	0.0446924	0.0615164	0.122403	0.28147	0.456877
a90	0.00148942	0.00272062	0.0110898	0.0209285	0.0404814	0.0999706	0.292452	0.530868
a35	0.00928644	0.0127068	0.0308411	0.0442637	0.0636453	0.114378	0.264684	0.460195
a43	0.00813721	0.00817564	0.0175712	0.0257526	0.0392366	0.0722432	0.265613	0.56327
a75	0.00214205	0.00219495	0.00564968	0.00854956	0.0168747	0.0409249	0.259499	0.664165
a76	0.0131064	0.00834429	0.0138483	0.0175778	0.0315321	0.0645523	0.265021	0.586018
a90	0.0133711	0.0108027	0.0219532	0.0319782	0.0486166	0.0849557	0.277234	0.511089
a82	0.00550756	0.00579938	0.0169378	0.0270603	0.0440682	0.073832	0.266464	0.560331
a87	0.00252483	0.00202304	0.00669068	0.0126741	0.0304792	0.073713	0.275056	0.596839
a38	0.00150633	0.000962322	0.00233785	0.00457449	0.0152249	0.0602624	0.278319	0.636813
a76	0.00141634	0.000957057	0.00170586	0.00270031	0.00865427	0.0383642	0.258146	0.688056
a90	0.00371228	0.0027146	0.00425546	0.00531632	0.0134741	0.0423295	0.242876	0.685321
a57	0.004396	0.00509041	0.0115243	0.0155337	0.0241536	0.0526242	0.25089	0.635787
a38	0.000611653	0.000688947	0.00214597	0.0041406	0.0110544	0.0398708	0.240996	0.700491
a14	0.00174423	0.00145277	0.0036003	0.00613296	0.0157963	0.0553906	0.262725	0.653158
a0	0.00143921	0.00152085	0.00490109	0.00737416	0.0162271	0.0509577	0.256951	0.660629
a32	0.000506841	0.000859507	0.00319206	0.00539961	0.0139194	0.0522703	0.234779	0.689073
a75	0.000868937	0.001462	0.00425721	0.00605399	0.0123565	0.0449916	0.226879	0.70313
a34	0.00195432	0.00230144	0.00536061	0.00719737	0.01521	0.0505303	0.234359	0.683087
a75	0.00304752	0.00411407	0.0105753	0.0124629	0.0191799	0.0472909	0.205455	0.697874
a14	0.00297418	0.00289226	0.00625785	0.00786734	0.0160348	0.04651	0.207422	0.710041
a44	0.00838771	0.00877429	0.0200706	0.0283611	0.0467317	0.0979583	0.237706	0.55201
a84	0.00122011	0.00233775	0.0084049	0.0126493	0.0251531	0.0684722	0.242339	0.639424
a98	0.000331034	0.000516306	0.00221872	0.00624636	0.0221175	0.0837469	0.271921	0.612902
a41	0.00125262	0.0014928	0.00404162	0.00674677	0.021698	0.0784524	0.2915	0.594816
a43	0.000861604	0.000907162	0.00265656	0.00536164	0.014519	0.0529973	0.24632	0.676377
a11	0.000440321	0.0006651	0.00271871	0.00588426	0.0198965	0.0732048	0.273171	0.624019
a24	0.000580263	0.00102366	0.004195	0.00925809	0.0295766	0.0967934	0.286413	0.57216
a9	0.00247912	0.00288332	0.00913422	0.0179704	0.0505032	0.124997	0.273106	0.518927
a87	0.00351871	0.00439591	0.0136434	0.0278168	0.0648408	0.138362	0.27192	0.475502
</S>	0.00402414	0.00481475	0.0127578	0.0224559	0.0478085	0.115765	0.300381	0.491993
