 	il	se	laisse	berner	par	tout	le	monde	</S>
a23	0.3738	0.266816	0.171821	0.10478	0.026321	0.00971208	0.00817697	0.0172477	0.0213237
a87	0.513613	0.216811	0.0961432	0.0498152	0.0214321	0.0148257	0.0177276	0.0275165	0.0421153
a23	0.321021	0.195076	0.133176	0.0855842	0.0472021	0.032741	0.0355702	0.05491	0.0947185
a79	0.114456	0.0650268	0.0492198	0.0462861	0.0307321	0.0231452	0.053088	0.178665	0.439381
a20	0.334344	0.243761	0.138778	0.0897819	0.0367582	0.0260466	0.0238909	0.0426187	0.0640206
a94	0.214189	0.275892	0.246542	0.134647	0.0604651	0.0268821	0.0138024	0.012596	0.0149852
a20	0.181577	0.25075	0.250219	0.159795	0.0867519	0.0335395	0.01268	0.0112225	0.0134643
a73	0.122063	0.136437	0.183053	0.202077	0.152438	0.0881729	0.0416575	0.0345376	0.0395635
a2	0.118876	0.136387	0.194114	0.207957	0.154957	0.0866437	0.0398732	0.0294733	0.0317196
a53	0.0602614	0.0643856	0.0947991	0.217816	0.23012	0.14513	0.0548157	0.057416	0.0752561
a90	0.0624983	0.061418	0.0976972	0.190601	0.19726	0.148512	0.0759559	0.0734333	0.0926237
a94	0.0550718	0.0479436	0.0758639	0.152656	0.19601	0.175038	0.121345	0.0867254	0.0893471
a76	0.0972239	0.0700567	0.0745885	0.127051	0.164274	0.172284	0.127946	0.0802339	0.0863427
a73	0.0937908	0.0701057	0.0670529	0.103921	0.137269	0.173677	0.142622	0.0992834	0.112278
a94	0.0630172	0.0476488	0.0461879	0.0671695	0.0903936	0.176785	0.198787	0.147033	0.162978
a73	0.0622963	0.0420782	0.0366283	0.055334	0.0632965	0.13099	0.191409	0.184639	0.233329
a58	0.0357231	0.0218223	0.0188184	0.030036	0.036934	0.109672	0.202336	0.240353	0.304304
a98	0.0148953	0.00750105	0.00565618	0.0106455	0.01602	0.0595886	0.135628	0.288158	0.461907
a73	0.0108942	0.00564475	0.00447942	0.00990513	0.0148473	0.0435004	0.102095	0.285173	0.523461
a98	0.00358544	0.00179926	0.00182484	0.00608515	0.0124048	0.0370834	0.100589	0.2979	0.538728
a73	0.00631078	0.00310143	0.00285521	0.00748721	0.0160285	0.0413597	0.0965723	0.267891	0.558394
a58	0.0037871	0.00179023	0.00160478	0.00457967	0.0100128	0.0258144	0.0761803	0.24876	0.62747
a11	0.00114074	0.000509808	0.000390616	0.000770013	0.00187877	0.00677529	0.0307015	0.200241	0.757592
a90	0.00187453	0.000767545	0.000386406	0.000666029	0.00179407	0.00784957	0.0437649	0.225637	0.71726
a69	0.00371712	0.00170065	0.0010362	0.00209897	0.00574566	0.0170886	0.0635051	0.221417	0.68369
a58	0.00335316	0.00170735	0.000979724	0.00180953	0.00607313	0.0203504	0.0873411	0.241089	0.637296
a82	0.00188659	0.000890276	0.000539615	0.00110196	0.00323091	0.0109277	0.0610901	0.22784	0.692493
a87	0.00179117	0.00103336	0.000776689	0.00138201	0.00264555	0.0142099	0.106766	0.264605	0.60679
</S>	0.00480044	0.00543135	0.010925	0.0158368	0.0148418	0.0292497	0.113956	0.26468	0.540279
