 	c'	est	ainsi	que	la	maladie	t'	a	laissé	</S>
a23	0.235977	0.193671	0.132689	0.0978356	0.112068	0.108967	0.0650729	0.0322942	0.0138263	0.0075993
a83	0.123317	0.126037	0.100136	0.101633	0.154845	0.193811	0.123193	0.0425191	0.019162	0.0153478
a9	0.221803	0.23314	0.194918	0.134099	0.097015	0.0637654	0.025404	0.0117198	0.0091767	0.00896057
a38	0.187776	0.186172	0.195561	0.155547	0.100358	0.0622443	0.040284	0.0250358	0.0234914	0.0235308
a90	0.16437	0.160577	0.182691	0.162557	0.114489	0.0681514	0.0462332	0.0280013	0.0318782	0.0410505
a56	0.124494	0.128497	0.148248	0.161726	0.150519	0.0985346	0.0646623	0.049014	0.0399038	0.0344008
a34	0.150493	0.150904	0.156334	0.148752	0.137365	0.0918104	0.0575347	0.0453026	0.0330338	0.0284698
a31	0.116961	0.12361	0.128194	0.149413	0.136134	0.0961299	0.0647954	0.0666304	0.0603755	0.0577564
a62	0.100867	0.10597	0.0821913	0.124062	0.122187	0.104852	0.0984944	0.119639	0.0833497	0.058387
a0	0.0549563	0.0512348	0.0382344	0.0773735	0.0890927	0.0966153	0.115626	0.178971	0.169107	0.12879
a75	0.0376942	0.028844	0.0226988	0.0468399	0.0574136	0.0731326	0.0931884	0.170576	0.233504	0.236109
a31	0.0337868	0.0338903	0.0271487	0.0577646	0.0714829	0.0872916	0.11891	0.211058	0.201123	0.157544
a75	0.0171067	0.016492	0.0125226	0.0280313	0.0384969	0.0582157	0.112122	0.235894	0.258101	0.223018
a56	0.0193228	0.0205102	0.0160737	0.0297502	0.032485	0.0316179	0.0455274	0.149328	0.300502	0.354882
a75	0.00628348	0.0057529	0.00387548	0.0083268	0.0100015	0.0130351	0.0336879	0.148656	0.326267	0.444114
a66	0.00891642	0.00835602	0.00465394	0.00894399	0.00948172	0.00916988	0.0197484	0.0938095	0.297156	0.539764
a93	0.00143261	0.00104167	0.000596561	0.00144675	0.00156501	0.00210094	0.00701564	0.0445874	0.253267	0.686946
a13	0.000714208	0.000697391	0.000364087	0.000913997	0.00100714	0.00117936	0.00469117	0.0375249	0.243914	0.708993
a9	0.00046272	0.000415641	0.000276987	0.000620597	0.000607199	0.000741229	0.00301034	0.0271676	0.228744	0.737954
a97	0.0150744	0.0131825	0.00702248	0.0106344	0.0107041	0.012552	0.0214185	0.0534899	0.199624	0.656297
a87	0.0948495	0.0744388	0.036827	0.0376986	0.0473216	0.0556054	0.0706623	0.109934	0.17904	0.293623
a23	0.070658	0.0641386	0.0426644	0.0508115	0.0709813	0.0781303	0.089643	0.150034	0.18054	0.202399
a87	0.0162942	0.0147602	0.0102149	0.00971024	0.00974546	0.0129552	0.0384936	0.146992	0.300055	0.440779
</S>	0.0159338	0.0132444	0.00887585	0.00805972	0.00855996	0.0145089	0.0452932	0.141725	0.262879	0.480921
