 	le	guérisseur	l'	a	massé	avec	la	plante	otuunyu	</S>
a66	0.253178	0.19831	0.134304	0.0940356	0.0976214	0.0899936	0.0653333	0.0398956	0.0153346	0.0119944
a87	0.315408	0.239268	0.148294	0.0980573	0.0727877	0.0562474	0.0308984	0.0183957	0.0128166	0.00782692
a23	0.380032	0.274779	0.136025	0.0793297	0.0447028	0.0251659	0.0173006	0.0151468	0.016523	0.0109957
a13	0.355751	0.233644	0.114275	0.0774052	0.0589405	0.0250601	0.0152239	0.0178263	0.0465385	0.0553364
a38	0.214508	0.130113	0.0995524	0.0870394	0.10517	0.0628517	0.055498	0.0642468	0.0954472	0.085573
a36	0.175341	0.133241	0.156782	0.108243	0.112804	0.0629436	0.0528019	0.0665466	0.0702826	0.0610137
a54	0.0733356	0.0936159	0.160042	0.132693	0.123968	0.0886479	0.085756	0.10621	0.0886989	0.047032
a79	0.0403955	0.0697859	0.142905	0.147154	0.149109	0.11551	0.105256	0.126954	0.0660745	0.0368564
a7	0.0318975	0.0566856	0.128793	0.16759	0.169647	0.142732	0.109274	0.0926984	0.0604217	0.0402617
a90	0.037407	0.0495432	0.107061	0.151335	0.165665	0.121539	0.102302	0.1074	0.079201	0.078547
a15	0.0454879	0.0498109	0.0920476	0.150628	0.177318	0.140213	0.102144	0.0945982	0.0699431	0.0778102
a90	0.0482724	0.0444543	0.0761988	0.142912	0.176602	0.171233	0.12015	0.0967747	0.064799	0.0586034
a94	0.0385203	0.0266381	0.0385513	0.0924961	0.158918	0.15227	0.116271	0.122133	0.106011	0.148192
a93	0.0324357	0.0184468	0.0181693	0.0426964	0.0971144	0.141863	0.130628	0.134564	0.144774	0.239308
a4	0.022155	0.0149609	0.0136905	0.0259152	0.0581673	0.0880739	0.103793	0.134404	0.182399	0.356442
a57	0.0195617	0.0129463	0.0122172	0.01804	0.032655	0.0430125	0.0611548	0.112191	0.205244	0.482978
a38	0.0109566	0.00702018	0.00666012	0.00896732	0.0137111	0.0161468	0.0340167	0.100318	0.247769	0.554435
a70	0.013361	0.00811938	0.00654506	0.00760732	0.010836	0.0144163	0.0326412	0.105914	0.230943	0.569617
a66	0.00759677	0.00427856	0.00476671	0.00744516	0.0106077	0.0148533	0.0354118	0.092105	0.225171	0.597764
a3	0.0607205	0.0348536	0.0244516	0.0209457	0.0218931	0.0332195	0.050845	0.101123	0.169094	0.482854
a99	0.271384	0.197454	0.0868502	0.0568416	0.0414465	0.0619129	0.0595476	0.0556468	0.0554434	0.113474
a87	0.310614	0.210417	0.0743494	0.0414267	0.0297961	0.0450243	0.048249	0.058355	0.0639163	0.117853
a23	0.264387	0.261244	0.131558	0.0737641	0.0468513	0.0562112	0.0461484	0.04281	0.033599	0.0434268
a87	0.210421	0.187295	0.109613	0.0942644	0.0812857	0.0597919	0.0513534	0.057445	0.0565164	0.092015
</S>	0.109393	0.0720153	0.0419115	0.0465104	0.0486599	0.0569072	0.0771061	0.124637	0.147704	0.275156
