 	son	habit	est	devenu	sale	</S>
a66	0.342059	0.211169	0.15473	0.117979	0.0905331	0.0835306
a87	0.345773	0.213672	0.150378	0.113696	0.0885965	0.0878855
a23	0.447004	0.192362	0.0993849	0.0875274	0.0858882	0.0878331
a53	0.429803	0.165058	0.0775683	0.0888897	0.109068	0.129613
a15	0.401234	0.142418	0.0916787	0.115232	0.122171	0.127267
a20	0.354271	0.177803	0.122918	0.122002	0.110518	0.112489
a98	0.288214	0.211221	0.150569	0.130969	0.105217	0.113809
a47	0.293858	0.235694	0.164154	0.121048	0.093948	0.0912985
a79	0.12662	0.145587	0.154849	0.168094	0.193281	0.211568
a92	0.171511	0.157964	0.126369	0.13312	0.180668	0.230368
a79	0.140927	0.162609	0.144364	0.137341	0.184974	0.229785
a56	0.111157	0.183036	0.175355	0.150156	0.180103	0.200193
a96	0.0918174	0.138067	0.136911	0.145389	0.219746	0.26807
a66	0.0500795	0.0899602	0.122658	0.159317	0.266961	0.311024
a53	0.00962741	0.0160125	0.027713	0.0843288	0.319757	0.542561
a90	0.0337705	0.0542628	0.0888386	0.15541	0.294825	0.372893
a98	0.0168416	0.0284904	0.0544158	0.121051	0.309087	0.470115
a79	0.00392692	0.00964835	0.026639	0.0846134	0.321587	0.553586
a56	0.00301411	0.00662245	0.018638	0.0673723	0.294236	0.610118
a96	0.00570384	0.0103859	0.029763	0.0789966	0.258358	0.616792
a66	0.00815594	0.0143501	0.0391022	0.0812608	0.24299	0.614141
a38	0.0137618	0.0216023	0.0545848	0.1108	0.249877	0.549375
a9	0.0259231	0.0324415	0.0659585	0.127773	0.25589	0.492013
a99	0.142605	0.110222	0.105675	0.129535	0.185911	0.326053
a87	0.205551	0.145416	0.12842	0.13465	0.151362	0.234601
a97	0.193783	0.137057	0.118492	0.132493	0.163475	0.2547
a99	0.154881	0.116187	0.104433	0.12043	0.190954	0.313116
a97	0.0757366	0.062793	0.0781723	0.118907	0.233887	0.430504
a9	0.0485257	0.0587672	0.0856157	0.135794	0.242478	0.42882
</S>	0.0818817	0.0902759	0.116927	0.154849	0.217338	0.338728
