 	elle	était	au	bord	des	larmes	</S>
a23	0.396347	0.260241	0.114944	0.0739622	0.0594764	0.0447478	0.0502807
a53	0.410122	0.225036	0.102477	0.0639887	0.0579551	0.064904	0.0755172
a79	0.247483	0.164623	0.113345	0.114768	0.119695	0.120034	0.120052
a44	0.34316	0.282594	0.18325	0.0955452	0.046859	0.029935	0.018658
a75	0.347513	0.292749	0.179185	0.0787641	0.0403779	0.0341132	0.0272987
a85	0.29815	0.266957	0.200399	0.108644	0.0546413	0.0390239	0.0321856
a5	0.191691	0.177445	0.147726	0.135665	0.114164	0.117717	0.115592
a21	0.338821	0.260177	0.13722	0.0778061	0.0559978	0.06418	0.0657983
a75	0.253386	0.198138	0.136992	0.10526	0.0876909	0.105912	0.112622
a61	0.120513	0.0869461	0.0685608	0.080415	0.121167	0.219513	0.302885
a75	0.16458	0.117819	0.0940334	0.0977755	0.121321	0.178422	0.226048
a34	0.0755896	0.0599092	0.063254	0.0840525	0.120781	0.233192	0.363221
a21	0.0464794	0.0419796	0.0527411	0.0800655	0.13609	0.263878	0.378767
a41	0.0520332	0.0473271	0.0553999	0.0797865	0.138369	0.255363	0.37172
a27	0.0287432	0.0285233	0.0483718	0.0992511	0.162934	0.281086	0.35109
a57	0.00978039	0.00623455	0.00641114	0.0149023	0.0745538	0.268977	0.61914
a87	0.0150995	0.00797321	0.0107196	0.0289158	0.102401	0.278659	0.556231
a23	0.294642	0.172494	0.122731	0.0961341	0.0911041	0.101553	0.121342
a87	0.0946797	0.0663431	0.0855272	0.132737	0.193472	0.232896	0.194345
</S>	0.0159643	0.0132421	0.0234714	0.0546931	0.169582	0.332536	0.390511
