 	la	mère	a	chargé	son	enfant	d'	attiser	le	feu	</S>
a66	0.212749	0.193475	0.177653	0.127192	0.0933471	0.0911233	0.0630165	0.014922	0.00797966	0.00795874	0.0105832
a87	0.492064	0.263991	0.122993	0.0328119	0.0137776	0.0129473	0.0105154	0.00789265	0.0113969	0.0136149	0.0179955
a23	0.49234	0.277508	0.103302	0.0342694	0.0211875	0.0144921	0.0128636	0.00991079	0.00932566	0.00979365	0.0150078
a30	0.296451	0.22984	0.129284	0.0586023	0.0338413	0.0188514	0.0146885	0.0159394	0.0379536	0.0573798	0.107169
a53	0.341137	0.19116	0.0937745	0.0522726	0.0577304	0.0496775	0.0376957	0.0292825	0.0409998	0.0458547	0.0604157
a15	0.152379	0.109172	0.0961795	0.111015	0.115984	0.0992159	0.0786143	0.05885	0.0585935	0.0574856	0.0625112
a79	0.0802077	0.0854941	0.0957335	0.170966	0.144171	0.119976	0.0854465	0.0676558	0.0578158	0.0472791	0.0452537
a36	0.0901056	0.111244	0.120198	0.183303	0.128112	0.119326	0.0861035	0.058998	0.0415068	0.0309566	0.0301455
a56	0.0776448	0.0941437	0.109764	0.186979	0.139744	0.112469	0.0750278	0.0608317	0.0535517	0.0436989	0.0461453
a61	0.0919885	0.105911	0.126963	0.176474	0.162006	0.126201	0.072063	0.0419452	0.0330436	0.0306073	0.0327979
a34	0.0555579	0.0593723	0.0887256	0.148998	0.220071	0.186707	0.0947897	0.0422864	0.0321662	0.0343717	0.0369548
a56	0.0309288	0.0320923	0.0489217	0.0980326	0.207627	0.222112	0.130111	0.0640918	0.0519095	0.0552264	0.058947
a93	0.025583	0.0264099	0.0337755	0.0619368	0.144331	0.206418	0.16376	0.089528	0.0757247	0.0824056	0.0901279
a4	0.0318482	0.0312124	0.036295	0.0618775	0.138386	0.188251	0.171474	0.100741	0.0779852	0.0769989	0.0849301
a13	0.0165791	0.0175929	0.0209513	0.0384073	0.0738075	0.0992479	0.141877	0.156874	0.145648	0.135473	0.153543
a53	0.0283364	0.0279876	0.0246817	0.0351944	0.0724916	0.0792855	0.0871653	0.110905	0.167827	0.168578	0.197548
a90	0.0111127	0.0107795	0.0113176	0.0242162	0.0440604	0.0632584	0.111348	0.175471	0.189705	0.169305	0.189426
a79	0.00683977	0.0063617	0.00701724	0.0177268	0.0356988	0.0539492	0.0829131	0.13333	0.198023	0.215055	0.243086
a44	0.00219527	0.00202998	0.00230826	0.00691041	0.0189515	0.0286561	0.0468927	0.091138	0.207416	0.273591	0.319911
a56	0.00248658	0.00211014	0.00205251	0.0047833	0.0109581	0.0152197	0.0307354	0.0743406	0.219898	0.292589	0.344827
a75	0.00118613	0.000881692	0.000828707	0.00190513	0.00442422	0.00714673	0.0183619	0.0611813	0.216405	0.318072	0.369608
a6	0.000482457	0.000339154	0.000289444	0.000785439	0.00227037	0.00421938	0.0123412	0.0500291	0.186663	0.313967	0.428614
a36	0.00072521	0.000536415	0.000493612	0.00133116	0.00377573	0.00695688	0.020879	0.0691314	0.177251	0.29028	0.42864
a26	0.00117521	0.000814661	0.000653707	0.00112057	0.00218471	0.00472346	0.0134298	0.0491515	0.142426	0.27527	0.509051
a57	0.014068	0.0087594	0.00773808	0.0121553	0.0147786	0.0321539	0.0530456	0.0860397	0.141325	0.248172	0.381765
a87	0.270776	0.134204	0.0731704	0.0604558	0.061033	0.0683203	0.0610549	0.0606452	0.0595395	0.0655173	0.085284
a23	0.397317	0.254734	0.129684	0.0499177	0.0329794	0.0344225	0.0327148	0.0235917	0.0147234	0.0128465	0.0170694
a87	0.273882	0.199102	0.0936717	0.0354346	0.0168171	0.015957	0.0221486	0.0378768	0.0717223	0.101849	0.131538
</S>	0.0462341	0.0305059	0.0134379	0.0083417	0.00588215	0.00781999	0.0159018	0.0565699	0.158927	0.265754	0.390626
